UCL_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
UCL113012,50,265,76,98,11,635,74,42,292,230,367,26,1039,0,0,11,13,27,3,50,20,5,35,35,163,8,271,5,0,22,30,78,38,180,319,157,993,878,2378,193,4916
UCL113013,35,158,35,62,4,317,17,7,118,81,133,21,381,4,0,3,4,20,0,34,4,0,13,25,163,7,208,0,0,15,11,27,16,60,100,78,609,415,1645,169,3020
UCL113014,13,105,31,49,0,225,10,7,86,64,117,9,295,0,0,0,0,7,3,15,0,0,4,24,99,0,124,0,0,9,8,37,9,62,87,49,392,343,1545,103,2520
UCL113015,31,146,54,53,4,339,32,14,168,152,199,11,576,0,0,10,13,21,3,51,0,0,6,32,94,0,134,5,4,15,14,62,25,124,216,97,764,707,1670,141,3591
UCL113016,11,95,42,72,6,250,21,11,111,97,236,27,499,0,0,8,0,21,3,29,3,0,6,17,154,0,185,3,0,3,8,54,24,91,75,40,379,438,1858,119,2913
UCL113017,31,134,44,67,4,314,24,10,98,80,180,15,410,0,0,0,3,13,0,28,3,3,11,17,165,9,199,0,0,12,13,65,12,101,132,84,608,514,2289,139,3772
UCL113018,11,67,32,37,3,159,9,13,75,107,207,11,419,0,0,3,3,11,0,22,0,3,5,11,76,5,100,3,0,3,4,50,22,93,48,48,244,330,1207,92,1971
UCL113019,33,139,53,77,8,335,58,33,239,219,395,51,989,0,0,3,7,16,3,33,0,3,12,24,143,7,195,0,3,3,10,84,21,120,105,99,557,567,1981,217,3534
UCL113020,56,139,56,58,10,367,22,19,122,99,150,22,434,0,0,4,4,23,9,43,0,4,12,20,104,7,141,0,0,14,8,59,17,99,108,106,531,458,1531,165,2889
UCL114001,27,97,35,21,0,202,17,24,98,63,109,5,328,0,0,6,4,3,0,18,0,0,7,10,44,0,64,3,0,3,4,10,7,31,72,59,363,254,537,37,1320
UCL114002,16,64,23,20,0,148,8,8,77,46,75,13,226,0,0,3,3,8,0,13,0,3,11,16,41,0,69,0,0,6,7,28,0,45,59,39,291,243,731,54,1415
UCL114003,42,167,32,29,6,347,69,26,210,70,66,14,446,8,8,40,6,12,3,72,3,3,25,9,59,0,100,7,3,72,39,52,14,184,238,132,1100,511,928,144,3046
UCL114004,11,50,22,42,3,148,13,9,61,46,105,16,254,0,0,0,3,3,0,11,0,0,7,4,43,3,64,0,0,3,0,26,7,39,49,28,197,154,719,62,1213
UCL114005,10,67,33,53,9,179,11,7,62,56,171,14,322,0,0,0,0,13,8,16,4,0,8,3,72,8,87,0,0,4,3,36,20,62,33,26,225,186,1089,114,1672
UCL114006,18,83,20,35,6,183,26,14,83,50,89,12,264,0,0,9,4,9,0,18,0,3,10,3,60,5,78,3,4,4,3,17,10,40,91,52,356,246,840,108,1698
UCL114007,14,59,27,33,3,147,7,3,44,58,93,3,215,0,0,0,0,3,0,10,0,0,0,3,50,3,63,0,0,0,3,14,8,27,24,33,185,194,694,73,1201
UCL114008,11,54,15,21,3,112,11,14,63,39,83,9,218,0,0,0,3,12,0,11,0,4,5,11,57,5,72,0,0,3,11,27,10,48,33,29,212,179,729,93,1286
UCL114009,22,104,39,46,6,236,5,9,81,66,147,14,327,0,0,0,3,17,0,21,0,0,4,10,83,0,103,0,0,5,3,36,16,56,41,45,297,232,978,112,1707
UCL114010,15,91,22,30,5,172,23,19,84,77,97,15,320,0,0,4,3,9,0,14,0,0,11,9,63,3,84,3,0,6,4,30,16,57,61,53,340,255,870,128,1706
UCL114011,11,120,34,60,11,254,9,20,72,60,102,12,279,0,0,0,5,4,0,11,0,0,0,6,71,4,86,0,0,5,5,41,15,62,52,35,324,233,881,104,1627
UCL114012,9,54,21,20,0,123,8,0,45,47,93,7,194,0,0,4,0,3,0,13,3,0,3,5,58,0,63,0,0,3,6,25,11,42,41,22,170,178,566,61,1038
UCL114013,17,101,27,44,4,217,8,11,70,79,113,15,295,0,0,0,3,0,0,5,3,0,7,12,85,0,113,0,0,13,4,33,5,59,69,55,381,268,1063,133,1970
UCL114014,17,138,40,42,9,302,34,17,110,60,93,16,328,3,0,9,6,8,0,27,6,3,9,20,67,3,107,0,3,9,7,42,4,68,170,73,549,408,1032,95,2328
UCL114015,24,139,30,45,15,261,14,10,88,81,173,22,387,0,0,0,0,5,0,5,0,0,11,9,92,0,112,3,0,3,7,34,34,80,46,50,379,285,1158,159,2073
UCL114016,19,150,26,62,13,286,4,3,49,46,72,5,187,0,0,0,0,4,0,4,0,0,5,3,58,6,77,3,0,7,8,42,10,62,60,42,363,197,938,126,1730
UCL114017,44,198,46,43,7,398,82,36,199,61,71,25,472,0,3,11,4,9,0,34,3,0,7,16,39,3,63,9,3,19,14,28,11,79,222,125,772,352,710,87,2268
UCL114018,21,89,40,40,4,218,15,16,107,104,159,31,425,0,0,0,10,14,3,19,0,0,8,13,116,6,140,3,0,13,9,42,15,77,94,69,431,602,1538,127,2862
UCL114019,20,72,22,15,3,151,29,23,126,62,109,17,365,0,3,9,3,14,0,24,0,0,8,6,53,3,76,0,0,6,3,27,6,44,78,77,419,288,920,99,1883
UCL114020,13,134,16,50,4,235,23,9,84,72,99,13,290,0,0,3,3,4,0,10,3,0,0,12,85,5,106,0,0,3,9,37,23,70,69,39,401,270,848,111,1734
UCL114021,33,117,40,40,3,275,30,13,95,63,106,11,315,5,3,10,3,15,0,36,5,0,15,17,95,5,131,0,4,6,13,44,16,84,135,91,461,349,1112,115,2267
UCL114022,21,111,25,40,8,227,18,15,111,104,164,10,419,3,0,6,5,18,0,41,0,3,13,13,93,7,122,0,3,7,8,52,13,89,76,64,433,352,1109,113,2146
UCL114023,18,44,19,32,0,121,10,8,46,52,105,3,227,0,0,3,3,5,0,7,0,0,0,10,39,0,55,0,0,3,3,19,9,39,27,43,147,181,565,70,1031
UCL114024,7,84,27,25,9,174,10,13,62,53,97,16,242,0,0,4,0,8,0,8,0,0,5,11,68,0,94,0,0,8,3,38,13,69,64,45,305,202,740,107,1464
UCL114025,25,136,29,58,6,276,24,17,79,70,172,17,382,0,0,0,0,3,3,11,3,3,6,14,108,3,129,0,0,8,8,37,21,67,82,68,457,324,1354,141,2416
UCL114026,30,135,26,31,0,251,23,17,103,83,129,10,370,0,0,0,6,14,6,30,0,0,3,16,44,4,68,3,3,11,9,36,10,62,90,68,440,310,838,62,1813
UCL114027,3,66,17,21,0,135,8,9,47,29,74,11,181,0,0,3,0,12,4,20,0,4,9,5,47,5,68,3,0,3,5,25,9,43,75,26,238,208,650,55,1246
UCL114028,10,52,16,20,5,118,6,6,57,33,75,3,187,0,0,0,0,9,3,15,0,0,3,4,40,0,49,0,0,3,4,18,8,32,27,24,185,153,582,53,1032
UCL114029,10,54,15,33,3,126,5,3,53,60,122,12,258,0,0,0,6,7,0,12,3,0,0,3,61,0,69,0,0,7,4,38,6,55,32,22,178,223,898,59,1413
UCL114030,10,92,27,21,4,168,3,8,49,53,77,16,211,0,3,5,3,7,0,17,0,0,3,6,48,4,59,3,0,3,6,42,13,66,41,31,273,210,780,97,1423
UCL114031,14,65,22,39,4,146,12,11,63,81,142,13,322,0,0,0,4,6,0,10,0,0,3,8,79,5,101,0,0,0,0,32,10,49,30,33,204,213,909,89,1483
UCL114032,9,64,25,23,0,136,13,5,83,39,54,11,209,0,0,0,5,7,3,14,0,0,6,8,52,0,66,0,0,0,5,21,13,40,60,38,300,211,591,77,1281
UCL114033,5,22,11,10,0,45,9,3,11,18,21,4,68,0,0,0,3,3,3,5,3,0,0,0,16,0,22,0,0,0,4,8,0,18,11,13,57,80,275,35,476
UCL114034,15,83,27,32,3,174,8,17,74,49,94,16,253,0,0,5,3,8,0,21,3,0,10,12,60,0,81,0,0,3,9,30,6,50,85,47,375,234,710,63,1524
UCL114035,17,85,15,32,0,170,13,3,69,55,117,12,270,0,0,3,0,15,0,20,0,0,7,13,56,0,77,0,0,0,8,34,10,54,41,43,300,214,839,83,1512
UCL115001,0,14,3,14,3,44,0,0,6,8,21,3,38,0,0,0,3,0,0,4,0,0,0,0,23,0,24,0,0,0,3,12,3,17,9,5,40,42,315,36,450
UCL115002,12,31,8,17,0,74,0,3,15,11,12,3,45,0,0,0,0,0,0,0,0,0,4,0,17,0,22,0,0,0,3,3,0,11,15,14,78,78,268,14,472
UCL115003,12,26,3,14,0,65,4,9,33,14,17,3,72,0,0,4,0,3,0,8,0,0,3,3,4,0,11,0,0,0,3,0,0,9,17,24,108,48,160,20,378
UCL115004,3,18,3,3,0,25,0,0,12,11,17,3,41,0,0,0,0,0,0,3,0,0,0,0,11,0,15,0,0,0,0,0,7,12,8,7,35,37,115,20,224
UCL115005,12,38,7,3,0,76,15,8,48,27,19,3,120,0,0,4,11,0,0,17,0,0,5,4,14,0,24,3,0,10,3,8,3,31,52,27,231,111,144,23,582
UCL115006,4,48,14,15,7,105,8,5,24,40,47,3,125,0,0,3,0,4,0,6,0,0,5,4,53,0,58,0,0,0,7,25,0,35,33,22,131,168,558,35,944
UCL115007,3,18,5,0,0,28,0,0,8,15,15,0,41,0,0,0,0,0,0,5,0,0,0,0,7,0,8,0,0,0,3,8,3,13,6,6,43,46,109,15,224
UCL115008,9,31,5,6,0,43,0,0,12,19,25,4,62,0,0,0,0,3,0,6,0,0,0,3,20,0,23,0,0,3,4,8,3,12,3,9,76,77,217,21,403
UCL115009,0,14,4,3,0,27,0,0,14,9,23,3,49,0,0,0,0,0,0,0,0,0,0,0,7,0,10,0,0,0,3,0,3,5,0,4,38,22,85,8,162
UCL115010,0,19,7,6,0,34,0,3,19,19,35,3,75,0,0,0,0,0,0,5,0,0,0,0,10,0,13,0,0,0,0,13,0,11,10,7,51,69,216,14,364
UCL115011,3,9,8,7,0,26,0,0,7,17,14,0,41,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,3,4,8,7,7,46,43,115,18,230
UCL115012,20,34,6,14,0,72,13,3,69,40,84,16,226,0,0,0,0,8,0,7,0,0,5,3,33,0,39,0,0,0,4,7,10,21,30,33,181,128,506,61,935
UCL115013,17,64,19,7,3,129,18,9,89,48,50,3,216,0,0,15,3,3,0,17,4,0,4,0,19,0,30,0,3,9,3,9,0,23,65,40,279,152,275,34,847
UCL115014,0,10,9,8,0,40,6,7,12,7,15,0,36,0,0,3,0,4,0,6,0,0,4,0,11,0,13,0,0,0,0,6,3,13,23,10,57,49,164,14,313
UCL115015,3,21,4,6,5,55,13,4,52,21,12,3,101,0,0,6,0,3,0,10,0,3,7,3,12,0,27,7,0,0,0,3,3,11,56,25,162,87,166,22,516
UCL115016,0,12,3,3,0,25,0,3,5,13,22,4,42,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,3,0,3,32,29,85,19,174
UCL115017,28,69,21,15,4,206,46,13,76,51,46,14,242,3,0,14,6,8,0,38,0,6,12,7,29,0,55,3,0,13,6,12,4,42,181,73,405,236,429,43,1361
UCL115018,7,25,7,16,4,55,6,3,32,30,55,0,122,0,0,0,0,3,0,6,0,0,0,7,35,0,45,0,0,3,0,16,5,25,14,14,92,97,421,38,676
UCL115019,6,14,6,10,0,37,0,3,10,4,14,0,28,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,5,3,12,10,10,43,35,171,23,290
UCL115020,15,71,27,17,7,155,5,9,56,23,49,7,152,0,0,0,0,3,0,3,0,0,0,4,28,3,36,0,0,3,3,7,5,16,34,28,200,133,385,30,811
UCL115021,0,13,3,7,3,38,0,0,6,11,22,0,45,0,0,0,0,0,0,3,0,0,0,0,9,0,14,0,0,0,0,3,0,7,16,5,44,33,155,22,276
UCL115022,3,46,10,22,3,94,0,3,25,14,28,5,80,0,0,3,0,0,0,3,0,0,3,0,10,0,19,0,0,0,0,5,0,11,21,9,122,84,163,24,418
UCL115023,7,38,6,11,0,80,3,3,24,21,28,4,84,0,0,4,0,9,0,7,0,0,0,0,15,0,22,0,0,0,7,9,4,21,29,19,104,94,259,20,530
UCL115024,7,21,5,9,0,45,4,0,17,8,15,0,35,0,3,9,4,9,0,23,0,0,3,0,6,4,8,0,0,0,0,8,3,13,32,18,98,45,139,17,352
UCL115025,3,28,9,7,0,59,3,3,23,27,26,3,84,0,0,0,3,6,0,8,0,0,3,4,54,0,57,0,0,3,8,10,0,20,18,19,114,125,495,29,800
UCL115026,18,54,12,7,6,99,13,18,48,26,38,0,140,3,0,0,4,3,0,10,0,0,0,5,8,0,16,0,0,4,3,8,0,17,34,46,167,111,260,16,629
UCL115027,9,26,6,9,0,53,9,3,30,22,20,3,83,0,0,4,5,4,0,20,0,0,3,4,5,0,14,0,0,0,3,5,4,14,29,19,125,72,176,23,449
UCL115028,3,9,0,4,3,21,0,3,10,3,16,3,43,0,0,0,0,3,0,3,0,0,0,0,14,0,16,0,0,0,0,5,0,5,4,8,25,20,121,28,202
UCL115029,4,32,10,17,3,78,7,11,47,32,25,5,119,0,3,10,0,4,3,16,3,0,3,8,17,0,24,0,0,10,3,14,3,24,56,32,164,115,276,30,682
UCL115030,10,32,7,11,0,88,20,4,36,27,25,3,111,4,3,7,5,3,3,25,0,0,0,6,6,0,15,6,0,5,4,11,4,20,87,32,182,119,242,30,699
UCL115031,12,57,22,14,0,131,9,9,37,27,25,3,103,0,0,3,4,4,0,11,4,0,5,3,44,0,59,0,0,10,5,21,4,42,160,75,278,258,469,39,1279
UCL115032,7,18,13,11,0,48,3,0,13,25,32,0,69,0,0,0,0,0,0,3,0,0,0,3,20,3,25,0,0,4,4,23,3,33,9,10,54,85,326,27,515
UCL115033,19,69,26,27,3,162,9,16,49,38,62,7,183,0,0,0,5,0,3,5,0,0,5,7,25,3,38,0,0,3,3,15,5,24,46,44,188,175,426,35,917
UCL115034,6,26,16,20,4,83,4,3,32,34,47,4,136,0,0,5,4,3,0,9,0,0,0,3,19,0,29,0,0,5,3,13,9,27,25,22,134,147,390,30,757
UCL115035,9,42,11,6,0,75,8,12,20,17,26,3,87,0,0,0,0,3,0,5,0,0,0,0,8,0,13,3,0,0,0,4,0,6,28,24,124,81,166,18,440
UCL115036,4,15,6,9,3,43,4,3,14,22,19,0,62,0,0,0,0,4,0,5,0,0,5,3,3,0,13,0,0,0,0,0,6,6,5,12,59,48,161,23,312
UCL115037,10,51,7,8,0,85,10,3,28,26,32,3,96,0,0,0,0,0,0,3,0,0,3,0,37,0,41,0,0,0,3,19,5,25,37,19,189,112,559,54,978
UCL115038,6,14,10,13,0,53,3,4,22,16,23,7,71,0,0,5,0,0,0,3,0,0,0,3,17,0,19,0,0,0,0,13,0,12,13,14,64,70,242,15,426
UCL115039,9,52,10,10,3,90,3,3,17,18,47,3,95,0,0,0,0,3,0,5,0,0,0,0,25,4,36,0,0,11,10,12,10,33,14,23,122,83,301,57,591
UCL115040,7,37,9,7,0,76,5,3,14,17,24,5,65,0,0,0,0,3,0,3,0,0,0,0,12,0,15,0,0,3,3,8,3,11,26,13,78,67,229,27,432
UCL115041,11,36,9,19,3,81,3,0,19,24,39,8,89,0,0,0,0,3,0,4,0,0,0,3,21,0,22,0,0,0,0,14,11,23,22,10,105,65,264,34,504
UCL115042,3,29,8,15,3,70,4,3,22,30,33,6,95,0,0,0,0,0,0,0,0,0,0,0,17,6,24,0,0,0,0,14,6,18,21,6,74,68,236,45,443
UCL115043,9,26,13,11,0,56,3,4,20,13,21,5,67,0,0,0,3,3,0,8,0,0,0,3,16,0,23,0,0,0,3,9,0,17,13,14,93,75,202,20,420
UCL115044,12,26,12,13,0,56,0,3,22,25,40,7,90,0,0,0,0,0,0,5,0,0,0,4,23,0,29,0,0,0,0,7,0,13,8,18,76,78,284,28,494
UCL115045,10,33,26,8,0,90,9,7,38,30,54,6,150,0,0,3,0,3,4,9,0,0,3,5,23,0,36,3,3,3,0,24,0,33,37,31,123,144,423,39,800
UCL115046,3,12,8,11,0,40,0,0,5,11,12,7,39,0,0,0,0,0,0,3,0,0,0,0,5,0,8,0,0,0,0,3,0,3,5,3,33,48,128,14,230
UCL115047,8,23,5,7,0,46,0,3,27,12,36,0,85,0,3,0,0,3,0,12,0,0,0,3,17,0,16,0,0,0,0,5,0,6,12,16,80,69,196,15,383
UCL115048,0,8,6,4,0,17,0,0,4,7,16,3,34,0,0,0,0,0,0,0,0,0,0,3,16,0,20,0,0,0,0,6,7,13,8,3,30,49,214,15,312
UCL115049,3,13,0,8,0,25,0,0,10,10,15,0,40,0,0,0,0,3,0,3,0,0,0,0,9,0,15,0,0,0,0,3,3,6,7,5,35,24,104,10,198
UCL115050,7,21,9,12,0,56,4,3,17,8,9,3,46,0,0,0,0,0,0,0,0,0,5,0,12,3,21,0,0,0,0,7,0,15,21,12,74,66,172,21,362
UCL115051,6,26,11,19,5,64,4,0,19,20,27,3,69,0,0,3,0,0,0,3,0,0,3,3,27,0,30,0,0,3,0,10,0,9,18,16,84,67,261,19,461
UCL115052,7,20,9,9,0,53,4,5,27,22,34,0,83,0,0,0,0,3,0,11,0,0,0,0,37,3,44,0,0,5,0,14,17,33,15,16,86,97,335,52,597
