UCL_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
UCL122003,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,9,15,40,50,53,42,41,4,0,248
UCL122004,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,0,0,0,22,3,3,15,31,29,66,29,4,5,187
UCL122005,0,0,0,0,3,4,4,10,3,31,0,0,0,0,0,0,0,0,0,0,5,7,8,4,13,10,11,8,0,70,9,23,27,26,63,63,65,49,15,339
UCL122006,0,0,0,3,0,6,13,3,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,3,0,16,9,0,13,31,27,48,54,20,12,203
UCL122007,0,0,0,3,7,14,15,19,3,62,0,0,0,0,0,0,3,0,0,5,0,0,0,3,4,8,10,11,11,55,10,13,18,40,50,99,71,45,17,362
UCL122008,0,0,3,0,0,3,8,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,8,3,7,5,5,0,0,33,6,19,40,35,40,26,26,7,0,206
UCL122009,0,0,0,0,0,6,5,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,12,3,4,8,3,4,0,29,6,16,50,46,35,51,40,12,3,257
UCL122010,0,0,0,0,5,4,3,3,6,14,0,0,0,0,0,0,3,0,0,4,0,0,0,3,0,4,0,0,0,8,14,20,37,43,56,39,28,13,5,254
UCL122011,0,0,0,0,5,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,9,19,20,30,31,71,76,16,4,0,256
UCL122012,0,0,0,0,8,11,5,7,3,31,0,0,0,0,0,0,0,0,0,0,3,0,7,6,0,9,9,7,3,36,9,16,35,31,38,49,38,17,15,251
UCL122013,0,0,0,0,3,7,5,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,0,0,20,5,6,16,25,19,44,43,11,0,170
UCL122014,0,0,0,0,0,11,12,6,0,32,0,0,0,0,0,0,0,0,0,3,0,4,8,3,3,10,4,7,0,36,11,16,46,39,35,57,29,18,0,246
UCL122015,0,0,0,0,3,5,8,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,3,8,3,0,30,7,10,25,33,49,62,42,17,3,254
UCL122016,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,15,3,3,7,26,22,42,54,16,3,177
UCL122017,0,0,0,0,0,0,3,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,12,14,17,28,28,39,30,19,6,4,187
UCL122018,0,0,0,0,0,4,5,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,3,0,8,3,22,6,12,37,42,36,55,40,18,5,258
UCL122019,0,0,0,0,9,15,17,7,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,21,3,3,42,7,11,20,32,54,80,82,33,17,343
UCL122020,0,0,0,0,3,3,3,3,0,13,0,0,0,0,0,0,0,0,0,3,0,0,4,0,3,5,3,5,0,21,11,10,23,34,53,45,38,14,3,226
UCL122021,0,0,0,3,0,3,9,9,0,29,0,0,0,0,0,0,0,0,0,3,3,0,0,0,7,8,8,14,0,44,4,10,20,19,36,67,51,42,13,265
UCL122022,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,3,0,0,16,9,3,4,28,34,35,36,9,0,149
UCL122023,0,0,0,0,3,0,3,5,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,10,0,19,8,24,22,35,71,82,55,42,10,339
UCL122024,0,0,0,0,0,0,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,14,9,14,25,38,53,81,69,15,5,310
UCL122025,0,0,0,0,0,3,4,3,0,15,0,0,0,0,0,0,0,0,0,0,9,0,0,3,9,7,6,7,0,41,12,17,39,49,55,73,88,51,4,389
UCL122026,0,0,0,0,0,0,6,3,0,12,0,0,0,0,0,0,0,0,0,0,0,4,0,6,3,5,7,3,0,22,9,13,25,42,47,40,43,8,3,220
UCL122027,0,0,0,0,0,4,8,8,0,23,0,0,0,0,0,0,0,0,0,0,0,0,5,3,10,10,11,9,0,50,14,13,50,52,75,78,52,34,0,383
UCL122028,0,0,0,0,0,3,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,19,8,5,23,40,27,29,22,5,3,170
UCL122029,0,0,0,0,4,3,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,14,5,3,9,13,28,39,47,36,11,195
UCL122030,0,0,0,3,6,13,12,9,14,55,0,0,0,0,0,0,0,0,0,3,3,6,4,3,8,9,6,7,0,35,7,22,23,37,53,73,56,36,15,321
UCL122031,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,11,0,5,9,24,31,39,37,11,4,157
UCL122032,0,0,0,0,0,3,4,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,4,3,13,4,8,0,0,36,6,8,33,32,80,63,40,9,0,274
UCL122033,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,10,14,36,57,36,32,13,3,0,192
UCL122034,0,0,0,3,7,8,4,0,0,16,0,0,0,0,0,0,3,0,0,3,0,3,9,0,4,3,0,0,3,28,8,14,73,69,71,50,31,15,5,336
UCL122035,0,0,0,0,0,0,3,4,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,6,3,20,7,0,10,12,25,34,28,47,12,170
UCL122036,0,0,0,0,0,3,7,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,3,0,20,3,14,38,25,34,31,20,16,4,192
UCL122037,0,0,0,0,0,3,3,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,5,0,12,6,6,14,26,25,45,23,15,3,159
UCL122038,0,0,0,0,0,10,8,12,0,29,0,0,0,0,0,0,0,0,0,3,0,0,10,5,9,13,9,5,3,51,8,13,34,30,51,88,52,27,7,309
UCL122039,0,0,7,3,4,9,17,6,5,51,0,0,0,0,0,0,0,0,0,3,0,0,10,3,3,5,0,0,0,26,15,16,57,64,37,55,49,16,9,323
UCL122040,0,0,0,0,0,3,4,4,0,14,0,0,0,0,0,0,0,0,0,3,4,0,0,11,3,8,9,11,5,45,3,11,23,39,40,62,61,24,11,267
UCL122041,0,0,0,0,5,8,6,4,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,7,0,27,8,14,23,41,57,73,46,23,3,288
UCL122042,0,0,0,0,3,3,5,4,3,13,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,16,3,6,0,41,10,11,49,36,56,81,46,13,4,307
UCL122043,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,3,4,0,0,3,0,6,4,0,0,15,22,18,23,55,39,48,25,4,0,226
UCL122044,0,0,0,0,0,10,4,10,0,20,0,0,0,0,0,0,0,0,0,0,3,3,4,3,5,0,4,0,0,23,7,10,35,33,46,48,30,21,5,240
UCL122045,0,0,0,0,0,6,10,0,0,22,0,0,0,0,0,0,0,0,0,0,5,0,4,6,8,9,17,4,0,64,15,6,17,22,29,40,39,8,4,175
UCL122046,0,0,0,0,4,6,0,3,4,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,7,0,0,22,3,11,29,27,29,41,42,23,10,215
UCL122047,0,0,0,0,0,0,0,5,5,18,0,0,0,0,0,0,0,0,0,0,0,4,3,3,5,12,13,10,0,62,10,18,20,23,62,113,96,46,20,408
UCL122048,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,6,4,4,0,23,8,5,11,35,48,58,53,20,0,241
UCL122049,0,0,0,0,3,11,13,5,0,35,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,4,3,9,0,28,6,7,12,28,45,64,67,34,9,270
UCL122050,0,0,0,0,0,4,8,5,5,20,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,5,4,5,4,28,10,11,23,20,38,49,41,25,15,232
UCL122051,0,0,0,0,8,0,3,8,0,17,0,0,0,0,0,0,0,0,0,0,4,3,0,7,3,8,9,9,0,39,5,13,28,28,34,41,31,25,0,223
UCL122052,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,5,0,6,6,4,7,3,0,0,27,11,16,37,71,61,65,47,8,3,311
UCL122053,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,4,0,3,17,3,7,14,26,36,42,32,8,9,178
UCL122054,0,0,3,0,3,6,21,11,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,9,14,3,44,5,6,16,28,45,54,69,42,9,281
UCL122055,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10,3,3,25,6,12,26,44,52,67,82,35,11,330
UCL122056,0,0,0,0,0,8,11,3,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,7,3,8,13,34,29,42,41,25,11,214
UCL122057,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,9,11,9,0,0,37,8,20,28,30,57,49,33,4,0,232
UCL122058,0,0,0,0,3,3,6,4,0,19,0,0,0,0,0,0,0,0,0,0,3,0,10,9,14,28,16,5,0,95,16,10,35,60,57,103,74,33,6,387
UCL122059,0,0,4,0,3,9,6,3,0,28,0,0,0,0,0,0,0,0,0,0,3,0,4,3,3,5,11,3,0,35,11,26,49,48,66,73,57,29,3,358
UCL122060,0,0,0,0,0,6,7,9,0,25,0,0,0,0,0,0,0,0,0,0,6,3,3,7,0,8,9,3,7,39,15,22,48,46,45,70,41,27,8,329
UCL122061,0,0,3,0,3,3,6,3,4,31,0,0,0,0,0,0,0,0,0,0,5,0,3,7,4,5,4,4,0,38,13,15,41,59,57,67,60,25,8,358
UCL122062,0,0,0,0,4,7,15,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,11,3,14,25,14,23,26,18,0,0,126
UCL122063,0,0,0,0,3,3,9,5,0,22,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,0,0,0,16,11,15,37,32,56,29,26,14,3,215
UCL122064,3,0,0,3,0,11,7,3,0,23,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,7,0,0,3,13,12,14,45,33,35,42,22,20,6,222
UCL122065,0,0,0,4,3,11,3,12,4,39,0,0,0,0,0,0,3,0,0,8,0,6,6,9,3,10,6,10,11,61,4,28,34,39,61,47,35,35,12,296
UCL122066,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,11,7,9,0,0,0,32,8,15,41,97,85,52,20,10,0,320
UCL122067,0,0,0,0,0,3,4,0,3,16,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,5,3,0,0,20,10,16,12,45,63,81,64,16,8,318
UCL122068,0,0,0,0,0,4,4,0,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,8,0,17,0,13,15,21,44,73,54,33,14,260
UCL122069,0,0,0,0,0,0,4,3,3,12,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,0,3,3,0,14,19,21,23,44,56,46,41,12,9,263
UCL122070,0,0,0,0,0,0,3,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,7,0,0,20,18,16,35,54,56,77,60,13,9,339
UCL122071,0,0,0,0,3,3,3,0,0,8,0,0,0,0,0,0,0,0,0,0,4,4,22,17,18,12,4,4,0,80,3,3,38,21,40,27,17,14,0,170
UCL122072,0,0,0,0,0,3,7,3,0,15,0,0,0,0,0,0,0,0,0,5,0,0,0,5,6,6,7,3,0,29,3,6,12,37,49,54,64,24,5,255
UCL122073,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,3,0,0,16,11,19,50,46,65,51,45,21,10,318
UCL122074,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,4,6,0,4,7,7,0,36,0,14,17,21,28,42,39,25,11,190
UCL122075,0,0,0,0,0,3,6,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,6,4,4,21,0,8,21,18,36,55,48,25,8,228
UCL122076,0,0,0,0,3,4,6,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,4,0,0,21,16,17,40,60,47,49,27,19,5,279
UCL122077,0,0,0,0,3,7,12,6,0,35,0,0,0,0,0,0,0,4,0,4,0,0,0,3,3,14,11,9,0,38,5,10,10,25,40,51,54,31,5,232
UCL122078,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,10,17,32,29,40,32,32,5,0,199
UCL122079,0,0,0,0,0,5,9,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,3,3,16,29,30,33,37,6,0,161
UCL122080,0,0,0,0,0,5,9,6,0,19,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,4,3,11,5,28,3,9,13,24,40,100,102,55,21,369
UCL122081,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,9,5,9,26,52,24,20,9,0,152
UCL122082,0,0,0,0,0,8,6,16,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,13,8,11,25,41,43,65,49,31,3,270
UCL122083,0,0,0,0,0,0,0,9,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,12,0,23,3,7,11,20,44,54,43,47,18,247
UCL122084,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,4,3,3,3,0,0,0,14,13,16,34,40,40,51,37,8,0,233
UCL122085,0,0,0,0,0,0,4,5,0,16,0,0,0,0,0,0,0,0,0,0,0,3,4,0,9,4,5,0,0,31,13,22,49,60,60,83,48,22,8,360
UCL122086,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,5,12,4,7,0,0,3,37,5,18,47,71,51,58,30,26,10,325
UCL122087,0,0,0,0,4,3,7,4,0,20,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,4,3,0,0,23,14,29,51,60,67,50,46,7,3,338
UCL122088,0,0,0,0,0,0,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,8,0,4,0,21,6,18,19,29,34,46,38,17,8,214
UCL122089,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,3,0,20,4,9,27,33,43,68,69,30,12,300
UCL122090,0,0,0,0,3,11,15,8,3,43,0,0,0,0,0,0,0,0,0,0,3,4,0,3,10,4,4,9,7,49,20,13,53,59,61,65,59,35,11,380
UCL122091,0,0,0,0,3,0,5,3,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,16,13,0,44,6,7,6,10,29,56,68,33,13,221
UCL122092,0,0,0,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,3,0,6,4,3,5,4,3,0,26,10,20,17,24,61,50,27,12,0,228
UCL122093,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,5,3,19,7,10,32,24,26,35,15,18,6,172
UCL122094,0,0,0,0,3,3,12,6,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,14,6,0,31,0,15,18,21,34,45,44,23,3,205
UCL122095,0,0,0,0,0,13,19,6,3,42,0,0,0,0,0,0,0,0,0,0,3,0,13,4,19,6,7,12,0,65,10,21,48,32,65,64,55,18,6,323
UCL122096,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,0,0,18,3,3,9,23,18,44,46,12,10,170
UCL122097,0,0,0,7,0,6,8,0,0,20,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6,0,6,0,0,22,6,11,22,34,35,31,40,10,3,192
UCL122098,0,3,0,0,0,4,10,5,0,24,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3,7,9,5,31,3,11,43,34,42,50,65,31,10,277
UCL122099,0,0,0,0,3,7,6,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,9,15,15,40,35,74,73,63,16,3,328
UCL122100,0,0,0,0,0,5,5,3,5,22,0,0,0,0,0,0,0,0,0,4,3,0,0,0,4,8,3,11,3,38,3,11,35,26,28,51,43,32,15,237
UCL122101,0,0,0,0,0,0,3,5,3,13,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,0,3,3,0,22,8,16,33,37,53,55,37,24,7,268
UCL122102,0,0,0,0,0,4,13,8,0,26,0,0,0,0,0,0,0,0,0,3,6,3,5,16,12,11,4,0,0,54,13,13,44,58,58,55,42,15,6,309
UCL122103,0,0,0,0,0,3,5,4,9,20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,3,4,0,15,11,10,24,30,51,63,51,22,10,282
UCL122104,0,0,0,0,0,3,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,15,23,37,31,26,15,9,0,158
UCL122105,0,0,0,0,0,9,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,15,5,11,6,28,35,34,38,13,9,183
UCL122106,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,14,3,3,17,3,11,25,30,35,27,25,9,3,166
UCL122107,0,0,0,0,9,4,5,0,0,21,0,0,0,0,0,0,0,0,0,0,5,3,12,7,14,20,11,5,7,80,10,11,36,54,85,84,58,8,16,367
UCL122108,0,0,0,0,0,3,5,0,0,8,0,0,0,0,0,0,0,3,0,3,0,0,4,0,3,3,11,8,0,26,3,3,19,12,23,46,44,17,3,170
UCL122109,0,0,0,0,3,3,6,3,4,17,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,0,16,3,5,33,4,4,22,30,40,77,113,42,16,349
UCL122110,0,0,0,0,0,3,3,3,3,13,0,0,0,0,0,0,0,0,0,0,3,3,4,5,3,9,10,10,0,40,12,9,21,63,42,62,46,16,5,286
UCL122111,0,0,0,0,3,0,3,15,0,24,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,3,14,5,4,35,3,6,18,27,44,40,62,44,11,248
UCL122112,0,0,0,0,0,3,4,10,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,3,0,8,6,6,13,17,38,39,27,24,0,182
UCL122113,0,0,0,0,0,5,3,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,4,0,3,0,13,18,30,37,45,86,57,32,15,3,326
UCL122114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,9,15,21,56,56,48,18,3,0,216
UCL122115,0,0,0,0,5,0,10,4,0,23,0,0,0,0,0,0,0,0,0,0,0,0,7,6,6,3,3,10,3,33,4,17,36,14,42,42,37,24,3,219
UCL122116,0,0,0,0,0,0,0,5,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,3,0,12,9,14,39,39,57,58,31,19,3,261
UCL122117,0,0,0,0,0,0,4,3,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,14,5,9,6,5,19,38,66,20,9,177
UCL122118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,0,0,0,0,0,0,19,4,16,30,17,4,13,6,0,0,92
UCL122119,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,4,3,12,9,3,4,3,31,14,13,45,43,62,51,45,16,7,298
UCL122120,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,3,0,0,10,4,9,42,47,62,53,31,4,0,260
UCL122121,0,0,0,3,0,3,6,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,4,0,0,23,8,17,13,29,44,59,60,19,3,239
UCL122122,0,0,0,0,0,0,4,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,7,5,12,32,22,45,34,13,3,167
UCL122123,0,0,0,0,0,3,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,0,4,0,20,5,23,22,33,40,58,46,27,3,252
UCL122124,0,0,0,0,0,4,3,0,0,7,0,0,0,0,0,0,0,0,0,3,3,3,4,3,9,4,9,3,0,41,10,7,26,32,40,46,58,21,3,245
UCL122125,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,5,0,3,0,3,4,6,8,0,28,15,32,42,31,58,69,28,22,8,308
UCL122126,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,3,3,0,20,18,29,36,55,67,57,26,11,0,303
UCL122127,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,8,7,11,39,43,46,31,21,3,0,211
UCL122128,0,0,0,0,0,0,3,4,0,10,0,0,0,0,0,0,0,0,0,0,5,3,0,4,10,5,10,0,0,39,7,14,28,26,56,62,64,14,5,278
UCL122129,0,0,0,3,6,5,4,3,0,16,0,0,0,0,0,0,0,0,0,0,0,4,5,3,4,8,0,0,0,32,10,21,41,66,70,75,42,19,0,349
UCL122130,0,0,0,0,3,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,3,0,19,4,14,29,45,27,39,24,14,3,197
UCL122131,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,16,20,27,39,67,66,54,44,18,7,341
UCL122132,0,0,0,0,0,5,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,3,0,16,4,5,11,25,25,37,41,13,3,161
UCL122133,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,9,6,10,21,34,46,27,20,4,0,172
UCL122134,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,11,3,0,30,0,9,14,9,18,56,60,17,4,194
UCL122135,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,11,15,19,16,21,53,75,37,12,3,247
UCL122136,0,0,0,0,0,4,10,0,0,11,0,0,0,0,0,0,0,0,0,0,4,0,0,6,8,4,15,9,8,47,9,9,23,36,53,36,56,20,14,258
UCL122137,0,0,0,0,4,0,4,3,0,13,0,0,0,0,0,0,0,0,0,0,3,0,0,4,9,8,6,6,0,28,5,17,23,14,33,26,28,15,3,173
UCL122138,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,17,3,11,13,25,53,47,57,15,4,225
UCL122139,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,3,3,0,3,3,5,0,0,17,3,11,19,33,27,43,29,0,6,164
UCL122140,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,11,28,18,25,14,6,0,0,105,8,36,80,71,73,50,17,4,3,340
UCL122141,0,0,4,0,8,21,15,11,9,56,0,0,0,0,0,0,0,0,0,0,3,7,6,9,14,15,16,8,3,75,19,21,30,45,46,89,50,38,13,360
UCL122142,0,0,0,0,0,3,5,3,0,14,0,0,0,0,0,0,0,0,0,3,7,0,3,7,12,15,8,0,0,49,9,7,28,25,53,67,59,11,9,260
UCL122143,0,0,0,0,0,0,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,3,0,0,0,14,9,8,46,50,59,57,40,9,0,285
UCL122144,0,0,0,0,0,0,4,4,3,12,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,7,3,8,4,31,8,13,27,10,21,29,21,29,6,154
UCL122145,4,0,0,0,7,3,0,4,0,21,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,16,19,25,24,21,11,7,4,0,124
UCL122146,0,0,0,0,0,4,4,15,0,23,0,0,0,0,0,0,0,0,0,3,0,0,4,7,3,7,15,7,6,43,6,9,31,28,38,49,57,54,11,290
UCL122147,0,0,0,0,3,15,7,0,4,29,0,0,0,0,0,0,3,0,0,4,9,4,0,0,9,9,13,9,5,58,11,16,38,35,59,80,55,29,19,343
UCL122148,0,0,0,0,4,5,4,6,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,4,0,24,7,9,18,14,52,61,42,12,3,219
UCL122149,0,0,0,0,0,6,4,6,4,16,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,3,7,5,3,28,0,4,25,17,26,39,30,17,11,177
UCL122150,0,0,0,0,3,3,7,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,8,7,3,8,0,3,0,25,5,13,45,42,63,69,25,12,5,282
UCL122151,0,0,0,0,0,3,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,4,0,16,15,18,12,35,44,39,17,14,0,194
UCL122152,0,0,0,0,4,5,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,20,3,6,9,18,28,41,27,4,6,149
UCL122153,0,0,0,0,4,5,4,9,9,34,0,0,0,0,0,0,0,0,0,4,0,0,3,7,6,7,6,0,4,32,16,16,29,28,71,70,62,36,27,356
UCL122154,0,0,0,3,0,5,6,3,3,28,0,0,0,0,0,0,0,0,0,0,6,0,0,3,4,7,3,8,0,34,9,15,18,27,28,60,32,27,10,225
UCL122155,0,0,0,3,0,7,6,0,0,24,0,0,0,0,0,0,0,0,0,3,6,4,0,10,14,7,10,10,8,66,16,13,15,20,48,54,48,30,11,255
UCL122156,0,0,0,3,0,6,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,5,7,8,4,44,4,3,11,21,22,46,38,24,13,185
UCL122157,0,0,0,0,3,5,5,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,3,0,0,12,3,5,13,14,40,46,39,20,3,181
