UCL_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
UCL322078,14,3,3,0,0,0,0,21
UCL322079,33,3,6,0,0,0,0,42
UCL322080,12,3,0,0,0,0,0,18
UCL322081,17,5,0,0,0,0,0,24
UCL322082,30,0,3,0,0,0,3,37
UCL322083,16,0,0,0,0,0,0,19
UCL322084,9,0,0,0,0,0,0,13
UCL322085,58,0,0,0,0,0,0,63
UCL322086,14,4,0,0,0,0,0,18
UCL322087,32,5,3,0,0,0,0,39
UCL322088,17,0,0,0,0,0,0,18
UCL322089,39,4,0,0,0,0,0,46
UCL322090,21,3,0,0,0,0,0,30
UCL322091,23,4,0,0,0,0,0,24
UCL322092,31,4,0,0,0,0,3,47
UCL322093,31,0,0,0,0,0,0,34
UCL322094,16,0,0,0,0,0,0,22
UCL322095,21,0,3,0,0,0,0,24
UCL322096,41,7,0,0,0,0,0,48
UCL322097,57,5,4,5,0,0,0,67
UCL322098,11,0,0,0,0,0,0,16
UCL322099,52,0,3,0,0,0,0,58
UCL322100,7,3,0,0,0,0,0,11
UCL322101,9,0,4,0,0,0,0,18
UCL322102,26,0,8,4,0,0,0,45
UCL322103,34,3,0,0,0,0,0,35
UCL322104,25,3,0,0,0,0,0,30
UCL322105,23,0,0,0,0,0,0,24
UCL322106,29,0,0,0,0,0,0,29
UCL322107,14,0,0,0,0,0,0,24
UCL322108,3,0,0,0,0,0,0,5
UCL322109,13,0,0,0,0,0,0,20
UCL322110,33,0,3,0,0,0,0,42
UCL322111,35,3,0,0,0,0,0,35
UCL322112,33,3,0,0,0,0,0,38
UCL322113,19,5,3,0,0,0,0,25
UCL322114,14,0,0,3,0,0,3,27
UCL322115,30,3,6,0,0,0,0,36
UCL322116,23,0,3,0,0,0,0,29
UCL322117,57,7,0,0,0,0,0,63
UCL322118,17,3,0,3,0,0,0,23
UCL322119,16,3,0,0,0,0,0,13
UCL322120,24,5,0,0,0,0,0,30
UCL322121,24,3,0,0,0,0,0,25
UCL322122,37,3,0,0,0,0,0,42
UCL322123,25,0,3,0,0,0,0,37
UCL322124,18,6,0,0,0,0,0,24
UCL322125,14,0,0,0,0,0,0,14
UCL322126,14,0,0,0,0,0,0,17
UCL322127,10,3,3,0,0,0,0,17
UCL322128,18,3,3,0,0,0,0,24
UCL322129,31,0,3,0,0,0,0,33
UCL322130,24,3,0,0,0,0,0,31
UCL322131,40,3,5,4,0,0,0,50
UCL322132,23,0,3,0,0,0,0,23
UCL322133,25,0,5,0,0,0,0,34
UCL322134,34,10,5,0,0,0,0,48
UCL322135,15,3,0,0,0,0,0,20
UCL322136,25,4,6,0,0,0,0,30
UCL322137,28,3,0,0,0,0,0,34
UCL322138,0,0,0,0,0,0,0,0
UCL322139,24,0,0,4,0,0,3,29
UCL322140,46,4,3,0,0,0,0,50
UCL322141,13,3,0,0,0,0,0,19
UCL322142,18,0,0,0,0,0,0,20
UCL322143,24,3,0,3,0,0,0,25
UCL331777,42491,3321,2173,563,105,35,398,49083
UCL379997,0,0,0,0,0,0,0,0
UCL399994,0,0,0,0,0,0,0,0
UCL401001,115979,9200,4626,1236,172,75,495,131777
UCL412001,2483,285,165,27,6,0,12,2977
UCL412002,2160,246,154,26,3,0,25,2614
UCL412003,1664,181,145,18,6,0,26,2044
UCL413001,1924,130,49,13,0,0,0,2111
UCL413002,1796,159,91,10,0,0,3,2067
UCL413003,1249,126,89,18,7,0,17,1506
UCL413004,935,75,69,21,6,3,13,1120
UCL413005,1118,99,85,10,3,3,7,1320
UCL413006,1015,98,78,12,3,0,18,1233
UCL413007,860,88,63,10,4,0,23,1040
UCL414001,390,56,30,7,0,0,0,483
UCL414002,409,37,20,4,0,0,3,480
UCL414003,511,44,42,0,0,0,4,598
UCL414004,470,39,37,6,0,0,3,557
UCL415001,184,11,7,0,0,0,0,211
UCL415002,427,26,20,3,0,0,5,487
UCL415003,156,9,9,3,0,0,5,184
UCL415004,150,17,7,0,0,0,0,187
UCL415005,109,8,6,0,0,0,0,133
UCL415006,298,30,16,0,0,0,5,347
UCL415007,203,17,16,0,0,0,3,232
UCL415008,163,17,16,3,0,0,0,198
UCL415009,249,12,14,0,0,0,0,280
UCL415010,88,10,3,5,0,0,3,106
UCL415011,101,6,0,3,0,0,0,112
UCL415012,224,25,13,0,0,0,0,269
UCL415013,205,19,10,0,0,0,0,233
UCL415014,117,7,4,0,0,0,0,122
UCL415015,338,44,27,4,0,0,0,415
UCL415016,196,31,19,0,0,0,3,246
UCL415017,130,12,3,0,0,0,0,144
UCL415018,118,13,4,0,0,0,0,134
UCL415019,180,24,10,3,3,0,0,225
UCL415020,212,23,11,0,0,0,0,248
UCL415021,268,25,18,3,0,0,3,323
UCL415022,184,19,12,0,0,0,0,215
UCL415023,67,5,4,0,0,0,0,80
UCL415024,113,16,9,4,0,0,0,144
UCL415025,166,18,7,0,0,0,3,190
UCL415026,274,15,7,0,0,0,0,299
UCL415027,356,34,28,0,0,0,3,424
UCL415028,253,21,18,3,3,0,3,297
UCL415029,127,9,13,5,0,0,0,156
UCL415030,573,46,36,0,0,0,0,660
UCL415031,95,12,8,0,0,0,3,116
UCL415032,115,6,10,0,0,0,0,129
UCL415033,62,4,4,3,0,0,0,80
UCL415034,47,10,0,0,0,0,0,57
UCL415035,302,32,29,4,0,0,3,365
UCL415036,66,0,9,0,0,0,0,76
UCL415037,433,31,31,3,0,0,4,505
UCL415038,92,8,4,0,0,0,0,113
UCL415039,405,28,19,4,0,0,0,456
UCL415040,92,4,3,0,0,0,0,99
UCL415041,209,15,15,0,0,0,6,247
UCL415042,103,6,8,0,0,0,0,114
UCL415043,247,33,20,0,0,0,3,302
UCL415044,250,27,20,0,0,0,0,297
UCL415045,243,16,20,0,0,0,3,280
UCL415046,191,19,3,0,0,0,0,218
UCL421001,45,9,7,3,0,0,0,67
UCL421002,54,6,3,3,0,0,0,72
UCL421003,100,13,3,0,0,0,0,114
UCL421004,53,3,6,0,0,0,0,66
UCL421005,57,0,0,0,0,0,0,60
UCL421006,80,7,4,0,3,0,3,96
UCL421007,32,5,5,0,0,0,0,45
UCL421008,66,4,10,0,0,0,0,77
UCL421009,58,0,0,0,0,0,0,56
UCL421010,80,3,3,0,0,0,0,86
UCL421011,27,3,3,0,0,0,0,35
UCL421012,41,3,4,4,0,0,0,45
UCL421013,120,9,6,3,0,0,0,140
UCL421014,65,10,0,0,0,0,0,80
UCL421015,48,9,3,0,0,0,0,62
UCL421016,63,8,4,0,0,0,0,74
UCL421017,77,8,7,0,0,0,0,86
UCL421018,51,4,0,0,0,0,0,52
UCL421019,43,0,3,0,0,0,0,44
UCL421020,107,12,6,0,0,0,0,126
UCL421021,68,6,7,0,0,0,0,84
UCL421022,91,4,3,0,0,0,0,104
UCL421023,51,4,3,0,0,0,3,62
UCL421024,78,4,3,0,0,0,0,93
UCL421025,39,7,8,0,0,0,3,57
UCL421026,50,3,4,0,0,0,0,54
UCL421027,43,5,9,0,0,0,0,56
UCL421028,82,0,4,0,0,0,0,87
UCL421029,42,0,0,0,0,0,0,40
UCL421030,76,11,6,0,0,0,0,92
UCL421031,38,6,0,0,0,0,0,50
UCL421032,38,8,0,0,0,0,0,46
UCL421033,40,6,4,0,0,0,0,48
UCL421034,83,7,3,3,0,0,5,97
UCL421035,43,3,3,0,0,0,0,49
UCL421036,135,14,9,3,0,0,0,157
UCL421037,28,0,0,0,0,0,0,32
UCL421038,71,6,3,0,0,0,0,84
UCL421039,120,4,4,0,0,0,0,126
UCL421040,103,15,6,0,0,0,0,117
UCL421041,67,8,4,3,0,0,0,79
UCL421042,47,0,8,0,0,0,0,54
UCL421043,36,4,6,0,0,0,0,50
UCL421044,39,4,3,0,0,0,3,51
UCL422001,33,3,0,0,0,0,0,38
UCL422002,30,6,0,8,0,0,3,49
UCL422003,17,0,0,0,0,0,0,14
UCL422004,21,3,0,0,0,0,0,27
UCL422005,12,0,0,0,0,0,0,15
UCL422006,25,3,0,0,0,0,0,31
UCL422007,32,3,0,0,0,0,0,36
UCL422008,12,3,0,0,0,0,0,11
UCL422009,43,0,5,0,0,0,0,55
UCL422010,18,0,0,0,0,0,0,18
UCL422011,38,0,3,0,0,0,0,41
UCL422012,11,3,0,0,0,0,0,17
UCL422013,34,4,0,3,0,0,3,47
UCL422014,55,3,0,0,0,0,0,58
UCL422015,23,0,0,0,0,0,0,23
UCL422016,8,3,0,3,0,0,0,11
UCL422017,16,3,3,0,0,0,0,20
UCL422018,15,0,0,0,0,0,0,22
UCL422019,12,0,3,0,0,0,0,17
UCL422020,14,0,3,0,0,0,0,22
UCL422021,19,4,3,0,0,0,0,23
UCL422022,26,0,0,0,0,0,0,28
UCL422023,16,3,0,0,0,0,0,18
UCL422024,68,3,7,3,0,0,0,76
UCL422025,14,0,0,5,0,0,0,25
UCL422026,22,3,0,0,0,0,0,21
UCL422027,18,0,0,3,0,0,0,15
UCL422028,23,0,0,0,0,0,0,24
UCL422029,59,0,3,0,0,0,0,62
UCL422030,48,3,0,0,0,0,0,49
UCL422031,24,0,0,0,0,0,0,24
UCL422032,13,0,0,0,0,0,0,18
UCL422033,27,3,0,0,0,0,0,30
UCL422034,16,4,0,0,0,0,0,21
UCL422035,19,0,0,0,0,0,0,22
UCL422036,35,9,0,0,0,0,0,43
UCL422037,26,4,0,0,0,0,0,34
UCL422038,29,0,3,0,0,0,0,34
UCL422039,34,8,3,0,0,0,0,48
UCL422040,36,4,5,0,0,0,0,43
UCL422041,30,0,3,0,0,0,0,36
UCL422042,22,0,0,0,0,0,0,25
UCL422043,8,0,0,0,0,0,0,17
UCL422044,14,0,0,0,0,0,0,22
UCL422045,11,3,0,0,0,0,0,17
UCL422046,14,3,0,0,0,0,0,19
UCL422047,3,0,0,0,0,0,0,5
UCL422048,17,0,0,0,0,0,0,14
UCL422049,22,0,0,0,0,0,0,18
UCL422050,38,5,0,6,0,0,0,49
UCL422051,14,3,0,0,0,0,0,17
UCL422052,15,0,0,0,0,0,0,17
UCL422053,13,0,5,0,0,0,0,25
UCL422054,29,0,3,0,0,0,0,29
UCL422055,19,4,0,0,0,0,0,21
UCL422056,31,3,6,0,0,0,0,34
UCL422057,12,0,0,0,0,0,0,14
UCL422058,11,4,3,0,0,0,0,19
UCL422059,24,3,0,0,0,0,0,25
UCL422060,23,0,0,0,0,0,0,26
UCL422061,49,4,0,0,0,0,0,57
UCL422062,13,0,4,0,0,0,0,19
UCL422063,34,6,3,0,0,0,0,46
UCL422064,36,0,0,0,0,0,0,37
UCL422065,11,3,3,0,0,0,0,17
UCL422066,3,0,0,0,0,0,0,3
UCL422067,27,3,0,0,0,0,0,32
UCL422068,9,3,4,4,0,0,0,22
UCL431777,14821,1132,658,147,19,13,125,16923
UCL479997,0,0,0,0,0,0,0,0
UCL499994,0,0,0,0,0,0,0,0
UCL501001,203267,14635,8171,2421,300,144,971,229904
UCL511001,6876,617,439,97,12,10,56,8109
UCL512001,2424,226,151,25,3,0,22,2852
UCL512002,2278,231,145,25,7,0,16,2698
UCL512003,2787,245,175,37,5,0,40,3280
UCL512004,3079,230,214,48,9,8,18,3605
UCL513001,1168,95,63,20,3,7,17,1372
UCL513002,865,95,57,12,3,0,14,1045
UCL513003,1802,117,78,26,7,0,9,2048
UCL513004,1280,106,95,20,5,0,16,1522
UCL514001,579,66,56,13,0,0,4,719
UCL514002,691,36,26,0,0,0,3,753
UCL514003,655,32,37,0,0,0,0,727
UCL514004,498,35,34,17,0,0,11,594
UCL514005,960,86,59,11,3,0,4,1125
UCL515001,56,6,5,0,0,0,0,71
UCL515002,117,7,11,3,0,0,3,136
UCL515003,100,10,3,0,0,0,0,113
UCL515004,174,17,22,0,0,0,0,221
UCL515005,169,17,15,3,3,0,3,208
UCL515006,322,32,21,8,0,0,15,394
UCL515007,211,8,11,0,0,0,0,227
UCL515008,153,13,9,3,0,0,0,172
UCL515009,176,16,21,0,0,0,0,210
UCL515010,224,23,9,10,0,3,14,277
UCL515011,216,12,4,0,0,0,0,237
UCL515012,245,9,7,0,0,0,0,268
UCL515013,244,15,7,0,0,0,0,264
UCL515014,58,5,5,3,3,0,3,72
UCL515015,232,24,16,8,0,0,0,275
UCL515016,98,11,3,5,0,0,0,123
UCL515017,85,8,3,3,0,0,4,105
UCL515018,190,7,18,0,0,0,0,226
UCL515019,255,23,23,10,0,0,3,317
UCL515020,305,38,16,14,4,0,0,377
UCL515021,181,9,10,0,0,0,3,204
UCL515022,338,31,29,0,0,0,10,408
UCL515023,192,16,17,5,0,0,3,235
UCL515024,122,5,10,3,0,0,4,148
UCL515025,133,15,7,8,0,0,3,168
UCL515026,331,16,32,10,0,0,6,391
UCL515027,483,30,29,11,0,4,3,555
UCL515028,167,11,9,3,0,0,3,190
UCL515029,317,49,28,8,0,0,13,410
UCL515030,204,20,9,3,0,0,3,244
UCL515031,356,27,25,0,3,0,0,412
UCL515032,191,20,16,3,0,0,3,236
UCL515033,82,0,3,3,0,0,0,96
UCL515034,191,23,10,3,0,0,0,231
UCL515035,154,17,13,3,0,0,0,190
UCL515036,165,18,12,3,0,0,4,199
UCL521001,66,4,4,0,0,0,0,73
UCL521002,57,8,0,3,0,0,0,63
UCL521003,51,3,3,0,0,0,4,61
UCL521004,42,0,3,11,0,0,3,65
UCL521005,119,8,11,0,0,0,3,140
UCL521006,81,13,3,0,0,0,4,99
UCL521007,28,3,0,0,0,0,0,30
UCL521008,40,3,4,0,0,0,0,47
UCL521009,30,4,3,0,0,0,0,40
UCL521010,49,11,4,0,0,0,0,71
UCL521011,76,3,3,3,0,0,0,88
UCL521012,39,5,0,0,0,0,0,48
UCL521013,88,3,3,0,0,0,0,98
UCL521014,31,0,3,0,0,0,0,40
UCL521015,86,3,9,0,0,0,0,104
UCL521016,53,5,6,3,0,0,0,66
UCL521017,38,8,8,0,0,0,3,51
UCL521018,70,4,3,0,0,0,0,72
UCL521019,77,6,11,3,0,0,0,91
UCL521020,46,3,3,0,0,0,0,57
UCL521021,64,4,0,0,0,0,0,71
UCL521022,81,7,0,0,0,0,0,91
UCL521023,82,4,3,0,0,0,0,86
UCL521024,58,4,0,0,0,0,0,60
UCL521025,23,5,3,0,0,0,0,33
UCL521026,64,4,8,11,3,0,6,95
UCL521027,89,13,3,0,0,0,0,109
UCL521028,38,3,4,0,0,0,0,46
UCL521029,86,9,4,0,0,0,0,104
UCL521030,67,12,3,0,0,0,0,82
UCL521031,54,4,11,0,0,0,3,70
UCL521032,93,4,4,0,0,0,3,109
UCL521033,42,3,0,0,0,0,0,45
UCL521034,39,3,5,0,0,0,3,48
UCL521035,22,3,3,0,0,0,0,34
UCL521036,42,3,3,3,0,0,0,60
UCL521037,76,4,0,3,0,0,0,85
UCL521038,19,3,0,0,0,0,3,25
UCL521039,25,3,4,0,0,0,0,34
UCL521040,77,5,18,0,0,0,0,106
UCL521041,163,14,8,3,0,0,0,195
UCL521042,44,4,3,0,0,0,0,52
UCL521043,31,7,0,0,0,0,0,34
UCL521044,67,7,4,0,0,0,0,79
UCL521045,53,0,3,0,0,0,4,64
UCL521046,79,8,4,0,0,0,0,97
UCL521047,50,9,6,0,0,0,0,67
UCL521048,79,4,10,0,0,0,0,93
UCL521049,55,6,3,0,0,0,0,66
UCL521050,44,4,8,0,0,0,3,56
UCL521051,22,3,3,0,0,0,3,30
UCL521052,30,12,3,6,0,0,3,53
UCL521053,144,13,13,3,0,0,0,180
UCL521054,46,4,3,0,0,0,0,53
UCL521055,54,5,9,0,0,0,0,65
UCL521056,38,9,3,8,0,0,7,67
UCL521057,65,4,9,0,0,0,0,72
UCL521058,61,8,3,3,0,0,0,70
UCL521059,66,5,17,0,0,0,3,90
UCL521060,31,3,3,0,0,0,3,45
UCL522001,7,0,0,0,0,0,3,13
UCL522002,10,0,3,0,0,0,0,16
UCL522003,19,5,3,6,0,0,3,32
UCL522004,21,0,3,3,0,0,0,33
UCL522005,20,0,0,3,0,0,3,25
UCL522006,47,3,0,0,0,0,0,55
UCL522007,7,4,0,0,0,0,0,14
UCL522008,14,4,0,0,0,0,0,22
UCL522009,39,8,0,0,0,0,0,45
UCL522010,41,6,3,0,0,0,0,48
UCL522011,21,3,3,0,0,0,0,19
UCL522012,29,5,3,0,0,0,0,44
UCL522013,20,7,0,0,0,0,0,24
UCL522014,0,0,0,0,0,0,0,0
UCL522015,23,0,3,0,0,0,0,28
UCL522016,29,0,7,0,0,0,0,34
UCL522017,3,0,0,0,0,0,0,7
UCL522018,49,3,3,0,0,0,0,57
UCL522019,15,0,0,0,0,0,0,11
UCL522020,23,4,0,3,0,0,0,40
UCL522021,31,7,0,0,0,0,0,39
UCL522022,8,3,0,0,0,0,3,20
UCL522023,31,5,3,0,0,0,0,37
UCL522024,9,0,0,0,0,0,0,16
UCL522025,20,0,0,0,0,0,0,23
UCL522026,3,0,0,0,0,0,0,3
UCL522027,35,4,3,0,0,0,0,48
UCL522028,25,0,0,0,0,0,0,27
UCL522029,23,3,0,5,0,0,0,33
UCL522030,36,0,0,3,0,0,0,39
UCL522031,17,3,3,0,0,0,0,20
UCL522032,12,0,0,4,0,0,3,14
UCL522033,15,0,3,0,0,0,0,20
UCL522034,18,0,5,0,0,0,0,27
UCL522035,21,0,5,0,0,0,0,27
UCL522036,8,3,0,0,0,0,3,17
UCL522037,21,0,3,0,0,0,0,23
UCL522038,22,3,0,0,0,0,0,30
UCL522039,15,3,0,0,0,0,0,13
UCL522040,5,0,0,0,0,0,3,11
UCL522041,22,3,0,0,0,0,0,21
UCL522042,16,3,3,3,0,0,4,27
UCL522043,22,0,3,0,0,0,0,25
UCL522044,16,0,0,0,0,0,4,25
UCL522045,30,5,0,0,0,0,0,37
UCL522046,34,0,0,0,0,0,0,35
UCL522047,4,0,0,0,0,0,0,4
UCL522048,15,0,0,3,0,0,3,18
UCL522049,40,0,0,0,0,0,0,44
UCL522050,10,0,3,3,0,0,0,19
UCL522051,21,5,0,0,0,0,0,24
UCL522052,17,3,0,0,0,0,0,21
UCL522053,3,0,0,0,0,0,0,6
UCL522054,25,3,0,0,0,0,0,27
UCL522055,10,3,0,0,0,0,0,10
UCL522056,16,3,3,0,0,0,0,24
UCL522057,14,0,0,0,3,0,0,21
UCL522058,12,0,0,0,0,0,0,14
UCL522059,22,3,3,0,0,0,0,34
UCL522060,21,0,0,3,0,0,3,31
UCL522061,27,0,3,8,0,0,0,31
UCL522062,18,0,4,3,0,0,0,26
UCL522063,36,0,3,0,0,0,0,42
UCL522064,5,3,0,0,0,0,0,11
UCL522065,56,7,0,0,0,0,0,61
UCL522066,17,3,3,0,0,0,0,19
UCL522067,14,0,3,0,0,0,0,18
UCL522068,23,0,4,5,0,0,0,39
UCL531777,14911,1018,652,219,29,22,180,17041
UCL579997,0,0,0,0,0,0,0,0
UCL599994,0,0,0,0,0,0,0,0
UCL603001,15020,1579,931,141,25,15,106,17813
UCL611001,6179,637,414,52,16,4,43,7332
UCL612001,1684,249,130,17,3,4,27,2114
UCL613001,1491,176,135,5,3,0,12,1826
UCL613002,917,119,56,16,3,0,13,1114
UCL614001,455,50,40,4,0,3,12,559
UCL614002,362,46,20,3,0,0,0,429
UCL615001,63,21,7,0,0,0,0,86
UCL615002,65,9,0,3,0,0,0,78
UCL615003,80,8,3,0,0,0,0,92
UCL615004,179,17,9,0,0,0,0,208
UCL615005,383,55,37,5,0,0,7,483
UCL615006,94,14,0,3,0,0,0,111
UCL615007,278,35,39,3,0,0,6,362
UCL615008,239,15,17,0,0,0,4,277
UCL615009,148,17,10,0,0,0,0,173
UCL615010,268,33,22,0,0,0,3,327
UCL615011,360,26,20,3,0,0,0,411
UCL615012,257,36,19,0,0,0,0,311
UCL615013,270,27,22,3,0,0,0,319
UCL615014,239,32,15,3,0,0,3,303
UCL615015,250,29,23,0,0,0,3,303
UCL615016,258,31,12,0,0,0,0,304
UCL615017,215,36,19,0,0,0,0,274
UCL615018,36,13,4,3,0,0,3,60
UCL615019,128,10,13,0,0,0,0,151
UCL615020,151,15,10,0,0,0,0,176
UCL615021,66,5,6,3,0,0,0,87
UCL615022,250,30,34,0,0,0,3,317
UCL615023,167,17,20,0,0,0,0,199
UCL615024,203,21,18,3,0,0,3,247
UCL615025,66,14,0,0,0,0,0,79
UCL615026,102,8,8,4,0,0,0,129
UCL621001,44,4,0,0,0,0,0,47
UCL621002,50,6,7,0,0,0,0,60
UCL621003,82,4,7,0,0,0,0,94
UCL621004,62,7,0,0,0,0,0,66
UCL621005,53,5,10,0,0,0,3,70
UCL621006,43,4,5,0,0,0,0,51
UCL621007,71,3,8,0,0,0,0,83
UCL621008,59,6,4,0,0,0,0,74
UCL621009,84,3,9,0,0,0,0,98
UCL621010,42,3,3,3,0,0,0,52
UCL621011,42,11,6,3,0,0,0,55
UCL621012,118,9,3,0,0,0,0,130
UCL621013,99,15,6,0,0,0,0,116
UCL621014,36,3,4,0,0,0,3,44
UCL621015,33,0,0,0,0,0,0,35
UCL621016,23,0,0,0,0,0,0,28
UCL621017,44,11,6,0,0,0,0,68
UCL621018,97,11,9,0,0,0,0,114
UCL621019,89,3,3,0,0,0,0,103
UCL621020,55,4,3,0,0,0,0,65
UCL621021,41,3,4,0,0,0,0,46
UCL621022,47,7,7,0,0,0,0,59
UCL621023,36,3,0,0,0,0,0,45
UCL621024,59,4,3,0,0,0,0,63
UCL621025,55,3,3,0,0,0,0,58
UCL621026,25,3,0,0,0,0,0,30
UCL621027,52,4,11,0,0,0,0,73
UCL621028,51,3,3,0,0,0,0,59
UCL622001,44,8,4,0,0,0,0,61
UCL622002,6,0,0,0,0,0,0,6
UCL622003,26,3,0,0,0,0,0,30
UCL622004,41,7,0,0,0,0,0,54
UCL622005,6,0,6,0,0,0,0,13
UCL622006,35,9,4,0,0,0,0,47
UCL622007,39,4,6,0,0,0,0,49
UCL622008,24,3,0,4,0,0,0,31
UCL622009,22,3,0,0,0,0,0,27
UCL622010,28,5,5,0,0,0,0,36
UCL622011,22,0,4,0,0,0,0,23
UCL622012,21,4,0,0,0,0,0,17
UCL622013,33,0,0,0,0,0,0,37
UCL622014,22,3,3,0,0,0,0,32
UCL622015,29,5,3,0,0,0,0,39
UCL622016,19,0,4,0,0,0,0,22
UCL622017,27,0,0,0,0,0,0,29
UCL622018,17,3,3,0,0,0,0,23
UCL622019,36,3,0,0,0,0,0,43
UCL622020,40,0,0,0,0,0,0,40
UCL622021,39,3,0,0,0,0,0,46
UCL622022,22,3,0,0,0,0,0,27
UCL622023,21,4,0,0,0,0,0,25
UCL622024,12,0,0,0,0,0,0,15
UCL622025,11,0,0,0,0,0,0,18
UCL622026,17,3,0,0,0,0,0,21
UCL622027,24,7,0,0,0,0,0,27
UCL622028,44,5,0,0,0,0,0,54
UCL622029,14,0,0,0,0,0,0,17
UCL622030,33,0,3,0,0,0,0,34
UCL622031,33,5,0,0,0,0,0,39
UCL622032,36,6,0,0,0,0,0,44
UCL622033,23,0,0,0,0,0,0,24
UCL622034,13,0,0,0,0,0,0,13
UCL622035,5,4,3,0,0,0,0,15
UCL622036,11,3,0,0,0,0,0,11
UCL631777,9625,857,551,91,14,12,83,11233
UCL679997,0,0,0,0,0,0,0,0
UCL699994,0,0,0,0,0,0,0,0
UCL703001,11035,961,578,215,24,7,68,12891
UCL712001,2050,161,114,50,10,10,31,2424
UCL714001,459,51,25,13,3,3,16,566
UCL715001,164,6,0,31,3,3,10,216
UCL715002,86,8,0,14,3,0,5,121
UCL715003,209,7,9,34,0,3,6,277
UCL715004,83,3,3,17,3,0,7,113
UCL715005,73,5,3,19,0,0,6,114
UCL715006,342,27,22,6,0,0,0,404
UCL715007,175,23,10,19,0,3,8,232
UCL715008,184,13,9,22,3,0,5,235
UCL715009,131,10,0,12,6,0,4,163
UCL721001,106,11,3,3,0,0,0,118
UCL721002,78,10,0,8,0,0,8,100
UCL721003,44,3,4,5,3,5,3,71
UCL721004,46,9,0,5,0,0,9,65
UCL721005,59,6,0,15,0,0,8,89
UCL721006,37,5,0,10,3,0,3,52
UCL721007,67,5,4,0,0,0,0,76
UCL721008,61,6,5,3,0,0,0,77
UCL721009,85,6,0,3,0,0,0,99
UCL721010,35,3,5,9,0,0,11,63
UCL721011,57,3,0,8,0,0,4,78
UCL721012,66,0,3,11,0,0,0,83
UCL721013,59,0,3,14,4,0,6,89
UCL721014,48,5,0,9,0,0,3,58
UCL721015,37,10,0,8,0,3,3,52
UCL721016,47,0,3,10,0,0,6,65
UCL721017,67,0,0,5,0,0,0,81
UCL721018,46,12,3,12,0,0,7,70
UCL721019,31,4,0,0,0,0,0,35
UCL722001,16,0,0,0,0,0,0,22
UCL722002,37,3,0,6,0,0,5,51
UCL722003,33,4,4,8,0,0,0,52
UCL722004,10,0,0,4,0,0,0,15
UCL722005,41,0,0,6,0,0,0,49
UCL722006,22,5,0,0,0,0,0,26
UCL722007,18,0,0,0,0,0,0,19
UCL722008,24,0,0,0,0,0,0,29
UCL722009,37,3,0,3,0,0,4,46
UCL722010,13,0,3,3,0,0,0,13
UCL722011,7,0,0,3,0,0,3,17
UCL722012,30,3,3,5,0,0,4,45
UCL722013,13,0,0,5,0,0,0,18
UCL722014,22,0,3,3,0,0,3,34
UCL722015,19,0,0,3,0,0,0,21
UCL722016,41,0,0,0,0,0,0,44
UCL722017,28,0,0,6,0,0,0,34
UCL722018,18,0,0,3,0,0,0,30
UCL722019,26,0,0,3,0,0,3,34
UCL722020,10,0,0,0,0,0,4,22
UCL722021,28,3,0,0,0,0,3,43
UCL722022,18,3,0,3,0,0,0,30
UCL722023,15,3,0,3,0,0,0,23
UCL722024,25,7,3,3,0,0,0,34
UCL722025,41,0,0,7,0,0,0,48
UCL722026,15,0,0,6,0,0,3,28
UCL722027,28,0,0,10,0,0,0,36
UCL722028,18,3,3,0,0,0,0,26
UCL722029,22,3,0,0,0,0,0,35
UCL722030,15,0,0,6,5,0,0,21
UCL722031,12,0,0,3,0,0,0,13
UCL722032,11,0,0,3,0,0,0,20
UCL722033,33,5,3,0,0,0,0,44
UCL722034,27,0,0,3,0,0,0,31
UCL722035,24,3,0,9,0,0,4,47
UCL722036,31,0,0,0,0,0,0,32
UCL722037,18,0,0,0,0,0,0,18
UCL722038,15,0,0,12,0,0,3,31
UCL722039,17,0,0,7,6,0,0,26
UCL731777,2801,256,184,117,13,14,55,3445
UCL779997,0,0,0,0,0,0,0,0
UCL799994,0,0,0,0,0,0,0,0
UCL802001,42595,3005,1594,437,43,23,165,47864
UCL822001,35,3,0,0,0,0,0,40
UCL831777,93,8,0,0,0,0,0,106
UCL879997,0,0,0,0,0,0,0,0
UCL899994,0,0,0,0,0,0,0,0
UCL915001,147,5,0,0,0,0,0,156
UCL921001,42,7,4,0,0,0,0,58
UCL922001,60,5,0,3,0,0,0,64
UCL922002,16,0,0,0,0,0,0,19
UCL922003,15,0,0,0,0,0,0,21
UCL931777,98,7,8,3,0,0,0,108
UCL979997,0,0,0,0,0,0,0,0
UCL999994,0,0,0,0,0,0,0,0
