UCL_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
UCL114032,11,0,51,11,7,7,0,16,0,113,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,4,3,9,7,4,13,0,7,8,52,157,349,224,157,140,109,38,87,23,1281
UCL114033,11,0,14,6,3,6,0,7,0,41,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,4,6,7,3,0,3,12,0,33,70,79,119,69,36,22,24,44,6,476
UCL114034,14,3,36,11,15,3,0,11,0,94,0,0,0,0,0,0,0,0,0,0,3,6,0,3,3,0,0,0,0,22,0,3,10,10,3,3,9,3,8,55,203,383,255,233,206,67,65,79,34,1524
UCL114035,14,3,38,14,7,16,9,15,0,113,0,0,0,0,0,0,0,3,0,5,4,3,5,0,3,0,0,3,0,14,4,4,11,9,8,8,5,14,0,69,176,316,271,217,161,119,74,165,16,1512
UCL115001,0,0,7,3,0,8,4,3,0,29,0,0,0,0,0,3,3,0,0,5,0,0,0,0,0,0,0,0,0,3,3,0,9,3,3,3,3,4,0,33,32,49,145,45,44,20,70,41,4,450
UCL115002,4,0,10,0,3,5,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,55,85,119,50,54,24,42,25,8,472
UCL115003,3,0,3,6,4,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,8,50,123,57,47,29,21,9,42,3,378
UCL115004,4,0,5,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,3,0,0,7,4,0,14,27,41,44,40,17,10,18,27,3,224
UCL115005,3,0,13,9,3,3,7,4,0,35,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,14,5,0,0,3,3,0,0,3,0,16,96,226,64,55,53,38,16,27,7,582
UCL115006,3,3,20,5,9,5,3,7,0,50,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,3,8,3,3,0,0,9,0,26,123,167,219,111,113,54,71,66,14,944
UCL115007,5,0,6,0,0,6,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,3,0,12,31,63,35,25,12,18,4,26,4,224
UCL115008,11,0,15,3,3,4,0,8,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,3,0,3,0,7,6,0,22,71,80,76,59,35,25,20,47,10,403
UCL115009,0,0,3,7,0,0,0,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,8,16,41,26,30,16,8,7,17,0,162
UCL115010,3,4,10,4,0,0,0,3,0,29,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,11,36,73,76,59,40,24,20,24,5,364
UCL115011,0,0,3,6,0,3,0,6,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,4,6,3,21,19,33,34,39,22,13,23,47,6,230
UCL115012,6,0,22,13,4,9,0,20,0,72,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,3,0,7,0,4,5,0,7,5,0,13,4,45,76,212,154,130,103,67,28,146,11,935
UCL115013,0,0,25,3,9,4,0,3,0,43,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,0,0,0,0,14,4,5,3,3,3,3,0,3,0,19,104,305,121,121,67,52,23,35,14,847
UCL115014,8,0,10,6,0,3,0,4,0,30,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,6,39,64,71,44,25,37,5,26,3,313
UCL115015,7,0,12,4,3,0,3,4,0,38,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,8,0,0,3,3,0,0,0,4,0,13,91,183,84,40,53,24,8,18,6,516
UCL115016,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,13,33,37,29,26,18,8,4,15,0,174
UCL115017,11,0,32,13,12,7,3,5,0,81,0,0,0,0,0,0,0,0,0,0,3,6,0,0,5,0,0,0,0,11,4,3,0,3,5,4,3,3,0,27,170,492,185,150,147,73,50,84,12,1361
