UCL_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
UCL115022,0,0,0,3,0,0,0,0,0,0,0,0,0,3,9,16,0,0,0,0,0,0,0,0,0,0,0,5,44,8,3,22,3,9,0,6,0,26,15,139
UCL115023,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,3,0,3,34,5,0,22,4,7,0,0,0,31,3,120
UCL115024,0,0,0,3,0,0,0,0,0,0,0,0,0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,5,30,7,3,17,0,12,0,18,4,49,12,140
UCL115025,0,0,0,17,0,0,0,0,0,0,0,0,0,0,10,17,0,0,0,0,0,0,0,0,0,0,0,0,76,5,6,35,4,32,3,18,0,84,12,282
UCL115026,0,0,0,12,0,0,0,0,0,0,0,0,0,0,18,15,0,0,0,0,0,0,0,0,0,3,4,8,28,11,6,31,4,12,0,15,3,156,19,288
UCL115027,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,3,0,3,21,8,0,24,3,8,0,20,3,58,4,152
UCL115028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,3,0,3,4,8,0,20,0,7,0,7,3,73,10,139
UCL115029,0,3,0,8,0,0,0,0,0,0,0,0,0,4,21,29,0,0,0,0,0,0,0,0,0,3,0,7,27,18,0,34,3,32,3,39,0,214,30,406
UCL115030,0,0,0,12,0,0,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,0,3,0,4,31,20,0,28,5,19,3,18,5,96,14,235
UCL115031,0,0,0,39,0,0,0,0,0,0,0,0,0,0,17,21,0,0,0,0,0,0,0,0,0,3,0,6,107,5,3,54,5,28,3,12,5,66,19,313
UCL115032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,3,0,0,3,42,0,3,27,0,20,0,3,3,24,7,128
UCL115033,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,3,0,8,60,15,3,41,3,36,0,25,9,106,12,309
UCL115034,0,0,0,9,0,0,0,0,0,0,0,0,0,4,17,26,0,0,0,0,0,0,0,0,0,8,3,14,30,13,4,37,3,27,4,33,8,250,20,432
UCL115035,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,15,6,0,14,0,12,0,5,0,50,6,116
UCL115036,0,0,0,3,0,0,0,0,0,0,0,0,0,3,9,12,0,0,0,0,0,0,0,0,0,3,0,8,25,5,0,24,0,9,3,9,3,69,11,156
