UCL_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
UCL213006,1529,136,6,12,3,1686,1398,58,3,0,4,1457,586,229,20,0,0,835,200,137,6,0,0,344,228,40,3,8,3,278,12,4,0,0,0,19,10,5,0,3,0,21,20,13,0,0,0,30,1050,428,35,7,5,1527,23,15,0,0,0,36,144,45,3,0,0,197,4147,679,42,20,15,4900
UCL213007,1992,115,68,4,5,2182,1999,31,23,0,0,2059,768,116,204,0,3,1086,157,76,41,0,3,275,257,18,25,0,4,304,17,24,5,0,0,42,18,12,0,0,3,40,19,13,3,0,0,36,1233,259,280,3,11,1787,24,23,3,0,0,55,144,19,13,0,3,183,5389,446,392,9,27,6265
UCL213008,1160,89,0,0,0,1251,1990,124,0,0,0,2123,562,222,20,0,0,797,24,3,0,0,0,22,172,23,0,0,0,200,21,13,0,0,0,34,30,3,0,0,0,40,13,4,0,0,0,13,820,269,21,0,0,1109,26,6,0,0,0,36,83,10,0,0,0,98,4079,500,26,0,4,4610
UCL213009,1285,116,0,0,0,1410,1905,43,0,0,0,1946,465,78,5,0,0,544,20,8,0,0,0,28,166,20,0,0,0,187,5,3,0,0,0,4,9,0,0,0,0,10,9,0,0,0,0,7,670,108,4,0,0,779,21,27,0,0,0,44,70,14,0,0,0,85,3949,306,4,3,3,4268
UCL213010,2066,169,26,16,0,2278,1684,51,12,4,0,1752,628,243,145,0,5,1017,248,176,43,0,0,464,277,47,15,0,0,341,40,22,0,0,0,59,24,22,3,4,0,49,19,13,0,0,0,34,1228,513,209,8,13,1967,26,20,3,0,0,53,172,49,14,0,0,243,5181,806,262,26,13,6290
UCL213011,1819,65,63,3,3,1950,1401,14,25,0,3,1440,762,108,227,0,3,1099,197,99,57,0,0,343,254,16,21,3,4,302,27,18,18,0,0,64,17,3,3,0,4,28,20,4,4,0,0,25,1271,250,333,3,5,1866,26,0,0,0,0,27,181,19,31,0,0,234,4702,346,454,10,14,5524
UCL213012,2371,206,14,8,13,2605,2299,114,10,0,6,2432,734,151,19,4,5,920,18,29,0,0,0,48,259,41,3,11,0,308,23,0,0,0,0,25,14,6,0,7,3,31,33,7,0,0,0,45,1088,234,23,19,11,1373,25,0,0,0,0,26,98,21,6,0,3,123,5889,569,51,25,29,6558
UCL213013,1297,32,35,13,4,1384,1177,10,13,0,7,1205,497,80,78,3,0,653,134,26,63,0,0,218,223,17,16,7,4,266,3,0,0,0,0,9,25,3,4,3,0,29,18,0,0,0,0,20,895,126,161,11,10,1200,11,0,0,0,3,11,109,16,15,4,0,145,3493,192,225,28,19,3942
UCL213014,1602,86,62,27,4,1780,1479,37,21,9,5,1555,748,175,158,0,3,1081,135,70,38,0,0,244,162,11,15,3,0,195,12,19,6,0,0,42,123,5,3,0,0,133,19,8,3,0,0,29,1213,286,218,11,3,1729,14,25,0,0,0,39,107,26,10,0,0,147,4411,466,312,43,10,5243
UCL213015,1174,52,52,9,3,1298,1086,23,18,0,15,1140,409,100,182,4,6,700,154,19,40,0,0,215,219,32,27,0,6,293,18,15,7,0,0,40,25,3,3,11,3,44,21,0,3,0,0,26,847,169,266,19,20,1319,19,0,0,0,0,17,109,12,21,0,10,148,3229,259,362,26,52,3924
