UCL_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL121091,66,31,10,0,456
UCL121092,41,27,8,8,350
UCL121093,59,42,24,7,262
UCL121094,74,32,16,9,309
UCL121095,61,64,22,5,283
UCL121096,85,51,14,0,349
UCL121097,121,87,26,7,467
UCL121098,56,52,29,7,290
UCL121099,129,91,24,6,484
UCL121100,92,74,27,9,542
UCL121101,124,96,26,10,474
UCL121102,70,45,31,11,372
UCL121103,50,42,22,11,278
UCL121104,83,54,27,7,301
UCL121105,76,117,23,5,389
UCL121106,82,59,44,19,411
UCL121107,87,55,13,3,359
UCL121108,66,47,10,3,275
UCL121109,58,50,32,10,387
UCL121110,51,45,38,16,286
UCL121111,62,41,7,0,354
UCL121112,42,26,20,8,221
UCL121113,94,48,14,3,348
UCL121114,97,104,41,7,355
UCL121115,85,34,8,3,456
UCL121116,63,26,18,3,300
UCL121117,84,54,19,7,399
UCL121118,34,15,0,0,224
UCL121119,38,26,8,0,275
UCL121120,44,28,13,10,258
UCL121121,115,88,28,17,404
UCL121122,51,41,21,0,267
UCL121123,45,17,12,5,217
UCL121124,50,23,8,8,196
UCL121125,43,27,8,0,290
UCL121126,84,49,27,0,494
UCL122001,12,7,11,0,146
UCL122002,23,17,12,0,99
UCL122003,24,19,0,0,155
UCL122004,54,20,3,4,134
UCL122005,35,26,16,3,175
UCL122006,19,19,9,3,102
UCL122007,52,30,14,6,182
UCL122008,17,14,0,0,111
UCL122009,25,19,8,0,142
UCL122010,24,11,3,0,127
UCL122011,49,11,3,0,166
UCL122012,16,17,10,8,115
UCL122013,16,26,3,0,81
UCL122014,28,10,5,0,141
UCL122015,35,30,11,0,156
UCL122016,33,40,11,0,132
UCL122017,16,12,0,0,102
UCL122018,24,24,8,3,144
UCL122019,20,40,11,7,136
UCL122020,22,14,5,0,124
UCL122021,41,25,20,6,139
UCL122022,31,21,11,0,114
UCL122023,50,25,16,3,199
UCL122024,70,44,11,3,219
UCL122025,50,66,32,7,278
UCL122026,24,15,5,0,119
UCL122027,46,29,13,0,215
UCL122028,21,13,3,0,93
UCL122029,29,31,19,3,116
