UCL_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL615009,120,92,72,14,725
UCL615010,236,195,109,39,1372
UCL615011,232,204,119,80,1529
UCL615012,236,225,133,39,1390
UCL615013,116,94,47,13,1004
UCL615014,182,128,65,27,1246
UCL615015,251,198,116,51,1457
UCL615016,213,128,54,11,1086
UCL615017,309,302,158,40,1595
UCL615018,140,94,18,7,472
UCL615019,129,93,41,7,682
UCL615020,126,90,57,38,664
UCL615021,102,100,35,21,484
UCL615022,196,113,74,22,1189
UCL615023,118,84,33,22,749
UCL615024,142,123,90,29,973
UCL615025,120,145,51,30,599
UCL615026,118,117,60,10,654
UCL621001,92,76,22,15,360
UCL621002,66,56,34,8,304
UCL621003,67,17,3,0,322
UCL621004,64,31,11,0,294
UCL621005,36,23,13,0,241
UCL621006,61,36,29,14,309
UCL621007,53,68,25,12,386
UCL621008,31,25,4,0,229
UCL621009,101,58,17,0,450
UCL621010,51,29,16,0,242
UCL621011,65,45,16,0,292
UCL621012,96,87,59,17,513
UCL621013,72,43,14,4,373
UCL621014,99,56,23,6,323
UCL621015,35,44,16,12,182
UCL621016,58,62,33,5,256
UCL621017,72,46,17,12,320
UCL621018,48,32,16,0,382
UCL621019,93,84,25,9,425
UCL621020,59,28,19,0,302
UCL621021,61,35,26,9,245
UCL621022,78,62,22,5,332
UCL621023,72,97,33,8,328
UCL621024,54,25,20,3,284
UCL621025,63,23,6,3,268
UCL621026,58,78,57,30,321
UCL621027,38,49,21,6,245
UCL621028,42,25,9,0,256
UCL622001,22,14,7,0,163
UCL622002,38,32,14,3,119
UCL622003,15,22,10,5,121
UCL622004,18,22,6,0,137
UCL622005,21,14,7,0,74
UCL622006,21,18,6,4,174
UCL622007,37,23,7,0,181
UCL622008,18,17,4,0,125
UCL622009,38,34,16,0,171
UCL622010,50,41,20,4,195
UCL622011,31,5,6,3,107
UCL622012,69,54,19,3,217
UCL622013,38,20,20,8,161
UCL622014,39,27,7,3,123
UCL622015,37,39,20,0,207
UCL622016,29,18,18,18,155
UCL622017,24,8,11,4,111
UCL622018,31,26,17,0,136
UCL622019,43,40,17,0,237
UCL622020,27,16,10,3,127
UCL622021,42,44,12,3,186
UCL622022,23,13,10,3,127
UCL622023,66,64,34,12,270
UCL622024,19,14,8,0,85
UCL622025,6,13,4,3,68
UCL622026,21,25,15,21,137
UCL622027,64,29,13,4,188
UCL622028,15,20,5,0,152
UCL622029,20,26,13,3,100
UCL622030,48,30,11,0,197
UCL622031,37,48,19,7,210
UCL622032,46,26,12,0,221
UCL622033,36,33,10,0,159
UCL622034,18,16,4,0,82
UCL622035,20,17,3,0,86
UCL622036,23,44,17,4,133
UCL631777,10493,6481,2080,375,46603
UCL679997,5,7,0,0,44
UCL699994,78,50,10,0,517
UCL703001,7798,3582,1127,283,63473
UCL712001,1950,779,249,79,12281
UCL714001,442,213,81,25,3257
UCL715001,71,10,5,0,402
UCL715002,36,6,0,0,332
UCL715003,62,10,3,0,658
UCL715004,27,11,0,0,220
UCL715005,54,10,4,0,443
UCL715006,226,67,7,0,1637
UCL715007,224,89,23,0,1254
UCL715008,60,16,3,0,628
UCL715009,40,12,3,4,272
UCL721001,42,11,0,0,469
UCL721002,32,9,7,0,244
UCL721003,31,17,5,0,220
UCL721004,17,10,0,0,176
UCL721005,43,13,5,0,539
UCL721006,19,10,0,0,196
UCL721007,69,22,7,3,323
UCL721008,40,44,4,0,336
UCL721009,78,20,4,0,587
UCL721010,17,7,0,0,174
UCL721011,21,3,0,0,145
UCL721012,25,5,4,0,172
UCL721013,23,9,0,0,176
UCL721014,26,7,6,0,165
UCL721015,18,3,0,0,172
UCL721016,8,3,0,0,90
UCL721017,30,6,0,0,170
UCL721018,26,0,0,0,192
UCL721019,85,19,4,3,775
UCL722001,14,17,4,3,100
UCL722002,9,7,0,0,91
UCL722003,9,0,0,0,82
UCL722004,3,3,0,0,62
UCL722005,6,0,0,0,55
UCL722006,11,3,0,0,66
UCL722007,9,7,3,0,64
UCL722008,16,6,3,0,97
UCL722009,12,5,0,0,120
UCL722010,37,35,8,3,229
UCL722011,0,3,0,0,38
UCL722012,5,0,0,0,80
UCL722013,5,0,0,0,49
UCL722014,13,5,0,0,111
UCL722015,6,7,0,0,26
UCL722016,63,10,3,0,213
UCL722017,3,0,0,0,63
UCL722018,18,9,6,0,195
UCL722019,5,0,0,0,37
UCL722020,36,26,5,0,157
UCL722021,13,3,0,0,81
UCL722022,5,4,0,0,37
UCL722023,13,7,7,0,152
UCL722024,20,9,0,0,87
UCL722025,3,0,0,0,47
UCL722026,7,3,0,0,47
UCL722027,35,5,0,0,91
UCL722028,23,12,4,0,129
UCL722029,11,3,3,0,128
UCL722030,3,0,0,0,53
UCL722031,24,6,3,0,107
UCL722032,15,5,0,0,99
UCL722033,69,38,5,3,267
UCL722034,16,5,0,0,73
UCL722035,17,5,0,0,135
UCL722036,11,0,0,0,34
UCL722037,4,7,0,0,34
UCL722038,13,6,0,0,121
UCL722039,6,3,0,0,47
UCL731777,2434,1175,258,33,15978
UCL779997,3,0,3,0,60
UCL799994,284,173,22,0,1635
UCL802001,30038,19478,8556,3554,218735
UCL822001,29,24,17,0,137
UCL831777,62,27,7,3,435
UCL879997,0,0,0,0,0
UCL899994,57,17,3,0,339
UCL915001,137,58,8,0,786
UCL921001,82,59,25,9,370
UCL922001,23,9,9,0,133
UCL922002,8,6,0,0,113
UCL922003,18,6,0,0,82
UCL931777,151,93,52,19,856
UCL979997,0,0,0,0,4
UCL999994,4,4,0,0,31
