UCL_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
UCL115125,15,19,31,49,48,96,5,0,5,0,3,3,55,44,101,34,30,68,13,14,27,9,6,16,57,56,117,0,0,0,4,0,3,14,3,11,3,0,4,0,0,0,17,5,27,24,23,42,8,7,10,4,0,3,8,15,27,0,0,0,44,46,83,0,0,3,3,6,9,0,0,0,5,5,11,29,19,56,220,200,419
UCL115126,12,20,35,80,72,149,0,3,5,0,4,5,80,76,158,44,45,87,3,9,9,4,0,4,51,51,100,0,3,3,0,0,7,8,3,12,3,4,8,0,0,0,11,10,27,0,3,5,0,0,3,3,3,4,0,6,6,0,0,0,9,19,24,0,0,0,4,3,8,0,0,0,4,8,11,115,117,241,288,300,591
UCL115127,49,54,104,191,156,348,11,30,42,24,22,48,229,218,445,116,96,211,16,17,33,28,16,41,159,127,291,4,6,19,3,4,8,16,12,33,10,20,29,0,0,0,36,50,82,17,34,46,7,16,21,4,3,6,15,23,37,0,0,0,38,77,118,0,3,3,8,18,25,0,0,0,8,21,29,156,168,326,679,717,1392
UCL115128,35,48,83,189,161,350,3,4,8,5,11,13,196,168,368,90,64,155,12,24,30,9,4,17,115,89,207,3,7,6,3,9,11,10,6,15,12,24,35,0,0,0,35,41,71,7,12,20,6,16,23,3,0,3,3,20,26,0,0,0,19,49,73,0,0,3,3,14,21,0,0,0,3,20,21,158,155,311,563,571,1141
UCL115129,8,8,20,34,39,74,3,0,6,6,12,20,49,45,92,21,16,35,21,20,38,0,3,8,41,38,82,4,0,3,0,0,0,0,4,7,0,4,3,0,0,0,5,10,16,0,0,3,3,3,7,0,3,3,3,13,19,0,0,0,6,22,32,0,0,0,3,5,9,0,0,0,3,5,9,78,71,151,190,204,395
UCL115130,17,6,27,37,31,67,3,3,10,6,10,12,48,46,92,23,27,55,0,3,4,4,7,12,34,35,72,0,4,3,0,3,4,5,6,8,0,0,3,0,0,0,10,13,25,3,4,8,0,3,7,3,3,5,3,7,18,0,0,0,10,25,33,0,0,0,0,7,7,0,0,0,0,5,5,82,75,156,202,200,405
UCL115131,46,41,89,130,101,231,32,40,73,0,0,0,167,140,302,92,101,186,13,17,37,3,3,8,105,121,225,0,5,10,0,0,0,16,17,31,13,21,38,0,0,0,31,47,83,9,11,17,4,6,9,0,3,3,5,10,15,0,0,0,19,30,49,0,0,0,0,6,10,0,0,0,4,6,10,144,138,276,516,524,1041
UCL115132,29,17,44,60,76,128,30,29,59,0,4,4,88,114,197,55,64,120,9,7,14,4,0,11,73,67,136,0,3,4,0,3,3,6,7,17,4,18,25,0,0,0,16,31,48,3,3,7,0,12,8,3,0,8,6,11,17,0,0,0,16,22,40,0,3,6,0,3,3,0,0,0,0,6,11,196,256,452,409,518,935
UCL115133,22,20,45,79,75,153,7,14,26,8,7,18,95,100,196,46,46,95,10,17,32,5,5,11,68,73,136,4,3,4,0,3,3,17,3,14,4,9,12,0,0,0,22,14,39,7,14,22,3,0,7,0,0,0,0,15,15,0,0,0,8,28,44,0,0,0,3,3,6,0,0,0,3,3,6,33,40,77,253,284,538
UCL115134,31,47,72,120,115,238,22,22,46,12,18,28,155,148,303,62,72,132,15,9,19,11,21,31,82,100,190,4,3,9,0,3,3,21,7,26,9,13,20,0,4,0,35,29,65,16,18,31,7,14,20,3,0,4,3,15,14,0,0,0,26,51,75,0,0,0,0,10,9,0,0,0,3,10,14,96,107,201,424,489,917
UCL115135,19,24,43,53,55,116,21,23,38,3,4,10,77,82,158,24,25,47,15,10,27,4,5,11,46,42,84,0,0,0,0,3,3,4,0,0,13,8,19,0,0,0,16,12,27,0,5,3,3,0,4,0,0,4,3,5,6,0,0,0,9,9,22,0,0,3,0,3,3,0,0,0,0,5,5,101,125,223,262,299,556
UCL115136,7,8,12,18,15,36,4,7,15,0,3,8,23,29,53,8,15,23,11,5,12,3,0,3,21,19,41,0,0,0,0,6,4,0,3,3,3,8,5,0,0,0,3,12,15,0,0,3,0,0,0,0,0,0,3,8,13,0,0,0,6,11,15,0,0,0,0,5,5,0,0,0,0,3,3,69,50,118,133,132,259
UCL115137,15,17,29,43,41,89,13,13,21,0,0,0,57,56,112,39,41,78,0,0,3,0,4,3,38,41,83,5,0,7,0,0,0,6,5,10,4,7,7,0,0,0,16,17,29,0,3,4,0,3,3,0,0,0,6,3,12,0,0,0,5,17,22,0,0,0,0,6,7,0,0,0,0,6,3,73,89,162,206,240,438
UCL115138,8,8,16,25,34,61,19,9,33,0,3,3,48,43,93,23,40,63,8,13,21,3,3,11,41,54,93,3,0,3,0,0,3,8,0,8,8,8,17,0,0,0,14,14,29,0,3,10,0,7,9,0,0,0,3,8,10,0,0,0,6,25,29,0,0,0,0,7,12,0,0,0,0,7,12,67,84,149,186,242,427
UCL115139,26,24,43,79,87,166,12,17,31,3,3,7,98,112,206,58,57,113,5,7,20,6,3,9,65,72,138,0,5,5,4,3,7,6,6,14,9,12,18,0,0,0,16,25,39,9,19,23,3,10,16,0,12,15,4,22,28,0,0,0,14,63,78,0,3,8,4,5,6,0,0,0,0,12,10,86,107,199,315,403,722
UCL115140,24,16,35,54,69,122,16,9,24,10,3,11,72,84,158,29,39,70,10,10,19,4,5,14,48,58,103,0,3,4,0,9,10,7,0,9,7,11,15,0,0,0,13,20,39,6,4,13,5,5,12,3,4,3,4,18,25,0,0,0,14,32,49,0,0,0,0,4,4,0,0,0,0,4,4,121,131,247,289,344,633
UCL115141,11,13,23,25,29,51,6,12,19,8,8,19,39,50,92,19,21,49,0,3,3,4,15,22,32,40,73,0,0,3,0,0,0,3,0,6,0,4,11,0,0,0,6,10,21,0,3,7,3,0,5,0,3,3,8,4,7,0,0,3,13,15,29,0,0,0,3,3,5,0,0,0,3,5,9,33,34,68,139,168,307
UCL115142,16,26,39,69,55,119,4,0,10,5,8,15,79,65,147,41,45,90,23,24,41,15,9,23,75,78,152,0,3,3,4,0,4,14,3,16,4,13,20,0,0,0,19,22,36,3,6,9,4,9,7,0,0,4,7,11,21,0,0,0,15,25,45,0,0,0,3,10,11,0,0,0,3,10,11,89,94,186,301,314,610
UCL115143,10,16,29,33,31,62,13,13,30,0,0,3,45,44,89,25,33,50,7,4,7,0,4,3,29,34,61,0,3,3,3,0,4,6,3,7,0,7,8,0,0,0,13,20,28,3,3,8,0,4,3,0,4,4,0,4,4,0,0,0,4,17,18,0,0,0,0,0,0,0,0,0,0,0,0,98,107,209,204,233,437
UCL115144,26,31,57,32,32,69,50,46,94,0,0,0,82,82,165,17,22,44,3,3,7,0,3,3,22,28,49,7,0,4,0,0,0,4,0,5,3,4,6,0,0,0,11,7,19,3,3,4,0,3,5,0,4,4,0,10,5,0,0,0,3,18,20,0,0,4,0,0,0,0,0,0,0,6,7,111,133,242,265,298,562
UCL115145,5,11,19,30,19,50,12,9,20,9,11,18,46,37,81,15,12,26,12,9,26,4,6,13,32,34,68,0,0,0,0,0,0,10,0,9,3,3,7,0,0,0,15,0,19,4,14,13,0,0,0,0,3,3,3,6,4,0,0,0,10,19,27,0,0,4,3,3,4,0,0,0,4,8,9,47,47,100,164,154,316
UCL115146,28,30,54,84,79,160,5,14,21,0,3,10,94,100,190,45,39,81,11,18,27,3,8,7,51,64,117,0,5,5,0,7,4,9,4,10,5,12,19,0,0,0,15,24,38,0,3,5,0,3,3,0,3,0,4,16,17,0,0,0,8,27,32,0,0,3,0,5,5,0,0,0,0,4,8,131,133,266,330,378,709
UCL115147,6,14,24,36,30,67,3,12,12,0,0,0,43,39,80,25,33,59,0,0,0,0,0,0,25,37,62,0,4,3,0,0,0,0,3,5,0,3,4,0,0,0,3,13,17,3,0,3,0,3,3,0,3,3,0,0,3,0,0,0,4,5,10,0,0,0,0,3,4,0,0,0,0,3,4,54,43,95,135,146,284
UCL115148,21,17,40,39,31,73,22,29,50,0,0,6,62,66,127,37,43,78,0,0,0,0,0,0,37,40,81,0,3,4,0,3,3,3,7,4,3,8,12,0,0,0,6,14,21,0,4,3,0,4,4,4,0,4,5,6,6,0,0,0,11,13,21,0,0,0,0,0,0,0,0,0,0,0,0,92,107,202,225,264,490
UCL115149,13,21,38,33,31,61,41,31,70,4,3,12,80,70,148,53,50,102,0,0,0,4,0,4,57,50,107,0,0,0,0,0,0,4,5,3,4,9,9,0,0,0,11,9,18,0,0,0,3,0,3,0,3,7,0,3,9,0,0,0,6,10,12,0,0,0,3,0,3,0,0,0,3,0,3,110,106,219,282,269,546
UCL115150,41,42,84,137,125,263,22,26,46,8,5,21,167,159,329,113,109,214,12,6,21,11,19,26,130,133,265,4,15,15,0,7,9,16,15,32,17,22,38,0,0,0,38,52,90,3,6,13,4,6,14,3,10,9,7,19,27,0,0,0,19,38,55,4,3,4,3,3,8,0,0,0,4,7,14,276,294,565,683,717,1402
UCL115151,7,0,9,37,33,64,3,5,10,0,0,0,40,39,80,20,27,45,0,0,0,3,6,5,22,31,51,0,3,3,3,3,3,0,3,5,4,0,9,0,0,0,7,5,17,3,5,10,0,0,0,0,0,0,0,9,9,0,0,0,3,9,14,0,0,0,0,6,7,0,0,0,0,6,10,69,64,136,158,162,318
UCL115152,14,11,28,57,39,90,3,3,9,3,0,3,63,44,105,29,36,62,0,4,3,0,0,0,30,39,72,0,0,0,0,3,8,0,3,3,0,6,12,0,0,0,4,15,21,0,0,0,0,6,7,0,0,0,0,3,3,0,0,0,0,10,8,0,3,3,0,0,0,0,0,0,0,3,3,94,90,184,204,217,421
UCL115153,26,28,52,100,101,201,26,22,47,0,0,0,122,124,245,64,62,127,6,3,7,0,3,3,69,65,138,0,7,3,0,4,7,5,3,7,10,13,18,0,0,0,14,21,36,3,5,8,0,3,3,0,3,3,5,10,22,0,0,0,10,21,32,0,3,3,0,4,9,3,0,3,4,9,10,156,193,343,405,470,867
UCL115154,33,20,52,76,71,140,3,12,15,6,11,20,87,87,176,30,32,54,26,14,32,11,14,33,63,58,121,4,3,7,3,4,3,15,5,13,5,8,12,0,0,0,23,16,39,14,27,46,0,0,4,0,3,3,7,8,15,0,0,0,30,39,67,0,0,0,3,0,4,0,0,0,3,3,7,63,58,115,298,289,588
UCL115155,22,22,47,89,62,145,5,3,7,5,4,10,96,74,168,31,23,55,18,12,26,10,14,22,54,48,105,0,3,3,0,0,0,6,4,9,0,12,10,0,0,0,9,18,29,3,13,15,0,3,3,0,3,0,8,9,16,0,0,0,11,27,37,0,0,0,0,3,5,0,0,0,0,3,5,21,25,44,220,205,428
UCL115156,45,31,78,143,132,278,30,34,64,13,4,20,189,171,364,104,115,216,15,15,24,9,14,20,125,142,267,6,7,16,3,13,18,6,12,27,8,33,44,0,0,0,28,69,99,4,10,12,6,12,12,0,7,3,10,17,21,0,0,0,19,33,49,5,0,3,0,5,8,0,0,0,7,7,11,159,191,345,568,647,1215
UCL115157,26,23,47,89,70,163,23,8,34,6,11,11,117,85,210,53,59,116,23,15,39,7,11,18,81,82,165,3,4,7,0,3,6,4,11,13,7,13,20,0,0,0,13,33,51,11,7,22,3,3,9,0,3,8,5,17,25,0,0,0,22,39,64,6,3,8,3,14,17,0,0,0,9,16,22,33,35,63,306,316,622
UCL115158,38,36,69,120,119,236,33,31,67,5,3,8,156,158,312,130,87,221,13,16,35,5,3,14,153,112,264,9,5,11,6,12,20,14,4,16,18,29,47,0,0,0,47,48,93,17,26,34,6,16,23,0,4,10,6,13,24,0,0,0,33,56,86,12,3,11,4,12,18,0,3,3,21,18,41,231,273,504,674,691,1370
UCL115159,17,13,34,54,51,104,13,14,21,3,0,8,64,65,135,39,37,76,10,19,27,11,4,15,65,57,122,3,4,7,0,3,3,8,4,15,4,7,10,0,0,0,20,13,30,3,10,17,3,3,4,0,3,3,3,6,16,0,0,0,7,28,32,0,0,0,3,10,8,0,0,0,5,5,10,45,47,90,225,232,461
UCL115160,13,11,15,43,28,73,11,4,15,11,13,22,56,50,106,27,17,44,9,8,17,4,3,9,42,32,76,0,0,0,0,4,4,6,3,5,8,3,11,0,0,0,9,9,16,5,11,13,0,4,4,0,0,0,0,5,4,0,0,0,5,19,25,0,0,3,3,3,3,0,0,0,5,3,4,31,31,60,158,152,309
UCL115161,9,16,25,52,38,87,3,3,7,0,0,0,52,40,92,31,24,53,5,7,12,0,0,0,37,31,65,0,0,0,0,0,0,0,0,7,7,4,12,0,0,0,6,8,16,0,0,0,0,0,0,0,0,0,3,10,11,0,0,0,3,10,12,0,0,0,0,3,5,0,0,0,0,8,9,38,40,78,153,154,301
UCL121001,5,3,10,34,30,64,13,9,18,0,0,0,43,40,86,23,20,45,3,7,11,0,0,0,27,25,58,0,0,0,0,0,0,0,3,3,3,6,9,0,0,0,3,8,13,0,6,6,0,0,0,0,0,0,3,3,3,0,0,0,3,8,10,3,0,7,0,0,0,0,0,0,3,0,5,35,33,66,122,126,253
UCL121002,7,7,12,9,15,23,11,15,19,0,0,0,17,29,44,15,16,33,0,0,0,0,0,0,15,16,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,3,3,0,0,0,0,0,0,0,3,5,0,0,0,3,6,12,0,0,0,0,0,0,0,0,0,0,0,0,41,30,70,93,83,172
UCL121003,0,8,9,12,24,39,0,0,0,0,0,0,12,24,39,15,21,36,0,0,0,0,0,0,15,25,38,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,3,8,0,0,0,3,6,9,0,0,0,3,9,16,0,0,0,0,3,3,0,0,0,0,3,3,22,29,47,63,94,158
UCL121004,9,6,13,22,13,32,8,9,9,0,8,8,26,25,51,7,10,24,10,12,26,0,3,3,19,24,52,0,0,0,0,0,0,4,3,3,0,4,4,0,0,0,7,7,13,0,0,3,0,0,0,0,0,0,3,4,10,0,0,0,3,7,11,0,0,0,3,0,5,0,0,0,3,0,5,23,25,42,88,99,183
UCL121005,4,3,9,24,20,44,9,3,11,0,3,3,30,27,55,18,25,38,5,6,10,0,0,0,21,26,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,9,0,0,0,3,0,3,0,3,3,0,0,0,7,8,14,0,0,0,0,3,4,0,0,0,0,3,4,16,16,30,85,86,173
UCL121006,0,0,0,9,11,24,0,0,0,0,0,0,9,11,24,5,14,22,6,0,6,0,3,3,11,13,26,0,0,0,0,0,0,3,3,5,3,0,3,0,0,0,7,3,7,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,21,15,41,59,54,110
UCL121007,11,13,21,40,28,70,4,3,11,0,0,4,47,30,77,23,23,47,3,3,11,3,0,3,30,30,64,0,0,0,0,0,0,0,3,4,3,15,18,0,0,0,8,16,20,0,0,0,0,3,3,3,0,3,4,14,12,0,0,0,3,17,22,3,3,4,3,0,3,0,0,0,6,3,7,39,34,74,141,149,291
UCL121008,0,3,3,20,17,43,4,11,16,0,0,0,31,25,61,19,13,36,0,0,0,3,4,9,24,24,50,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,4,56,65,119,121,132,247
UCL121009,4,0,4,27,25,48,0,0,3,0,0,0,23,28,56,30,19,50,0,0,0,0,0,0,30,21,51,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,30,19,44,94,77,172
UCL121010,3,7,12,40,42,76,7,5,12,0,0,0,42,47,87,14,19,36,8,7,6,0,0,0,19,23,45,3,0,3,0,0,0,0,0,0,0,0,4,0,0,0,3,4,7,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,0,0,0,0,0,0,0,0,0,0,3,3,61,49,113,140,133,272
UCL121011,12,13,27,49,38,88,4,3,7,3,0,11,62,45,107,25,28,56,3,0,4,5,6,9,33,34,69,0,3,7,0,9,10,0,0,3,3,9,12,0,0,0,10,20,23,3,3,3,0,0,0,0,0,0,0,3,3,0,0,0,5,4,14,0,0,0,0,0,0,0,0,0,0,0,0,34,45,78,153,159,313
UCL121012,0,9,9,28,25,50,5,3,8,7,5,12,36,35,77,18,30,52,6,3,11,10,6,21,39,43,79,0,3,3,0,0,0,5,0,9,0,3,3,0,0,0,3,10,10,13,10,19,0,4,7,0,0,0,4,7,6,0,0,0,13,25,34,0,0,3,0,0,4,0,0,0,3,5,8,20,21,40,116,138,254
UCL121013,13,3,14,22,23,49,22,10,28,0,0,0,43,39,84,12,16,30,4,0,4,0,0,0,14,16,36,0,0,0,0,3,3,0,0,0,0,3,10,0,0,0,5,5,17,0,0,0,0,5,4,0,0,0,4,5,7,0,0,0,3,9,14,0,0,0,0,0,3,0,0,0,0,0,3,84,41,123,165,120,288
UCL121014,0,0,4,18,13,29,0,0,0,8,0,11,21,21,45,20,22,41,4,6,11,4,3,7,26,35,55,0,0,0,0,0,0,3,0,3,0,0,5,0,0,0,4,3,6,0,13,11,4,0,4,3,0,3,0,8,6,0,0,0,9,18,27,0,0,0,0,0,0,0,0,0,3,0,3,26,24,49,87,98,190
UCL121015,4,0,7,12,17,25,4,0,4,0,3,4,14,22,37,5,11,12,3,7,11,0,0,0,11,21,28,4,0,3,0,3,3,3,0,3,0,3,3,0,0,0,4,10,12,0,3,3,0,3,4,0,0,0,3,4,3,0,0,0,7,7,14,0,0,0,0,0,0,0,0,0,0,0,0,23,24,47,62,81,146
UCL121016,11,8,23,38,39,73,7,7,13,0,0,0,43,44,81,22,28,50,0,0,0,0,3,3,22,27,48,3,0,3,0,0,0,6,0,4,0,3,8,0,0,0,10,4,11,0,3,4,0,3,9,0,0,0,0,0,3,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,3,3,35,37,74,124,143,259
UCL121017,3,9,8,12,10,26,8,11,23,20,8,22,38,33,72,16,6,20,8,12,16,8,14,24,30,36,65,0,0,0,0,0,0,7,3,7,0,3,6,0,0,0,7,11,16,3,0,3,0,0,4,0,0,0,0,8,9,0,0,0,7,14,16,0,0,0,0,0,0,0,0,0,0,0,0,17,14,31,108,105,210
UCL121018,0,3,11,25,11,39,6,4,7,3,0,3,29,16,48,9,6,18,9,11,23,0,0,0,21,23,50,0,0,3,0,4,4,0,0,3,0,0,3,0,0,0,3,6,11,3,3,10,3,3,3,3,0,3,0,12,12,0,0,0,5,16,21,0,0,0,0,3,3,0,0,0,0,3,3,11,21,36,86,92,177
UCL121019,3,3,7,29,23,49,6,11,21,0,3,3,38,35,72,21,13,38,3,10,9,0,0,0,32,19,51,0,0,0,0,0,0,3,0,5,9,3,9,0,0,0,10,7,10,0,3,5,0,0,0,0,0,0,3,3,3,0,0,0,7,7,11,0,0,0,0,0,0,0,0,0,0,0,0,32,33,70,118,104,218
UCL121020,7,0,9,22,25,43,9,4,12,0,0,0,28,29,59,29,21,47,0,0,0,0,0,0,29,21,47,0,3,4,0,0,0,0,3,3,3,3,5,0,0,0,7,6,12,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,13,14,0,0,3,0,3,3,0,0,0,0,6,4,55,57,111,123,130,251
UCL121021,0,0,3,6,15,17,0,0,0,0,0,0,6,15,17,10,4,15,0,0,0,0,0,0,10,4,15,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,6,45,31,79,63,57,123
UCL121022,14,11,22,24,20,45,21,25,44,0,3,0,44,42,87,18,23,41,3,11,18,0,0,3,22,36,59,0,0,3,0,0,0,0,0,3,0,9,6,0,0,0,9,14,15,3,8,11,0,3,4,0,0,0,3,5,5,0,0,0,8,12,22,0,0,0,0,9,10,0,0,0,0,6,9,69,69,139,163,194,354
UCL121023,3,4,12,30,39,69,0,3,7,0,0,3,36,47,81,9,14,19,0,7,9,3,0,8,14,25,33,0,0,0,0,0,4,3,7,5,0,3,3,0,0,0,4,7,12,0,0,4,0,0,0,0,0,0,0,3,3,0,0,0,3,3,4,0,0,0,0,3,3,0,0,0,0,3,3,27,25,50,85,113,194
UCL121024,5,8,11,33,26,58,0,0,0,0,4,5,33,30,63,18,29,47,0,6,3,4,3,6,21,37,61,0,0,0,0,0,0,4,3,10,3,10,11,0,0,0,6,17,21,14,3,15,0,5,5,0,0,0,3,4,7,0,0,0,17,11,25,0,0,0,0,4,4,0,0,0,0,4,4,9,12,25,97,117,210
UCL121025,11,7,18,18,24,40,3,3,7,6,4,7,27,31,52,17,8,30,4,0,7,10,0,6,34,10,44,0,0,0,3,0,3,3,0,3,3,3,12,0,0,0,9,5,13,3,6,6,0,0,0,0,0,0,3,9,7,0,0,0,3,12,15,0,0,0,0,0,3,0,0,0,0,0,3,48,46,99,127,112,242
UCL121026,5,4,10,22,20,43,3,3,5,0,0,0,22,23,48,15,17,38,9,5,11,0,0,4,26,26,51,0,0,0,0,3,3,0,0,0,0,9,9,0,0,0,0,11,11,0,0,3,0,0,0,0,0,3,0,3,3,0,0,0,0,9,12,0,0,0,0,3,3,0,0,0,0,3,3,11,5,18,69,85,154
UCL121027,16,12,23,25,22,45,12,19,27,15,26,36,53,59,114,17,28,43,11,12,16,10,16,19,32,53,78,0,0,0,0,4,4,0,0,0,7,3,15,0,0,0,9,8,15,0,9,8,0,3,4,0,0,0,6,10,17,0,0,0,9,26,27,0,0,0,0,3,3,0,0,0,0,3,3,25,17,42,139,173,313
UCL121028,3,5,6,12,7,17,0,0,0,0,0,0,12,12,21,12,11,22,0,0,0,0,0,0,13,12,24,0,0,0,0,0,0,3,0,4,0,3,3,0,0,0,3,5,12,0,0,3,0,0,0,0,0,0,0,7,7,0,0,0,0,7,7,0,3,3,0,0,0,0,0,0,0,5,4,18,26,45,49,66,115
UCL121029,6,12,15,18,15,32,7,3,8,3,0,4,25,21,40,12,9,24,6,5,14,0,0,0,20,15,34,0,0,0,0,0,0,3,3,3,3,6,11,0,0,0,3,13,16,0,0,3,0,0,0,0,0,0,0,4,5,0,0,0,3,9,10,0,0,0,0,0,0,0,0,0,0,0,0,20,23,42,77,83,159
UCL121030,5,3,4,10,13,28,3,5,5,0,0,0,14,24,32,20,12,25,0,0,0,0,0,3,22,9,29,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,5,6,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,31,32,59,69,76,146
UCL121031,15,3,19,38,33,74,8,0,8,0,0,0,45,33,78,26,16,44,6,5,11,0,0,0,32,26,58,0,0,3,0,0,0,3,6,5,3,3,7,0,0,0,8,13,21,0,0,0,0,3,4,0,0,0,3,5,5,0,0,0,3,6,13,0,0,3,0,0,3,0,0,0,3,3,3,58,48,105,170,126,296
UCL121032,9,5,18,37,27,62,0,3,4,8,0,4,43,32,72,29,24,49,3,3,6,3,4,10,36,27,65,0,0,4,0,3,3,0,3,0,4,3,7,0,0,0,8,7,18,4,8,8,0,3,5,0,0,0,3,4,8,0,0,0,6,16,20,0,0,0,0,0,0,0,0,0,0,0,0,16,21,39,119,114,234
UCL121033,7,5,13,23,29,51,0,3,3,0,0,3,28,29,61,27,29,53,0,0,0,0,0,0,27,29,53,0,0,3,0,0,0,0,6,5,5,7,12,0,0,0,5,15,19,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,36,37,68,105,126,224
UCL121034,9,8,13,31,30,57,3,0,4,5,0,9,36,29,72,12,16,31,0,0,0,10,3,13,23,23,45,0,0,0,0,0,0,0,0,0,3,7,8,0,0,0,3,7,8,0,0,3,0,0,0,3,0,3,0,4,8,0,0,0,7,6,14,0,0,3,0,4,4,0,0,0,0,4,8,14,11,29,87,93,176
UCL121035,13,4,14,36,33,68,3,7,9,0,3,6,46,44,89,19,24,43,3,7,9,9,8,15,31,40,71,0,0,0,0,4,4,4,3,8,0,4,9,0,0,0,3,15,21,0,9,12,0,0,0,0,4,3,0,4,8,0,0,0,7,16,23,0,0,0,3,3,9,0,0,0,3,3,9,41,37,79,141,161,295
UCL121036,3,15,18,47,33,88,3,10,10,5,8,14,59,52,111,30,18,47,6,5,10,5,9,13,44,34,71,3,4,10,0,0,0,0,4,7,4,8,14,0,0,0,5,19,28,0,3,6,0,3,3,0,5,3,3,5,14,0,0,0,6,12,19,0,0,0,3,6,5,0,0,0,3,6,5,20,19,37,144,158,302
