UCL_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
UCL415036,..,146,146,170,12,175,38,0,44,27,0,27,10,0,10,5,0,5,251,158,407
UCL415037,..,254,254,326,32,360,189,3,192,214,3,216,121,0,121,36,0,36,890,291,1181
UCL415038,..,209,209,229,18,244,70,3,68,68,0,68,23,0,23,3,0,3,389,230,615
UCL415039,..,518,518,626,18,639,213,9,226,234,0,235,86,0,86,20,0,20,1179,546,1723
UCL415040,..,248,248,264,14,277,53,0,53,48,0,48,18,0,18,10,0,10,380,268,648
UCL415041,..,139,139,200,12,216,97,0,97,116,0,116,67,0,67,19,0,19,504,151,656
UCL415042,..,273,273,272,9,286,81,0,81,56,0,56,25,0,22,6,0,6,439,288,725
UCL415043,..,539,539,713,51,760,193,3,203,150,0,150,45,0,45,19,0,19,1122,591,1713
UCL415044,..,135,135,257,8,264,113,0,113,126,0,126,75,0,75,18,0,18,598,146,742
UCL415045,..,160,160,276,6,288,114,0,110,156,0,156,47,0,47,17,0,17,614,171,784
UCL415046,..,175,175,240,9,256,103,0,101,113,0,113,37,0,37,15,0,12,497,190,690
UCL421001,..,85,85,71,0,73,29,3,36,39,0,39,8,0,8,3,0,3,152,95,240
UCL421002,..,207,207,248,14,260,37,0,37,23,0,23,20,0,20,8,0,8,337,222,555
UCL421003,..,69,69,103,8,113,48,0,51,56,0,56,21,0,21,13,0,13,237,80,318
UCL421004,..,156,156,152,3,151,37,0,37,24,0,24,5,0,5,8,0,8,231,161,389
UCL421005,..,126,126,129,8,141,27,0,27,31,0,31,9,0,9,5,0,5,199,138,336
UCL421006,..,16,16,65,0,68,31,0,31,51,0,51,15,0,15,7,0,7,171,23,191
UCL421007,..,80,80,105,5,111,29,0,24,22,0,22,6,0,6,0,0,0,157,89,247
UCL421008,..,113,113,161,7,171,33,0,33,39,0,39,18,0,18,4,0,4,255,119,380
UCL421009,..,88,88,131,8,139,21,0,21,32,0,32,9,0,9,3,0,3,203,90,298
