UCL_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
UCL222096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,4,0,8,5,3,0,0,5,3,3,0,0,4,3,0,0,0,5,0,3,0,0,0,4,5,0,0,9,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,6,0,0,0,0,0,19,21,11,0,52
UCL222097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,5,3,0,5,0,6,3,3,0,0,11,3,3,0,0,4,3,6,0,0,6,0,0,0,0,0,0,3,0,0,5,0,4,0,0,11,0,3,0,0,4,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,10,3,0,14,0,0,0,0,0,18,36,15,0,76
UCL222098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,8,3,4,0,0,12,3,0,3,0,3,3,0,0,0,3,0,4,0,0,10,0,3,3,0,7,5,3,0,0,13,0,8,0,0,9,5,9,0,0,7,3,3,0,0,12,6,0,0,0,5,0,6,0,0,6,7,10,3,0,18,0,0,0,0,0,41,52,16,0,111
UCL222099,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,4,10,0,0,0,8,3,0,0,0,5,17,3,3,0,26,5,5,7,0,9,11,4,0,0,14,4,0,3,0,11,4,5,0,0,6,0,0,0,0,3,3,4,0,0,6,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,7,0,19,0,0,0,0,0,65,33,30,0,130
UCL222100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,8,3,0,3,0,7,7,3,9,0,14,0,0,6,0,12,5,4,0,0,13,0,7,0,0,10,0,9,0,0,12,0,8,0,0,4,5,4,0,0,14,4,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,10,0,0,0,0,3,33,45,23,3,109
UCL222101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,5,0,4,15,6,0,0,17,4,0,0,0,7,0,3,4,0,4,3,3,0,0,6,0,4,0,0,4,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,3,30,23,13,0,70
UCL222102,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,4,0,0,10,0,3,0,0,4,0,3,0,0,3,3,0,3,0,6,4,0,0,0,4,0,3,0,0,6,5,0,0,0,5,0,0,0,0,0,3,0,0,0,3,0,3,0,0,4,0,0,0,0,0,21,21,13,0,54
UCL222103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,0,0,3,3,7,0,0,9,3,4,0,0,5,0,5,0,0,5,3,5,0,0,7,4,6,3,0,17,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,7,0,0,10,0,0,0,0,3,22,38,8,0,73
UCL222104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,0,0,4,0,6,9,0,4,0,11,4,0,4,0,8,3,9,4,0,11,0,6,3,0,10,3,7,0,0,9,4,0,0,0,3,3,7,0,0,9,6,0,0,0,6,0,3,0,0,6,0,3,0,0,3,0,0,0,0,0,4,7,0,0,15,0,0,0,0,0,45,49,28,0,118
UCL222105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,4,0,0,0,4,3,4,3,0,6,0,3,0,0,7,4,0,0,0,7,0,3,0,0,4,4,8,0,0,10,7,3,0,0,12,10,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,9,3,0,0,0,6,48,35,3,0,85
UCL222106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,5,0,0,5,0,4,0,0,5,0,3,0,0,6,3,3,0,0,5,0,6,0,0,11,5,6,0,0,10,4,7,0,0,18,3,10,0,0,6,0,3,0,0,3,0,0,0,0,0,0,7,0,0,13,0,0,0,0,0,35,53,5,0,96
UCL222107,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,3,0,0,3,0,3,0,0,0,0,3,7,0,0,0,11,0,0,3,0,10,3,8,3,0,12,0,7,3,0,12,0,7,0,0,12,9,11,0,0,15,9,9,0,0,15,3,11,0,0,13,0,7,0,0,10,0,3,0,0,3,4,0,0,0,7,0,11,0,0,7,3,0,0,0,0,46,68,28,0,139
UCL222108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,10,0,10,13,0,4,0,16,10,4,0,0,14,7,0,3,0,9,6,12,0,0,21,4,3,0,0,9,4,4,0,0,8,0,4,0,0,6,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,3,0,0,0,3,55,34,21,4,113
UCL222109,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,4,0,0,0,3,9,0,5,0,8,13,0,3,0,17,0,0,0,0,0,12,3,0,0,15,0,5,3,0,3,3,0,0,0,9,4,0,0,0,6,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,0,10,4,0,0,0,4,55,19,20,3,89
UCL222110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,3,0,13,4,4,0,0,7,8,3,0,0,11,3,3,0,0,7,3,6,3,0,15,0,3,0,0,7,7,9,0,0,14,3,6,0,0,17,0,3,0,0,5,0,0,0,0,0,3,0,0,0,0,8,4,0,0,10,0,0,0,0,0,40,49,11,0,106
UCL222111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,3,0,0,0,0,3,3,5,3,0,10,0,3,0,0,8,0,3,0,0,4,4,4,0,0,10,3,4,0,0,3,0,4,0,0,4,0,3,0,0,3,0,4,0,0,4,0,4,0,0,7,0,0,0,0,3,26,36,7,0,68
UCL222112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,4,0,0,4,0,0,0,0,4,0,5,0,0,3,0,3,0,0,0,4,0,0,0,4,0,3,0,0,11,0,3,0,0,3,0,3,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,29,19,4,0,54
UCL222113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,0,0,9,0,0,0,0,0,6,4,3,0,11,4,7,0,0,13,6,0,0,0,5,3,3,0,0,4,3,3,0,0,3,0,6,0,0,9,0,0,0,0,4,0,3,0,0,3,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,39,33,7,0,77
UCL222114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,3,0,0,3,0,5,5,4,0,0,6,3,0,0,0,5,0,3,0,0,6,4,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,5,4,0,9,0,0,0,0,0,25,24,9,0,55
UCL222115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,3,0,3,0,4,6,0,0,0,11,3,3,0,0,7,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,3,32,11,13,0,57
UCL222116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,4,0,4,0,12,3,3,0,0,3,3,0,0,0,3,0,0,0,0,0,0,3,0,0,3,7,7,0,0,11,0,6,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,0,0,0,0,0,28,28,6,0,61
UCL222117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,7,12,0,3,0,16,0,8,7,0,7,4,4,0,0,11,4,3,0,0,9,4,0,0,0,10,4,3,0,0,5,4,3,0,0,5,0,0,0,0,0,0,3,0,0,4,0,3,0,0,3,0,0,0,0,0,0,6,5,0,16,0,0,0,0,3,39,42,22,0,101
UCL222118,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,0,0,0,3,3,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,5,0,0,8,0,7,0,0,4,0,3,0,0,3,0,4,0,0,7,0,4,0,0,6,0,4,0,0,5,0,0,0,0,0,21,33,7,0,56
UCL222119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,3,3,0,0,0,8,0,0,0,0,3,0,5,0,0,5,0,5,0,0,9,3,3,0,0,4,10,5,0,0,13,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,22,23,9,0,60
UCL222120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,0,3,5,0,4,7,0,0,0,14,3,6,0,0,10,6,3,3,0,10,0,3,0,0,4,0,0,0,0,0,0,8,0,0,8,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,14,0,0,0,0,0,35,34,13,3,86
UCL222121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,8,0,0,3,0,3,0,0,0,0,3,3,4,5,0,7,4,4,0,0,6,4,0,0,0,4,0,3,0,0,3,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,27,23,18,0,67
UCL222122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,4,0,0,10,3,3,0,0,3,0,9,0,0,9,3,5,0,0,12,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,3,0,0,3,4,3,0,0,3,0,0,0,0,0,17,30,8,3,51
UCL231777,890,282,184,19,1381,650,146,117,18,935,454,217,331,21,1025,224,109,412,8,747,2469,432,713,53,3663,1388,627,1080,48,3139,6318,1180,1186,84,8770,4253,2005,1180,135,7570,5236,3529,1134,118,10020,4788,4093,870,107,9861,2570,3692,562,47,6873,3186,3927,412,63,7587,5367,7040,565,73,13043,2959,4966,247,34,8210,1734,2997,96,12,4842,941,1922,94,8,2964,2333,4143,141,19,6645,3439,7575,1221,39,12273,1277,713,278,26,2294,50481,49588,10830,928,111828
UCL279997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL299994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL301001,2792,983,1679,278,5725,1227,393,688,165,2475,1160,616,2079,225,4077,760,423,2798,82,4055,5976,1653,4640,438,12707,4149,2322,8152,390,15008,19878,4228,8704,822,33632,13077,7451,9426,1050,31006,16795,12826,10461,1272,41349,16024,16246,7903,1131,41302,11148,16170,6120,788,34229,12362,17135,4584,737,34816,25582,36284,6462,1202,69534,16676,28444,2620,674,48413,10301,20138,945,326,31705,6604,14900,1213,142,22861,12380,34007,1084,237,47714,12632,26190,6867,401,46094,2565,1986,1502,170,6229,192084,242381,87943,10521,532930
UCL302001,827,285,514,69,1698,372,112,193,24,697,357,142,469,44,1011,259,118,657,16,1050,2060,383,1284,84,3818,1351,627,2504,77,4556,6727,1099,2723,173,10722,4087,2004,2933,210,9234,5344,3701,3068,274,12383,5212,4632,2275,273,12391,3365,4530,1633,169,9696,3854,4846,1183,128,10007,7040,9346,1525,225,18132,4069,6929,518,105,11631,2257,4370,212,43,6887,1283,2893,252,21,4446,2663,5692,211,34,8599,3617,6731,1979,76,12406,968,535,411,39,1956,55712,59002,24549,2068,141330
UCL303001,164,60,141,14,378,73,35,62,12,178,88,43,197,7,329,65,35,275,10,382,428,136,432,12,1010,324,185,789,31,1328,1272,346,812,35,2473,917,559,852,71,2395,1253,915,869,72,3110,1301,1172,597,67,3137,905,1144,446,45,2540,925,1162,291,28,2398,1941,2297,414,59,4708,1144,1591,118,24,2883,615,975,57,12,1666,319,671,60,3,1051,646,1066,46,7,1760,1234,2022,612,34,3898,224,146,195,22,590,13844,14543,7260,571,36216
UCL303002,363,91,143,15,614,205,37,76,12,327,189,50,228,18,488,116,35,307,11,468,1211,128,586,27,1955,821,254,1072,24,2168,4239,400,1278,61,5984,2674,853,1291,85,4908,3298,1615,1346,117,6376,3025,2071,975,96,6170,1712,2089,680,57,4536,1813,1988,438,59,4295,3100,4002,549,65,7721,1819,2825,158,27,4835,965,1833,63,11,2872,641,1155,83,4,1884,1349,2234,68,8,3661,2021,3402,848,30,6304,495,227,179,14,910,30074,25290,10359,763,66480
UCL303003,99,28,61,3,195,55,11,33,4,115,58,23,111,9,205,29,18,156,6,205,360,88,281,16,741,239,109,567,14,932,1510,236,587,39,2378,867,402,601,59,1930,1018,694,582,65,2368,990,817,450,61,2325,595,821,324,29,1768,661,820,191,33,1710,1283,1553,191,52,3082,727,1069,89,22,1899,401,635,23,3,1070,222,411,31,0,672,424,811,18,5,1258,676,989,351,13,2024,190,61,79,15,337,10410,9609,4746,451,25217
UCL303004,161,56,117,19,350,88,28,73,15,200,89,35,216,15,351,59,14,321,10,404,513,104,492,37,1148,314,164,938,35,1454,1581,316,902,65,2860,1074,533,911,85,2608,1400,949,944,88,3374,1396,1252,670,92,3411,986,1358,503,68,2910,1091,1386,364,45,2887,2230,2820,480,85,5612,1421,2317,174,50,3960,771,1427,62,15,2269,402,915,63,8,1385,626,1488,45,4,2159,1587,2517,621,28,4746,236,179,148,11,575,16005,17858,8034,763,42660
UCL311001,55,18,38,0,109,50,9,12,0,77,42,12,85,6,147,16,9,135,0,161,327,53,204,9,598,191,77,382,6,660,1198,170,393,24,1790,569,249,383,43,1244,607,421,322,41,1380,528,497,214,23,1257,300,439,124,13,875,293,378,79,9,766,491,652,87,12,1245,211,393,26,0,626,108,248,10,6,372,45,115,14,0,176,92,176,15,0,283,341,509,180,11,1046,156,46,69,13,286,5623,4471,2779,223,13093
UCL311002,94,18,24,0,130,70,6,22,0,96,66,26,78,3,173,35,8,123,0,170,476,49,196,10,727,248,75,364,9,691,1801,176,388,16,2379,729,275,355,22,1376,893,446,302,32,1679,680,444,186,20,1332,307,362,100,5,769,308,328,77,5,723,466,622,71,4,1162,199,368,21,3,587,82,218,8,0,305,73,121,19,0,209,147,208,13,0,364,431,544,190,6,1165,196,40,64,13,314,7289,4325,2591,158,14368
UCL311003,85,43,50,8,179,50,7,26,6,88,46,16,111,7,179,22,11,133,0,162,259,40,227,12,540,162,63,426,7,659,722,110,400,30,1264,480,240,374,31,1120,630,420,344,24,1420,611,500,243,35,1388,433,568,182,27,1206,439,602,142,18,1198,958,1288,186,26,2465,657,984,72,14,1732,455,642,26,4,1134,229,424,32,11,695,400,831,29,8,1268,863,1570,243,9,2690,151,95,88,3,329,7647,8463,3322,282,19707
UCL311004,51,14,36,3,105,38,7,25,4,75,37,19,77,12,145,24,8,124,3,153,232,35,241,13,520,135,67,367,7,574,837,133,366,37,1366,426,241,365,44,1078,492,364,299,24,1181,520,412,239,28,1196,334,488,198,23,1044,363,510,141,23,1037,680,1068,154,23,1922,393,746,58,16,1209,207,500,11,9,728,124,288,20,5,438,253,478,28,10,763,481,891,244,16,1630,113,47,68,4,227,5737,6315,3063,303,15408
UCL312001,36,14,34,3,89,27,10,17,0,57,18,14,51,0,89,14,9,60,0,77,99,38,122,8,266,62,40,178,13,288,281,63,175,15,526,205,101,161,14,481,221,150,113,14,503,233,224,90,5,550,162,227,72,6,465,172,244,44,3,462,423,665,74,9,1174,308,446,36,6,801,204,308,15,8,528,149,287,18,0,461,248,500,21,4,774,296,525,93,13,934,49,38,29,0,116,3205,3898,1404,121,8629
UCL312002,34,3,12,0,52,29,3,6,0,35,25,10,39,0,67,11,0,66,0,79,174,22,136,7,342,97,35,182,3,313,610,94,183,17,902,281,146,198,20,640,298,223,145,20,685,228,211,78,11,527,109,152,41,0,307,117,147,28,6,294,184,228,29,5,448,92,127,12,0,227,41,73,0,0,115,19,52,8,0,76,34,51,5,0,98,126,195,99,5,430,80,23,33,3,142,2597,1793,1299,111,5795
UCL313001,20,0,7,0,27,17,0,3,0,17,11,3,12,0,21,6,0,10,0,18,88,7,15,0,112,52,12,49,0,109,370,22,58,3,449,157,47,68,5,277,184,80,60,4,325,138,104,17,0,262,95,80,22,0,193,89,78,16,4,178,166,154,20,0,341,94,126,8,0,224,43,67,4,0,111,34,53,0,0,93,72,77,0,0,153,123,146,25,3,298,36,10,12,0,54,1786,1065,407,23,3279
UCL313002,34,3,3,0,42,41,3,4,0,45,24,3,19,0,46,24,4,25,0,51,176,12,54,0,243,122,17,87,4,233,769,42,104,10,918,372,57,108,16,561,403,89,94,9,598,318,106,64,5,490,134,103,38,3,284,137,83,33,0,251,192,182,21,0,395,99,112,5,0,219,64,76,3,0,151,33,46,4,0,81,69,94,4,0,171,164,163,64,0,395,79,15,17,0,114,3267,1204,759,58,5296
UCL313003,3,0,3,0,11,9,3,7,3,20,0,3,11,0,14,4,4,28,0,42,42,8,43,6,99,31,15,74,0,122,143,18,75,5,233,85,45,70,4,206,93,108,56,4,260,106,105,50,6,264,78,108,22,6,212,94,100,24,3,216,142,249,21,0,413,76,173,5,0,255,48,78,7,0,131,20,49,3,0,74,40,74,6,5,125,94,179,43,4,316,25,7,13,0,44,1129,1324,545,51,3047
UCL313004,12,4,10,0,29,8,0,6,0,15,0,4,9,0,9,3,0,19,0,19,11,8,24,0,44,10,8,41,0,69,49,13,38,3,104,49,24,35,4,114,72,53,52,3,183,81,97,34,4,218,67,109,26,0,200,91,132,24,7,251,162,306,19,3,492,116,224,13,8,358,80,111,3,3,195,45,105,8,0,153,91,211,3,0,304,115,287,39,0,445,28,16,7,0,44,1082,1714,406,37,3242
UCL313005,9,5,8,0,25,7,0,3,0,14,11,3,15,0,28,8,0,27,0,38,33,6,60,0,103,25,13,73,0,113,95,33,88,3,221,46,56,85,0,188,79,117,63,3,271,80,116,48,0,240,59,115,29,6,204,71,117,22,0,207,130,204,18,6,357,77,139,9,0,224,39,82,5,0,126,23,31,0,0,52,23,51,3,0,86,100,173,31,0,309,20,11,7,0,39,933,1283,598,26,2845
UCL313006,18,3,14,0,40,19,3,3,0,27,15,3,33,0,47,13,0,63,0,76,90,11,109,3,212,59,32,190,3,288,405,68,179,7,656,207,109,149,12,486,206,152,166,10,532,153,208,75,6,443,91,145,45,5,282,84,153,37,7,283,157,177,29,5,364,65,136,7,3,212,48,67,9,0,126,9,31,7,0,46,30,53,3,0,82,105,175,63,0,346,42,16,27,3,85,1820,1540,1194,69,4631
UCL313007,16,0,0,0,19,4,0,0,0,3,9,3,18,0,29,9,0,14,0,24,57,7,49,3,116,36,8,90,0,141,198,29,81,9,308,89,48,68,6,212,91,83,62,10,247,108,98,43,10,256,57,109,21,0,190,83,58,14,0,160,115,148,17,0,284,59,83,3,0,148,27,63,0,0,86,22,32,6,0,61,40,43,0,0,88,49,102,34,3,193,22,5,11,0,42,1072,939,549,47,2606
UCL313008,13,3,12,0,29,8,3,6,0,19,3,4,29,3,42,0,3,46,0,48,24,7,49,6,89,20,14,63,0,93,68,27,64,8,164,48,29,50,3,137,59,46,65,5,177,76,70,60,3,209,62,82,46,7,196,91,109,43,4,242,223,315,78,8,622,211,291,30,13,540,176,244,9,3,441,123,157,10,0,293,182,337,11,3,530,115,216,70,0,405,29,27,24,0,78,1537,1985,770,61,4351
UCL313009,8,6,9,3,32,7,0,10,0,19,12,3,23,0,36,8,3,41,0,48,75,9,69,4,153,52,28,140,4,226,348,54,147,6,551,162,103,137,8,413,183,162,119,11,470,179,190,72,6,450,131,193,47,4,374,110,189,35,5,331,197,302,43,5,543,89,156,10,0,263,42,97,7,0,142,13,46,0,0,64,18,62,3,0,85,113,215,67,4,405,38,22,29,0,88,1781,1850,997,62,4690
UCL313010,17,3,12,0,36,9,0,6,0,16,18,0,17,0,32,6,0,38,0,44,80,19,47,3,147,46,17,118,3,176,316,57,116,10,504,132,76,77,13,301,159,129,86,11,388,176,156,51,8,393,84,125,39,3,250,81,134,26,9,249,132,205,17,9,361,54,97,13,0,165,34,57,0,0,93,9,29,5,0,42,24,31,4,0,55,90,151,64,3,306,38,8,21,3,71,1512,1293,756,70,3630
UCL313011,27,9,10,0,44,16,0,7,0,22,10,3,18,0,32,11,0,32,0,37,85,11,44,3,150,47,12,80,3,142,271,28,76,4,378,134,30,81,6,251,196,79,81,3,355,148,120,54,6,325,85,103,30,3,221,112,124,25,4,261,209,235,35,6,483,130,181,23,6,343,93,122,0,0,218,45,102,6,0,149,95,149,3,0,252,201,361,42,0,608,44,12,10,0,64,1952,1668,654,47,4319
UCL314001,14,3,10,0,26,7,3,0,0,11,6,5,7,0,15,3,0,14,0,16,29,5,23,0,54,15,3,60,0,82,68,13,50,0,132,59,41,52,0,163,90,62,44,0,206,101,68,26,3,194,73,61,8,4,153,89,70,5,5,173,132,123,17,5,269,74,70,3,0,152,28,49,0,3,86,20,21,3,0,40,41,53,3,0,95,89,123,24,0,234,23,0,4,0,25,962,784,350,32,2133
UCL314002,8,0,3,0,11,11,3,3,0,14,9,3,16,0,21,3,0,16,0,17,45,0,21,3,72,16,3,54,3,71,164,11,53,6,231,69,30,40,9,145,100,46,46,3,196,82,53,26,3,164,43,58,16,4,122,37,57,13,3,105,71,83,25,3,177,40,51,5,0,101,14,33,0,0,47,7,9,0,0,13,22,30,0,0,45,61,80,31,0,173,21,8,12,0,39,807,555,363,43,1771
UCL314003,7,3,4,0,15,3,0,4,0,10,6,3,11,0,22,3,0,21,0,25,39,4,28,0,75,22,11,46,0,73,151,13,46,9,217,66,37,46,4,156,97,53,38,5,197,116,56,32,5,213,47,74,22,3,146,59,64,18,4,139,83,148,12,3,246,46,97,7,0,151,22,66,4,0,94,15,31,4,0,50,37,55,0,0,95,67,95,23,3,191,31,9,8,0,56,920,825,372,32,2151
UCL314004,7,0,3,0,8,3,0,0,0,5,3,3,11,0,15,3,0,16,0,19,23,4,46,3,74,17,8,63,0,89,122,22,58,9,201,48,41,35,7,140,56,46,44,8,160,79,57,29,3,168,35,41,14,0,87,35,36,11,3,86,49,75,10,0,132,12,41,3,0,60,5,20,0,0,22,6,10,3,0,18,6,6,0,0,16,38,57,27,0,122,13,11,9,3,31,554,481,392,40,1467
