UCL_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
UCL315105,7,194,169,44,14,421,21,439
UCL315106,5,95,214,85,34,426,16,445
UCL315107,36,251,227,91,63,670,37,704
UCL315108,143,184,87,31,14,459,10,465
UCL315109,18,370,612,174,59,1242,41,1284
UCL315110,3,153,179,40,15,390,16,409
UCL321001,15,147,109,28,9,310,9,318
UCL321002,10,95,83,24,12,231,13,243
UCL321003,32,120,116,31,20,322,21,345
UCL321004,3,89,72,34,14,207,9,219
UCL321005,4,63,100,38,18,225,9,234
UCL321006,37,158,121,37,18,369,20,396
UCL321007,91,85,18,3,0,196,8,202
UCL321008,16,96,160,55,34,364,27,394
UCL321009,5,154,143,48,22,369,14,386
UCL321010,20,185,167,53,38,468,23,487
UCL321011,0,49,85,31,21,188,7,199
UCL321012,15,103,129,38,14,290,18,310
UCL321013,3,26,111,60,37,240,11,251
UCL321014,24,137,85,27,6,279,27,309
UCL321015,0,65,127,48,17,259,6,267
UCL321016,3,58,130,66,39,293,12,301
UCL321017,37,197,124,49,22,428,27,454
UCL321018,23,136,71,16,12,262,12,275
UCL321019,3,49,165,62,39,311,3,312
UCL321020,4,51,110,50,15,232,13,244
UCL321021,0,72,128,67,43,303,9,313
UCL321022,0,72,100,55,18,244,13,259
UCL321023,9,53,112,44,33,251,9,263
UCL321024,0,32,78,43,29,182,4,184
UCL321025,9,86,138,40,11,285,7,288
UCL321026,3,53,85,28,8,182,4,190
UCL321027,8,83,97,49,23,249,11,265
UCL321028,12,101,126,51,30,318,15,332
UCL321029,49,187,85,17,3,343,20,361
UCL321030,8,72,71,35,19,199,8,205
UCL321031,3,134,145,47,19,347,15,359
UCL321032,4,102,255,117,99,585,13,597
UCL321033,7,77,86,27,10,198,8,209
UCL321034,54,144,98,45,28,365,28,395
UCL321035,13,195,229,89,38,563,22,590
UCL321036,0,11,88,51,39,194,3,198
UCL321037,0,35,109,58,41,246,6,247
UCL321038,51,138,98,34,10,325,18,349
UCL321039,17,144,135,31,14,336,16,354
UCL321040,28,268,158,61,21,540,36,571
UCL321041,3,116,142,55,21,338,12,348
UCL321042,0,138,149,60,34,375,13,391
UCL321043,0,42,121,42,19,224,0,228
UCL321044,30,163,108,30,14,349,24,371
UCL321045,0,20,57,41,39,163,0,167
UCL321046,3,56,75,21,14,164,4,172
UCL321047,0,45,84,35,25,185,4,190
UCL321048,8,80,219,127,111,540,11,552
UCL321049,16,264,231,64,30,606,28,629
UCL321050,3,45,152,63,27,282,8,289
UCL321051,0,33,89,35,33,189,6,193
UCL321052,7,100,107,41,15,275,18,290
UCL321053,15,101,60,16,7,202,11,213
UCL321054,0,47,68,28,18,163,3,172
UCL321055,9,90,114,22,14,247,11,260
UCL321056,16,143,106,39,16,319,14,333
UCL321057,74,82,41,15,3,211,0,210
UCL321058,35,36,23,8,3,106,41,141
UCL321059,11,116,64,24,4,219,7,229
UCL321060,18,142,136,56,24,375,27,407
UCL321061,26,125,115,32,12,303,17,319
UCL321062,39,44,19,3,4,107,3,113
UCL321063,29,166,140,65,53,454,19,472
UCL321064,6,108,112,35,12,276,8,289
UCL321065,10,105,76,28,8,228,10,237
UCL321066,3,51,131,71,54,315,11,318
UCL321067,17,115,86,41,16,267,9,273
UCL321068,21,118,77,20,8,243,17,258
UCL321069,120,71,33,7,3,230,9,241
UCL321070,0,51,131,79,35,296,3,300
UCL321071,6,131,98,34,6,278,14,284
UCL321072,9,110,177,62,42,405,10,421
UCL321073,50,52,26,9,0,137,10,144
UCL321074,0,96,130,44,29,301,11,309
UCL321075,17,171,133,37,21,380,12,391
UCL321076,3,63,89,40,20,221,5,226
UCL321077,0,28,86,49,21,187,5,191
UCL321078,7,43,111,66,27,254,4,258
UCL321079,11,103,135,41,21,315,23,340
UCL321080,8,138,132,31,6,318,18,330
UCL321081,24,100,111,36,16,294,14,302
UCL321082,0,44,120,52,31,252,9,256
UCL321083,112,72,38,8,5,230,3,236
UCL321084,6,35,69,19,7,140,11,152
UCL321085,3,60,77,42,31,209,8,216
UCL321086,47,129,98,30,20,320,37,354
UCL321087,5,106,209,80,74,476,9,487
UCL321088,0,94,97,44,22,253,7,258
UCL321089,3,37,74,40,30,190,9,196
UCL321090,3,83,173,84,47,393,18,412
UCL321091,14,125,82,29,13,263,10,272
