SED_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED40035,2541,2059,870,234,16137
SED40036,2004,1627,804,238,15910
SED40037,2513,1466,631,239,18211
SED40038,1834,1094,667,246,13566
SED40039,2091,1852,848,346,14773
SED40040,3069,1989,810,318,15917
SED40041,2751,1753,712,267,14213
SED40042,1733,843,327,76,14043
SED40043,2237,1496,830,336,19183
SED40044,3248,2385,1058,760,19903
SED40045,3329,2447,1168,707,18884
SED40046,2046,1182,739,624,18377
SED40047,2592,1383,628,194,15309
SED49494,247,159,30,10,1595
SED49797,0,0,0,0,3
SED50106,3141,2160,1060,459,17181
SED50205,3375,2311,1299,686,19824
SED50302,2580,1658,921,348,19091
SED50404,2298,1562,885,420,21050
SED50502,2588,1604,703,262,17476
SED50605,3090,2264,1237,741,19366
SED50702,2419,1451,874,347,21644
SED50806,2939,1870,878,342,17120
SED50904,3240,1958,1000,383,34538
SED51005,2374,1483,819,346,23082
SED51104,3236,2392,872,287,18426
SED51201,2671,1837,874,330,14231
SED51304,3603,2241,1514,661,23878
SED51405,2668,1296,607,185,23045
SED51506,2753,1664,721,269,17646
SED51604,3979,3018,1535,703,22871
SED51702,3587,2131,685,184,29393
SED51806,3257,3023,1501,466,18925
SED51903,3274,1570,669,209,22694
SED52002,2518,1583,783,194,18799
SED52105,3933,2343,1076,460,23875
SED52201,2578,1488,747,220,16772
SED52304,2247,1461,701,283,20461
SED52402,2520,1685,945,301,17866
SED52504,3483,2229,684,213,17837
SED52605,2999,1458,543,227,19928
SED52704,2989,1510,594,194,18832
SED52802,3035,2450,1262,423,17910
SED52903,273,102,24,4,2102
SED53003,2246,862,221,55,15724
SED53104,3126,1863,714,361,16994
SED53205,3112,1742,842,231,29271
SED53306,2716,2089,1509,557,18503
SED53402,2878,1572,854,539,23297
SED53502,2766,1877,966,410,18501
SED53602,2370,1323,679,144,18511
SED53701,3174,2344,932,195,15751
SED53802,2459,1703,968,289,19224
SED53902,2961,1816,1295,753,21944
SED54006,2878,2063,1004,251,17818
SED54104,3738,2853,1373,546,24782
SED54203,1853,681,180,56,14208
SED54304,3426,1638,636,203,21033
SED54404,3594,1864,757,309,35660
SED54503,2403,548,97,27,24126
SED54605,3095,2104,925,370,19229
SED54705,2966,2154,1346,516,17880
SED54804,2787,1683,985,574,24002
SED54905,3507,2233,1040,627,23082
SED55005,2838,1383,484,143,24350
SED55102,3834,2367,814,209,24184
SED55206,3158,2418,1173,452,19070
