SED_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SED30083,2119,4927,3111,2655,3119,2173,1150,2414,255,21918
SED30084,2492,5475,3255,3214,2973,1984,1402,2125,334,23254
SED30085,4353,2145,2466,1628,1997,1283,1706,2754,304,18642
SED30086,2073,3254,4276,3116,3747,2612,3018,3790,525,26408
SED30087,3555,4298,5379,2869,3265,2722,3150,2904,433,28572
SED30088,1440,2363,3252,2743,2827,2006,3417,4026,502,22576
SED30089,3203,9119,2714,2571,3609,2097,1042,1923,365,26645
SED39494,264,446,392,349,226,182,300,825,97,3087
SED39797,13,8,9,0,7,7,0,6,4,60
SED40001,2898,6733,1546,2017,2427,1553,423,1095,260,18944
SED40002,2029,4804,1941,2166,2523,1571,651,1439,263,17396
SED40003,2707,6309,1055,1407,1882,1325,232,685,214,15811
SED40004,2025,4118,2116,1940,2442,1560,568,1100,234,16096
SED40005,2910,1781,1828,1539,1495,1249,1115,2848,242,15002
SED40006,1594,3078,2531,2159,2590,1706,1246,2037,238,17184
SED40007,2202,3818,1974,1790,2580,1721,685,1140,229,16144
SED40008,1663,3834,1977,1937,2295,1564,931,1688,277,16163
SED40009,2163,5089,1983,1973,2322,1477,427,1105,197,16730
SED40010,2401,6227,1524,1814,2249,1452,393,1080,259,17404
SED40011,1499,3682,1949,2214,2214,1573,646,1516,190,15477
SED40012,1584,3531,2176,1972,1943,1443,1067,2321,322,16360
SED40013,2041,1774,1876,1679,1385,1275,673,1687,188,12581
SED40014,1828,3225,2759,2134,2903,1865,822,1442,231,17207
SED40015,2943,1993,2071,1585,1588,1334,996,2130,258,14893
SED40016,1218,2441,2174,1801,2289,1430,912,1592,214,14072
SED40017,2405,1912,1908,1604,1468,1269,1352,1986,210,14126
SED40018,1455,1995,2449,1550,1265,1068,2025,1539,313,13663
SED40019,2358,1322,1852,1386,1307,1126,1118,1978,224,12672
SED40020,1781,1258,1725,1577,1279,1310,948,2678,220,12776
SED40021,1821,4432,1709,1726,2334,1520,553,1248,251,15600
SED40022,2557,4590,2297,1813,1977,1418,714,1399,205,16978
SED40023,1505,2520,2947,2428,2120,1826,999,1901,238,16491
SED40024,2422,3394,2712,2220,2373,1698,995,1926,233,17974
SED40025,2099,3352,2059,1937,2480,1540,913,1319,292,15986
SED40026,1887,2358,2796,2244,2376,1803,1413,2194,307,17380
SED40027,1225,1574,2070,1874,1889,1455,1365,2114,263,13824
SED40028,3708,1557,1939,1260,1397,1310,1089,3070,217,15551
SED40029,1642,2175,2538,2042,2151,1728,985,1743,240,15244
SED40030,1619,3241,2663,2460,2556,1815,837,1660,217,17074
SED40031,2198,4258,2224,1795,2641,1826,626,1291,263,17120
SED40032,2360,4127,1764,1929,2420,1554,471,959,237,15815
SED40033,1855,2172,2234,1809,1824,1767,1521,2105,209,15502
SED40034,1178,1520,2265,2072,1845,1627,1638,2315,255,14719
SED40035,1668,3069,2757,2036,2644,1616,929,1373,229,16320
SED40036,1232,2215,2369,2018,2146,1497,1289,1974,276,15002
SED40037,1994,3311,2585,2413,2653,1770,1408,2152,298,18577
SED40038,953,1366,2017,1902,1696,1420,1572,2591,303,13825
SED40039,1053,1476,2335,2082,1825,1544,1040,1911,213,13467
SED40040,2541,2347,2497,1685,1860,1266,1197,2663,211,16258
SED40041,2501,1706,1850,1688,1398,1058,1144,1954,253,13553
SED40042,1778,1460,2569,2295,2206,1834,2175,2862,343,17522
SED40043,1788,4524,2167,2119,2608,1601,901,1808,261,17778
SED40044,2660,6528,1130,1517,2034,1422,238,764,227,16515
SED40045,2350,5706,1482,1715,2135,1375,321,1002,188,16281
SED40046,1842,4168,2144,2148,2487,1633,847,1737,237,17246
SED40047,1871,2913,2522,2089,2958,1929,1013,1528,253,17074
SED49494,54,103,112,53,57,49,85,212,11,734
SED49797,0,3,0,0,0,0,0,0,0,3
SED50106,2012,2556,2552,2101,1783,1623,1102,2014,248,15988
SED50205,2943,5453,1499,1460,2338,1570,374,743,273,16657
SED50302,1307,2023,3348,2373,2510,1876,2438,2450,287,18603
SED50404,2244,4936,2938,1945,2893,1867,994,1745,291,19853
SED50502,1578,3052,3034,2094,2606,1602,1381,1913,303,17559
SED50605,2143,5098,1769,1511,2198,1537,541,1053,193,16040
SED50702,1945,3746,3358,2194,2800,1668,1663,2074,337,19785
SED50806,1440,2600,2778,1644,1788,1547,1326,2152,238,15523
SED50904,3023,4851,7164,4456,4685,3521,2640,3975,589,34902
SED51005,1585,3866,3420,2621,2662,1919,1968,2813,423,21283
SED51104,2606,5229,2097,1572,2412,1518,444,831,249,16968
SED51201,3444,1563,2030,1375,1547,975,1413,1811,230,14381
SED51304,3382,7476,1521,1710,2344,1636,416,1178,276,19957
SED51405,2593,4552,4574,2434,3679,2302,1654,2301,442,24538
SED51506,1706,2490,3579,1842,2018,1658,2016,2178,292,17773
SED51604,3317,7278,1017,1551,1792,1289,234,643,311,17419
SED51702,3451,5342,5818,3117,4603,2797,2879,2585,465,31057
SED51806,1578,2341,3111,1796,1871,1694,1569,1679,257,15891
SED51903,2987,3220,4817,2128,2604,1894,3998,2528,425,24603
SED52002,1827,2686,3891,2135,3251,1874,2425,2151,363,20599
SED52105,2902,6700,2358,2050,2191,1481,675,1181,321,19866
SED52201,1754,2667,2823,1900,2058,1620,1477,1909,300,16509
SED52304,2320,3761,3838,2504,3300,2412,1576,2529,421,22662
SED52402,1286,2290,3275,2053,2618,1799,2008,2328,336,17991
SED52504,2630,4379,2430,1624,2493,1597,568,991,261,16969
SED52605,2544,4911,3136,2036,3251,1837,1156,1617,294,20784
SED52704,1890,3859,3526,2265,2749,1905,968,1676,305,19143
SED52802,1973,3354,2683,1674,2158,1338,1178,1467,251,16076
SED52903,157,254,355,183,124,39,440,192,32,1771
SED53003,1795,2797,1909,2093,1721,880,689,1416,339,13639
SED53104,2035,4051,2651,1777,2845,1669,733,1170,216,17155
SED53205,2292,3879,5464,3458,3706,2762,3060,3359,501,28469
SED53306,1307,2083,3139,2018,1785,1611,1704,1918,278,15843
SED53402,2680,6120,2828,2272,2857,1694,997,1598,309,21356
SED53502,1782,2771,3113,2121,2643,1778,1813,1974,316,18318
SED53602,1541,2375,3258,2555,2452,1948,1801,2929,435,19287
SED53701,3588,1532,2450,1247,1708,948,1663,2354,283,15770
SED53802,1868,3758,2965,2077,2679,1829,1139,1847,314,18472
SED53902,2598,5752,2284,1939,2669,1726,732,1359,277,19324
SED54006,1819,1929,3486,1722,1848,1554,2136,2398,329,17220
SED54104,2886,8583,1071,1618,1999,1316,263,829,257,18812
SED54203,1482,1595,3744,865,1042,461,2285,2146,253,13887
SED54304,3053,4814,3611,2400,3290,2403,871,1556,342,22343
SED54404,4479,10865,3038,2819,3403,1902,700,1788,440,29437
SED54503,2105,3079,6079,1707,2372,1180,4157,2396,524,23599
SED54605,1968,5017,2269,1751,2428,1486,851,1422,258,17448
SED54705,1347,1973,3108,2054,1835,1410,1385,1756,282,15148
SED54804,3028,6709,3049,2188,2784,1736,663,1228,279,21670
SED54905,2984,6704,1819,1793,2524,1527,532,998,266,19141
SED55005,2773,5224,3988,2645,3784,2651,1781,2257,420,25528
SED55102,2940,3853,4099,2507,3386,1962,1843,1958,392,22933
SED55206,2429,2657,3194,1895,1894,1826,1184,2218,242,17545
SED55305,2621,6537,3180,2598,2878,1934,1166,2213,350,23486
SED55401,4383,1548,1909,1157,1372,843,1325,2138,245,14928
SED55504,2505,3889,4330,2578,3542,2242,1529,2190,380,23184
SED55605,2648,3879,5745,3535,3523,2765,2474,2925,521,28022
SED55706,3270,2517,2762,1749,1696,1476,1386,2555,254,17675
SED55802,2666,3860,4954,3387,4129,2940,2701,2917,476,28026
SED55905,1778,4012,2737,1863,2157,1411,1004,1595,263,16820
SED59494,104,235,349,162,114,90,276,386,58,1773
SED59797,11,78,87,3,10,0,35,100,9,334
SED60101,832,469,586,365,385,374,403,686,70,4174
SED60106,1752,3265,1941,1745,2140,1657,854,1348,205,14915
SED60112,1205,2783,1637,1436,1456,1184,584,880,142,11301
SED60115,1109,1690,1733,1718,1384,1513,1179,2002,251,12580
SED60207,1355,1869,1979,1701,1507,1457,1062,1880,214,13022
SED60208,1350,1790,2037,1599,1577,1405,1090,1803,227,12886
SED60209,2002,1674,1854,1447,1388,1161,1261,2318,271,13377
SED60214,13,10,21,13,5,13,12,20,0,101
SED60302,336,462,752,590,764,572,305,570,84,4426
SED60303,1195,2088,2157,2118,2258,1604,1051,1842,305,14623
SED60304,2122,6078,1650,2001,2137,1239,282,886,254,16641
SED60305,40,53,36,17,28,16,6,15,4,219
SED60310,1527,3771,810,1166,1226,823,177,578,165,10227
SED60402,227,264,331,301,364,217,122,155,39,2025
SED60405,2048,3108,2260,1748,2104,1239,746,1687,273,15203
SED60410,553,1170,599,575,738,490,129,416,67,4736
SED60411,1748,3396,1888,1871,2505,1476,574,1223,250,14938
SED60413,1195,1897,1498,1222,1486,978,367,822,152,9617
SED60501,1363,808,1133,868,776,727,625,1222,149,7660
SED60502,852,738,1496,1357,1098,987,968,1507,178,9182
SED60512,525,633,587,439,420,339,318,477,64,3803
SED60513,857,947,1154,940,1038,721,473,881,131,7144
SED60514,2246,1757,2061,1486,1389,1204,1197,1883,277,13501
SED69494,17,49,38,33,27,14,20,54,3,247
SED69797,3,14,9,9,0,0,3,15,0,47
SED70001,113,353,85,254,119,73,45,162,132,1330
SED70002,717,1504,680,1027,856,426,223,473,132,6039
SED70003,196,479,250,341,190,77,156,209,147,2057
SED70004,337,486,280,431,267,118,129,423,118,2581
SED70005,464,605,910,663,771,380,356,400,111,4651
SED70006,641,1330,692,867,739,382,247,422,131,5442
SED70007,487,598,853,659,822,375,327,401,90,4605
SED70008,522,1230,575,645,621,417,236,362,87,4696
SED70009,374,508,513,358,338,146,257,412,99,3011
SED70010,347,523,695,498,610,336,336,441,84,3883
SED70011,698,1221,640,470,632,299,163,335,86,4549
SED70012,768,1139,780,552,652,335,174,339,87,4822
SED70013,706,590,1000,432,699,325,421,524,101,4810
SED70014,398,830,610,470,517,307,200,415,98,3848
SED70015,328,630,577,490,577,325,275,399,67,3679
SED70016,514,769,705,682,548,253,228,375,84,4152
SED70017,387,482,374,587,332,154,128,395,76,2915
SED70018,667,668,1560,739,809,304,508,525,138,5920
SED70019,273,700,356,415,313,145,193,234,83,2702
SED70020,552,1443,542,507,537,308,198,343,74,4500
SED70021,1076,1489,955,795,773,381,180,496,99,6250
SED70022,469,781,673,506,715,347,232,446,106,4285
SED70023,631,786,960,797,791,362,300,357,111,5095
SED70024,194,314,98,347,109,62,68,265,76,1547
SED70025,603,1089,709,580,705,361,237,358,111,4750
SED79494,41,108,104,84,34,32,63,104,15,574
SED79797,0,4,8,0,0,0,0,13,0,28
SED80001,5272,8406,4716,4138,7740,2894,1430,2201,1023,37825
SED80002,5264,11141,4116,4501,6569,2831,1031,2229,955,38651
SED80003,8548,16659,2368,3980,5686,2296,442,1722,1047,42748
SED80004,6280,12803,3293,3710,6206,2301,755,1727,892,37969
SED80005,7388,13644,5129,5331,8427,3623,1025,2465,1202,48238
SED89494,21,57,14,34,28,12,8,20,6,202
SED89797,0,0,0,0,0,0,0,0,0,0
SED99191,340,236,379,298,249,130,160,295,51,2151
SED99494,0,3,0,4,0,0,3,0,0,11
SED99797,0,3,0,0,0,0,0,4,0,6
