SED_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SED25003,19068,19619,38683,748,827,1576,227,228,457,7328,7551,14875,182,192,374,95,85,174,78,73,152,38,28,66,23,20,49,28,28,48,0,0,0,8000,8204,16199,1833,1998,3828,136,140,268,10715,11163,21882,1490,1651,3139,31270,32431,63702
SED25102,17631,17561,35185,1039,1064,2101,143,152,291,5533,5831,11368,120,124,243,42,43,79,62,83,149,35,36,65,16,20,32,19,27,43,3,3,3,5968,6309,12276,500,551,1050,140,141,276,7647,8057,15705,1354,1382,2735,26627,27002,53625
SED25205,17082,18366,35449,1430,1500,2927,197,197,394,6356,6975,13337,167,198,364,54,50,100,70,71,145,40,48,87,18,29,44,23,21,46,0,0,0,6931,7581,14509,1249,1380,2632,127,119,243,9737,10572,20308,1537,1729,3273,28358,30674,59029
SED25302,15982,17340,33319,2211,2503,4720,192,230,420,6459,7242,13696,196,210,407,42,42,88,75,95,168,29,41,67,26,29,58,19,26,43,0,0,0,7038,7916,14955,871,956,1823,116,128,251,10237,11514,21744,1471,1748,3222,27691,30599,58287
SED25402,17595,17950,35540,3896,4376,8274,169,175,349,4058,4584,8641,251,269,517,65,73,136,114,105,220,44,45,86,25,24,50,13,5,15,0,0,0,4728,5283,10018,424,472,892,145,131,276,9194,10269,19458,2654,2843,5499,29439,31065,60503
SED25501,16144,17339,33488,1161,1198,2354,202,202,399,5729,5610,11336,149,138,282,90,106,198,83,98,182,37,41,75,22,18,39,48,28,75,0,0,0,6361,6235,12600,3934,4251,8182,110,98,205,11566,11777,23340,1187,1316,2500,28901,30431,59334
SED25605,17520,18042,35563,1190,1266,2452,155,150,300,5457,5271,10726,139,118,253,62,59,121,47,36,78,30,22,51,15,18,35,20,27,43,0,0,0,5922,5687,11616,2792,2826,5619,141,137,279,10046,9919,19959,1605,1686,3288,29170,29641,58812
SED25704,17434,17503,34938,3501,3707,7203,630,663,1290,3533,3921,7449,272,277,557,83,90,168,112,129,243,35,36,70,58,56,109,9,10,19,0,0,0,4728,5177,9907,424,406,831,136,112,249,8788,9401,18188,2859,2927,5792,29084,29832,58920
SED25802,17308,17831,35137,3437,3686,7123,198,232,429,6175,6859,13033,225,242,475,41,60,101,104,107,214,47,55,100,44,34,75,7,11,19,0,0,0,6850,7600,14449,286,361,648,142,127,270,10719,11767,22489,2495,2596,5086,30521,32197,62715
SED25905,19329,19672,39001,982,1013,1998,136,139,271,6691,6676,13365,116,129,241,58,60,120,60,40,95,20,18,31,14,7,21,15,9,25,3,0,3,7104,7077,14181,1657,1802,3463,168,150,322,9913,10046,19959,1503,1541,3045,30751,31258,62006
