SED_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SED70005,15,11,44,24,28,14,16,8,3,163,0,0,0,0,0,0,0,0,0,7,3,3,8,11,7,0,7,0,3,36,11,7,15,8,18,12,16,5,30,116,329,544,735,427,459,142,172,134,77,3016
SED70006,21,14,50,44,49,18,10,19,5,224,0,0,0,3,0,4,0,0,0,10,8,18,5,15,9,0,4,4,0,62,10,11,7,16,8,4,14,15,13,97,474,1210,523,585,414,146,128,180,84,3735
SED70007,19,8,64,30,32,22,11,21,3,213,0,0,0,0,0,0,0,4,0,4,8,7,6,19,5,3,5,3,0,57,0,9,8,9,13,8,9,5,12,77,345,530,696,458,471,141,149,171,47,3007
SED70008,8,4,54,20,19,8,5,6,0,131,0,0,0,0,0,0,0,3,0,5,8,11,6,17,6,3,0,0,0,63,9,12,12,13,13,5,9,5,21,96,414,1162,432,456,376,161,129,170,63,3362
SED70009,11,7,33,6,12,6,3,16,0,97,0,0,0,0,0,0,0,0,3,4,3,10,4,7,4,0,3,5,0,41,8,18,29,17,15,8,12,18,15,139,232,435,397,216,195,57,107,180,52,1870
SED70010,15,5,51,28,18,14,19,25,6,183,0,0,4,0,0,0,0,3,0,4,3,3,9,6,4,4,4,3,4,41,12,3,19,10,11,8,10,17,11,107,237,474,525,319,331,139,148,191,61,2419
SED70011,17,12,63,28,24,13,10,10,5,174,0,0,0,0,0,0,0,0,0,9,7,11,5,7,7,5,0,3,4,49,14,12,14,11,5,6,3,6,15,84,539,1142,516,339,406,136,84,150,55,3369
SED70012,27,11,76,29,18,12,8,23,3,216,0,3,0,0,0,0,0,0,0,6,13,6,7,9,3,3,3,10,0,52,8,4,12,5,10,9,0,13,12,78,583,1051,629,357,408,145,82,167,54,3482
SED70013,16,4,52,23,31,11,19,22,0,180,0,0,4,0,0,0,0,0,0,5,9,11,5,8,4,0,13,7,0,62,24,15,34,19,17,14,20,24,10,179,441,529,802,301,388,124,201,223,52,3055
SED70014,8,7,48,19,18,7,4,8,3,117,0,3,0,0,0,0,0,3,0,8,9,8,6,8,6,3,0,8,0,45,7,11,28,9,12,9,6,13,14,107,316,768,453,289,298,119,85,174,54,2557
SED70015,6,0,37,16,23,11,9,8,0,108,0,0,0,0,0,0,0,3,0,5,3,10,8,5,4,3,4,0,0,36,13,3,13,13,8,6,6,12,8,80,228,549,428,333,299,107,113,131,44,2232
SED70016,22,7,59,17,23,15,3,16,3,156,0,0,0,0,0,0,0,0,0,6,3,3,18,23,3,0,0,3,3,59,12,7,20,28,24,5,19,22,12,141,363,696,585,445,351,120,98,158,42,2861
SED70017,19,4,69,50,19,14,6,20,0,199,0,0,0,0,0,0,0,0,0,6,3,8,3,9,3,3,3,0,0,29,11,15,9,28,7,8,6,25,8,119,266,402,271,384,191,65,63,184,41,1867
SED70018,19,9,46,28,26,16,22,21,3,181,0,0,6,3,0,0,0,0,3,11,11,3,13,24,3,0,8,5,0,72,13,9,42,17,28,13,13,19,24,179,493,598,1304,428,466,123,240,230,86,3964
SED70019,7,8,7,9,10,7,4,7,0,62,0,3,3,0,0,0,0,0,0,6,9,4,0,11,4,3,8,7,4,45,12,18,14,25,5,5,4,18,6,104,211,555,274,225,183,59,92,78,34,1701
SED70020,17,6,42,17,26,14,5,16,0,136,0,0,0,0,0,0,0,3,0,8,6,18,5,4,6,0,3,0,0,52,5,5,9,12,3,9,10,17,21,82,446,1359,428,354,361,140,102,161,50,3399
SED70021,40,5,126,68,32,16,7,13,0,312,0,0,4,3,0,0,0,3,0,13,16,14,7,20,7,0,3,3,5,72,16,6,13,9,8,9,3,16,15,91,836,1341,791,521,512,210,85,279,57,4634
SED70022,16,9,43,14,33,16,4,12,0,139,0,0,0,0,0,0,0,5,0,7,7,8,5,7,5,0,4,5,5,39,9,6,16,16,12,7,13,22,22,127,357,699,511,342,399,146,109,172,67,2803
SED70023,16,8,48,49,26,10,7,16,3,186,0,0,0,0,0,0,0,0,0,10,12,7,9,22,11,0,3,4,3,73,12,10,17,17,18,8,6,10,17,112,462,712,786,511,465,147,135,176,68,3459
SED70024,8,8,8,3,0,4,0,0,3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,8,6,19,3,21,0,3,0,18,18,91,142,226,61,158,66,26,16,104,30,825
SED70025,20,0,47,26,15,13,3,16,8,154,0,0,3,0,0,0,0,0,0,3,7,11,3,17,7,0,4,6,4,57,7,4,16,15,12,7,3,12,16,90,449,995,545,383,409,159,96,129,80,3242
SED79494,0,0,9,4,0,0,4,7,0,24,0,0,18,3,0,0,0,0,0,20,0,0,3,0,0,0,0,3,0,9,0,0,4,0,0,0,0,3,0,11,28,102,85,54,22,12,31,54,4,387
SED79797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,7,0,18
SED80001,127,59,393,149,257,93,52,78,19,1234,3,3,4,0,0,3,0,6,0,25,71,75,31,55,70,11,26,13,17,366,58,44,76,58,80,34,28,41,89,505,3919,7333,3385,2582,4464,912,568,744,623,24521
SED80002,122,44,420,188,169,93,30,60,25,1138,3,4,4,0,0,0,0,7,0,21,77,105,25,60,104,11,18,26,25,453,39,75,56,53,68,22,20,46,80,455,4316,10122,2999,2880,4373,1132,507,921,671,27926
SED80003,123,49,293,129,84,53,3,48,8,787,3,3,0,7,6,0,0,5,0,33,177,224,23,64,110,25,8,14,24,668,67,110,42,30,64,21,10,28,99,471,7035,15396,1754,2157,4185,1016,203,819,831,33384
SED80004,102,35,366,130,140,55,18,50,17,911,4,7,0,0,0,0,0,3,0,17,130,135,29,48,96,27,5,12,31,512,56,73,50,50,54,20,9,28,72,422,5330,11849,2467,2361,4238,872,325,764,630,28841
SED80005,186,54,557,215,262,115,42,86,18,1545,0,3,0,5,3,5,0,3,0,18,131,135,31,80,119,25,16,26,44,614,53,78,62,79,83,45,24,37,78,550,6022,12383,3729,3516,5756,1507,492,997,825,35230
SED89494,0,0,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,11,47,11,21,29,7,3,8,9,139
SED89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED99191,11,0,33,14,12,8,10,7,0,89,0,0,0,0,0,0,0,0,0,5,3,0,11,4,3,0,4,0,0,18,7,5,14,13,9,4,10,13,4,90,241,214,278,195,150,48,64,111,29,1335
SED99494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,8
SED99797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,4
