SED_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SED30070,167,724,253,352,38,1720,151,96,647,553,717,59,2230,5,6,41,42,84,12,187,14,5,60,120,529,16,748,21,5,83,99,327,87,621,695,472,3062,2865,7289,612,14999
SED30071,151,649,180,314,32,1497,197,135,945,489,768,81,2612,3,0,13,14,45,5,88,5,7,55,61,479,33,640,5,7,29,31,191,67,329,556,442,2707,1636,6336,539,12218
SED30072,175,781,220,267,31,1727,239,154,1139,583,703,82,2893,18,7,66,52,94,13,252,24,12,93,124,386,21,655,36,9,98,83,248,74,541,1230,687,4832,3055,5935,560,16290
SED30073,335,1228,193,151,36,3047,715,230,2012,417,326,88,3792,70,39,245,86,85,7,529,51,26,212,130,232,19,674,100,18,278,102,186,88,777,4148,1332,10614,3062,3986,642,23791
SED30074,155,657,206,291,40,1443,78,54,452,387,646,53,1675,0,5,7,19,40,3,81,3,3,35,53,444,17,557,5,3,52,43,200,106,414,351,300,2263,1807,5763,700,11188
SED30075,159,765,259,237,30,1859,388,143,1115,597,677,91,3004,33,7,148,110,190,14,502,26,6,103,137,419,24,709,35,3,145,97,289,108,677,1584,500,4679,3088,6304,712,16877
SED30076,224,1004,278,384,51,2255,208,149,891,529,575,84,2439,10,10,64,42,57,5,183,27,12,131,144,482,25,823,30,3,110,89,317,93,643,1175,636,4590,3055,6682,618,16750
SED30077,243,977,212,199,20,2124,475,250,1790,453,480,82,3539,24,10,127,41,71,11,286,46,19,123,122,331,18,650,39,17,164,70,142,85,517,2118,1064,7634,2626,4538,482,18458
SED30078,173,771,224,205,31,1902,492,156,1496,514,456,103,3218,24,3,72,39,47,8,186,84,6,163,136,291,25,711,135,9,242,128,220,104,841,3361,666,7337,2946,4080,702,19092
SED30079,159,619,158,211,32,1642,346,89,1142,407,442,79,2504,19,6,70,29,44,4,171,48,8,161,118,322,35,698,96,13,219,109,215,123,764,2592,539,5735,2376,3906,675,15818
SED30080,142,658,241,211,37,1593,365,131,1110,470,443,105,2621,45,7,175,117,201,29,572,23,11,97,153,426,30,741,50,17,218,136,295,127,840,1599,580,5785,3625,5906,928,18420
SED30081,105,726,231,429,33,1668,126,138,830,550,829,84,2560,8,3,38,24,71,8,152,3,4,53,104,516,17,709,7,5,53,38,231,72,404,458,398,2846,2285,7722,491,14202
