SED_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SED10001,290,1157,385,408,59,2618,273,235,1317,782,1173,142,3921,11,9,36,29,94,14,184,23,11,69,136,738,41,1012,23,8,91,81,378,117,695,1056,842,5011,3664,10639,1053,22259
SED10002,111,720,198,192,30,1778,552,145,1744,667,583,124,3814,30,6,126,51,60,18,294,97,17,234,189,348,29,919,177,26,535,299,341,308,1677,4156,681,10456,4619,5114,1386,26414
SED10003,329,1353,396,360,68,2967,453,228,1558,812,1040,160,4251,29,15,159,80,105,10,398,15,12,123,145,556,19,862,47,29,240,165,331,123,932,1553,920,6461,3699,8197,999,21827
SED10004,342,1514,297,178,72,4137,1065,234,1875,422,313,94,4003,187,42,484,147,130,23,1011,123,37,316,159,293,35,965,200,36,563,182,161,130,1282,7934,1821,16462,4453,4184,890,35741
SED10005,84,669,223,208,33,1578,245,94,952,607,619,101,2613,14,7,59,43,81,12,207,33,12,127,163,501,47,886,59,17,242,188,378,222,1108,1673,396,5676,3451,5613,1013,17831
SED10006,174,1084,302,418,82,2267,144,117,762,642,1020,161,2849,7,0,23,15,70,7,131,16,10,44,55,605,31,757,7,7,56,60,306,146,588,591,488,3524,2681,8873,1296,17458
SED10007,258,1199,363,480,66,2730,213,178,983,672,1070,118,3230,17,4,51,47,106,10,241,17,6,75,110,654,22,879,15,10,75,91,405,120,713,1009,732,4493,3201,10597,1006,21029
SED10008,269,1520,356,265,56,3192,779,202,1828,676,547,140,4179,28,3,112,45,78,8,268,116,32,250,196,463,42,1092,187,36,388,184,290,117,1198,5200,1114,11825,4802,6114,1010,30071
SED10009,255,732,252,281,39,1750,223,164,963,624,1089,118,3180,17,8,65,45,136,8,287,23,3,49,71,572,22,740,19,4,66,65,276,113,537,748,671,3404,2615,8522,914,16881
SED10010,110,751,228,263,49,1828,461,135,1743,748,1010,164,4262,16,3,70,46,80,7,231,70,17,168,164,593,43,1055,104,16,299,219,463,218,1322,3119,587,8323,4492,8073,1259,25853
SED10011,462,1861,514,431,68,4435,556,303,1504,843,892,123,4214,69,33,156,104,176,15,554,57,21,130,125,534,21,892,69,14,156,112,288,90,728,2783,1290,7052,4376,8218,802,24522
SED10012,53,513,161,174,43,1139,126,46,739,444,591,103,2048,0,4,48,39,51,9,155,8,0,93,180,554,45,884,37,4,204,163,379,189,977,752,225,4711,3059,5578,932,15252
SED10013,270,1629,449,485,64,3554,309,190,1208,817,905,122,3552,14,7,72,70,137,18,320,16,10,104,187,1003,54,1382,44,15,186,174,611,174,1197,1697,773,6450,5444,12771,1196,28328
SED10014,137,748,282,429,58,2003,212,115,1013,695,1056,164,3260,10,4,46,57,103,7,223,21,11,80,109,598,40,856,24,5,109,119,472,173,903,1148,458,4159,3585,9188,1127,19679
SED10015,181,1078,287,234,59,2501,504,144,1447,622,679,131,3525,43,10,150,69,103,21,406,71,22,235,197,586,46,1151,113,9,373,262,360,244,1361,3401,784,9240,4827,6584,1275,26105
SED10016,243,1592,369,273,77,3227,623,203,1691,690,572,141,3917,30,10,103,75,92,19,322,79,16,219,178,666,32,1192,134,14,385,231,331,133,1235,4046,1020,10923,5234,7350,1096,29679
SED10017,104,625,193,400,36,1500,139,108,796,741,1360,135,3274,5,3,21,33,101,15,177,18,5,49,113,998,29,1213,11,3,51,76,438,115,694,603,370,2874,2884,11636,906,19275
SED10018,245,1366,346,362,54,2875,516,245,1845,861,1149,155,4768,14,10,70,43,98,11,236,26,11,104,126,604,20,885,30,16,107,88,323,101,672,1782,864,6789,3862,8744,752,22792
SED10019,131,767,313,379,49,1769,143,108,772,630,1349,136,3146,5,3,23,35,94,22,188,16,8,51,94,581,21,762,3,6,28,46,312,108,506,508,402,2844,2353,8831,978,15919
SED10020,196,1123,360,380,53,2350,313,184,1446,844,1293,147,4217,15,5,44,50,123,9,247,15,9,85,116,621,36,885,16,4,84,87,355,99,645,904,641,4786,3438,8988,857,19609
SED10021,317,1541,298,195,69,3967,1096,271,2520,607,363,129,4985,128,34,436,151,165,27,945,99,21,311,201,361,39,1035,217,40,564,174,193,135,1314,7086,1597,17277,4641,5088,1130,36814
SED10022,186,948,300,344,62,1992,92,69,636,578,983,109,2465,0,4,20,11,94,7,137,7,0,47,88,621,20,791,10,3,58,49,301,146,564,436,409,3241,2550,9065,1175,16879
SED10023,282,1509,413,312,83,3123,483,191,1350,676,567,146,3411,29,9,157,112,170,25,497,48,16,160,198,690,28,1144,65,15,260,233,410,143,1131,2416,996,8456,5503,9420,1101,27894
SED10024,259,1265,325,159,61,2881,896,194,1774,457,310,135,3761,61,12,148,55,54,21,353,113,20,244,145,373,35,926,211,33,479,171,193,112,1201,5953,1272,12747,3921,3685,918,28500
SED10025,286,1399,301,250,65,3167,780,194,1754,484,380,123,3715,67,20,183,96,104,19,491,102,13,230,180,493,31,1060,194,27,430,194,238,139,1224,5749,1275,12928,4681,5624,1093,31352
SED10026,248,1199,309,482,51,2521,221,166,1145,787,1176,139,3641,9,10,53,30,175,10,290,15,4,84,112,897,42,1160,15,5,66,57,335,119,590,892,672,4721,3192,10787,1120,21381
SED10027,152,1035,312,336,85,2401,300,100,1032,571,631,121,2759,19,7,82,49,106,10,277,45,12,140,176,625,40,1044,55,10,201,156,389,157,965,2007,570,6646,4130,7705,1057,22118
SED10028,270,1458,343,229,66,3419,855,235,1975,587,447,121,4219,43,12,115,50,50,8,276,139,37,259,137,267,25,864,239,41,475,145,160,117,1183,6800,1373,13027,3863,3898,923,29876
SED10029,43,434,169,183,46,1108,165,51,698,531,616,96,2160,5,0,47,36,51,10,148,22,6,101,174,461,39,803,28,5,203,153,394,199,988,938,219,4476,3070,5450,1006,15159
SED10030,149,796,289,308,49,1920,307,161,1303,822,1337,160,4096,11,8,82,49,130,14,299,39,22,97,157,654,40,999,43,7,118,113,346,149,775,1352,592,4926,3857,9068,1015,20812
SED10031,237,988,374,387,48,2393,251,151,955,742,1134,135,3362,22,14,76,53,112,20,291,30,21,85,129,713,35,1004,33,17,108,112,383,112,763,1537,868,4965,3819,10098,1096,22380
SED10032,92,756,192,193,55,1740,495,139,1500,714,754,160,3752,24,7,73,53,77,12,232,63,16,181,184,461,41,942,154,14,307,219,381,250,1321,3624,560,8363,4251,6137,1340,24284
SED10033,221,1070,397,465,64,2725,217,131,889,645,885,81,2837,13,7,52,60,204,24,361,19,14,94,168,1009,35,1337,36,7,104,128,611,159,1039,1270,607,4560,4192,12127,1010,23766
SED10034,318,1652,511,431,77,3663,442,190,1430,800,876,131,3867,32,12,127,80,167,14,433,36,26,144,182,824,36,1246,59,17,174,127,448,111,930,2444,1018,7898,5361,10795,1018,28542
SED10035,252,1563,294,234,58,3976,895,246,2102,562,458,138,4398,144,36,433,139,174,18,935,122,21,341,208,518,53,1262,281,37,628,202,272,182,1605,8186,1516,17913,5711,6604,1202,41127
SED10036,152,1121,301,332,60,2474,379,146,1270,751,830,132,3512,6,4,61,64,120,19,275,31,15,103,169,679,21,1019,71,11,226,194,471,187,1159,2105,574,7001,4726,8893,1118,24424
SED10037,349,1657,410,347,62,3775,662,254,1886,860,812,161,4640,56,16,166,88,86,16,430,87,27,246,157,593,28,1142,150,28,352,178,294,123,1131,4821,1354,11256,4962,6981,1002,30369
SED10038,466,1856,457,466,74,4485,601,224,1580,822,954,138,4316,40,19,103,67,111,13,353,48,11,149,149,664,24,1038,59,12,144,90,310,100,709,3017,1150,7508,4255,8781,814,25524
SED10039,325,1117,344,440,54,2629,321,188,1153,788,1221,156,3831,14,9,67,60,121,13,281,21,13,77,114,683,18,928,19,10,92,78,335,102,640,1251,794,4680,3708,9960,869,21270
SED10040,145,939,224,190,50,2161,647,159,1950,729,641,147,4267,40,7,121,80,96,16,357,96,10,221,173,432,40,979,237,18,487,189,274,230,1441,5289,761,11570,5050,5724,1316,29707
SED10041,308,1414,310,172,66,3237,964,253,2178,551,346,128,4413,51,18,184,48,52,13,363,121,30,314,129,238,26,848,258,25,505,145,159,87,1191,6917,1468,14045,3635,3234,882,30185
SED10042,165,979,310,414,42,2254,261,164,1148,852,1349,144,3921,3,0,35,36,106,6,200,33,16,91,124,675,28,969,32,4,69,87,363,98,658,1076,561,4092,3427,9654,788,19598
SED10043,99,691,226,174,62,1676,289,76,946,604,577,128,2622,16,0,58,43,60,10,179,55,11,156,146,494,45,913,127,9,313,173,353,212,1197,2793,430,6723,3628,5226,1202,20002
SED10044,267,1411,294,197,57,3176,1027,257,2236,569,391,148,4631,68,29,217,97,106,14,531,138,28,272,163,371,30,1009,233,36,492,176,217,125,1272,6819,1476,14979,4535,4646,1015,33470
SED10045,296,1205,339,445,54,2646,287,195,1376,856,1339,144,4199,12,5,73,37,96,15,243,16,9,72,99,624,28,850,27,12,86,89,343,124,681,933,743,4698,2976,8865,948,19172
SED10046,62,658,229,252,48,1614,296,99,1173,738,846,144,3297,11,0,53,45,80,10,196,25,3,105,153,551,40,878,48,11,188,203,492,262,1202,1416,342,5355,4006,7429,1226,19767
SED10047,89,626,250,375,55,1742,217,99,900,721,1165,139,3239,8,0,54,53,125,14,252,29,7,70,134,726,21,984,43,5,133,136,630,251,1202,1432,386,4309,3626,10581,1302,21636
SED10048,150,853,310,330,65,2197,407,106,1324,829,1007,147,3824,24,0,49,39,100,16,239,34,6,124,120,634,34,957,84,10,220,178,474,202,1175,2748,561,6627,4336,9079,1273,24620
SED10049,212,1019,304,378,37,2238,231,142,1156,803,1326,152,3798,4,5,28,27,85,14,168,20,9,74,175,885,33,1198,14,10,63,97,411,101,697,1006,603,4427,3824,11690,819,22370
SED10050,267,1458,338,234,59,3048,616,246,1675,560,438,126,3662,84,23,326,98,107,19,656,83,23,283,169,449,15,1031,187,44,524,210,313,123,1398,5285,1487,15044,5235,5919,1094,34072
SED10051,200,1308,326,294,79,3163,664,182,1573,597,549,146,3709,38,3,183,107,148,29,507,76,18,220,195,545,42,1091,136,21,352,167,276,160,1107,4232,905,9845,4370,6706,1150,27207
SED10052,245,1327,409,280,62,2853,418,188,1363,696,651,134,3443,28,13,113,72,141,20,382,45,15,159,187,700,36,1141,63,12,234,176,373,112,977,2513,874,8172,5036,8532,965,26095
SED10053,253,1003,311,417,43,2392,263,195,975,591,730,107,2850,43,30,176,95,265,16,625,29,21,125,145,669,36,1023,58,20,105,96,402,147,834,2561,1211,6487,4559,10122,1079,26019
SED10054,99,580,209,262,46,1535,246,83,1474,750,1080,149,3783,3,3,55,42,87,11,200,17,5,147,111,566,36,885,47,10,233,180,455,224,1151,1725,388,6614,3971,8276,1241,22210
SED10055,141,1086,355,432,60,2550,268,136,1113,676,881,136,3221,7,0,55,69,121,5,261,21,6,122,182,952,28,1312,31,4,165,168,536,137,1045,1560,542,6116,4785,11351,1168,25522
SED10056,229,1126,300,402,75,2291,133,126,806,673,986,136,2856,4,6,30,37,87,12,166,6,6,53,96,741,50,947,19,13,52,85,391,177,745,629,559,4199,3141,10592,1483,20603
SED10057,185,752,291,307,48,1740,194,131,886,758,1391,177,3529,4,0,31,35,90,7,175,7,8,40,98,559,22,731,10,4,40,49,296,86,490,542,455,2739,2501,8108,946,15288
SED10058,247,1633,312,299,41,3387,798,285,2621,809,967,143,5619,23,14,122,56,91,10,329,42,11,158,148,524,33,914,45,11,196,91,240,93,675,2935,1006,9417,3803,7734,709,25609
SED10059,292,1767,272,176,44,4372,1031,229,1985,393,317,75,4035,217,64,644,181,136,26,1256,144,51,442,180,337,30,1175,199,36,618,186,198,148,1390,7873,1780,18245,4590,4460,919,37868
SED10060,224,1192,211,127,54,2824,962,235,1832,415,244,143,3834,141,36,329,81,84,15,683,107,28,309,156,225,15,846,292,45,657,181,125,121,1419,8401,1695,17962,4335,3254,1059,36710
SED10061,322,1464,442,531,84,3681,227,138,919,674,1094,145,3200,7,3,33,21,67,3,139,21,10,86,69,629,27,840,16,12,70,54,291,172,616,1586,739,4695,3077,8892,1222,20207
SED10062,222,1275,327,262,56,2741,532,166,1569,593,600,143,3606,35,7,116,74,100,14,341,81,21,182,153,519,21,977,109,10,322,174,280,141,1039,3512,878,9712,4356,6300,1029,25794
SED10063,202,1263,371,506,53,2694,359,217,1414,866,1285,181,4319,4,0,40,31,72,13,157,16,14,74,111,750,22,978,14,3,74,63,345,131,631,1199,712,5255,3431,10397,1114,22110
SED10064,207,871,324,426,61,2060,175,116,900,713,1344,124,3371,7,5,43,30,88,8,171,17,8,34,75,570,31,734,9,13,48,55,298,121,546,566,504,3115,2527,8645,952,16316
SED10065,182,1204,317,261,49,2888,770,201,2121,775,702,169,4740,40,8,143,75,113,20,403,137,33,286,182,480,49,1161,302,36,614,244,322,176,1693,7388,1117,14511,5401,6446,1336,36200
SED10066,209,1205,386,404,49,2904,303,165,1097,699,1041,127,3434,16,11,76,46,154,14,315,32,6,98,145,721,25,1026,40,17,113,151,503,134,963,1813,686,5281,4095,10660,904,23445
SED10067,270,1328,389,282,71,2842,422,179,1231,741,534,151,3256,39,8,172,105,158,26,517,49,14,193,181,640,49,1123,106,25,385,261,350,135,1260,2607,941,8748,5095,7835,1054,26286
SED10068,220,1062,357,395,50,2348,304,157,1310,845,1298,153,4073,11,3,28,38,102,9,198,16,3,65,114,618,29,849,13,12,63,62,253,84,485,932,584,4169,3268,8735,838,18520
SED10069,126,658,283,325,33,1604,143,85,753,656,1103,131,2865,3,4,40,37,107,13,205,15,14,59,119,707,22,931,18,5,62,80,357,113,641,718,389,3105,3194,9858,837,18104
SED10070,131,830,257,307,71,2023,376,91,1248,611,704,148,3181,16,0,77,56,85,11,241,61,7,151,161,591,45,1012,110,14,260,185,399,155,1124,2758,536,7124,4053,7013,1197,22663
SED10071,209,1402,306,332,66,3023,633,173,1903,835,843,161,4548,24,6,70,65,110,25,297,60,24,241,217,702,35,1286,139,24,376,203,405,146,1293,4638,986,11359,5532,8668,1192,32374
SED10072,160,972,264,212,58,2285,526,150,1641,665,615,144,3744,44,18,144,102,105,19,431,69,18,239,221,581,51,1169,160,19,412,220,354,225,1385,4335,824,11032,5339,6741,1433,29705
SED10073,237,1371,331,277,65,3371,829,262,2038,663,586,145,4523,68,7,146,66,78,16,376,151,29,313,197,473,42,1203,303,25,586,189,236,175,1514,7770,1222,14886,4730,5502,1149,35265
SED10074,223,1213,306,307,65,2809,782,226,1961,741,829,173,4722,36,5,92,56,91,20,299,94,23,202,170,557,30,1070,170,13,322,199,385,180,1279,4731,957,10150,4510,7374,1211,28936
SED10075,237,854,340,480,46,2251,250,149,989,1024,1680,143,4234,5,3,35,39,104,14,200,17,11,78,139,879,35,1155,13,7,63,90,464,121,753,921,568,3821,4036,11848,1005,22189
SED10076,207,630,262,302,36,1627,161,114,738,593,1122,116,2849,10,5,46,29,101,23,222,11,11,50,78,563,31,745,22,5,61,54,326,124,595,670,547,2769,2642,8641,821,16089
SED10077,199,1213,226,193,47,2744,967,186,2445,695,565,155,5006,53,11,181,73,70,10,402,127,21,322,169,344,45,1034,271,35,590,221,256,225,1592,6752,1068,14832,4755,5017,1341,33769
SED10078,388,1686,279,220,52,4086,915,257,1922,587,523,139,4351,128,42,374,119,115,22,801,126,39,335,162,392,21,1081,129,28,405,181,238,158,1140,5988,1645,13820,4647,5312,1041,32449
SED10079,139,930,320,370,42,2017,176,150,967,729,1305,139,3470,3,3,45,33,104,11,205,14,3,51,93,743,21,935,13,5,64,66,363,113,619,725,461,3579,3083,9947,816,18609
SED10080,199,1078,199,112,42,2758,928,181,1915,448,250,123,3841,209,43,595,205,143,46,1246,120,19,375,199,355,45,1113,307,36,866,298,181,275,1963,9554,1717,22501,6239,4520,1558,46088
SED10081,226,1119,390,454,76,2482,242,174,1178,867,1239,156,3855,5,0,23,26,98,11,165,18,10,55,100,811,40,1031,13,8,67,79,411,138,714,816,618,4375,3399,10467,1284,20966
SED10082,257,1467,377,359,62,2959,471,268,1758,840,968,156,4457,18,10,88,70,110,16,315,35,15,111,171,632,25,996,38,13,147,125,356,94,778,1674,852,6597,4295,8923,891,23234
SED10083,179,1099,300,332,48,2237,224,151,1165,811,1397,144,3889,5,7,45,61,126,7,256,22,9,77,158,762,23,1055,8,9,84,105,375,129,712,915,541,4405,3765,10037,954,20611
SED10084,237,1046,317,369,55,2286,286,175,1211,847,1268,146,3932,9,5,66,67,147,13,304,4,6,78,150,582,31,854,13,12,128,109,399,127,785,910,653,4437,3508,9069,897,19477
SED10085,158,823,287,404,49,1879,107,80,616,558,868,104,2325,3,3,32,31,92,8,177,7,7,36,106,777,30,965,3,3,74,78,381,110,651,630,470,3450,3099,11615,1043,20320
SED10086,221,1239,280,135,76,2744,1011,197,1873,414,227,150,3877,94,31,443,125,107,34,840,87,19,297,177,327,40,949,228,39,808,247,204,190,1718,6318,1339,17376,4327,3704,1274,34342
SED10087,251,1362,398,561,62,3128,318,196,1575,824,1300,137,4357,12,4,54,29,97,3,197,20,8,73,109,779,33,1016,13,7,79,73,411,115,692,1259,750,5596,3384,11111,977,23076
SED10088,235,1263,360,306,75,2756,452,201,1467,759,779,158,3815,40,18,164,89,128,12,457,58,21,209,215,704,38,1246,98,20,357,242,430,158,1312,3120,1021,10154,5473,8409,1166,29343
SED10089,207,1192,352,394,49,2819,477,223,2016,919,1459,180,5270,12,3,54,31,110,10,221,28,16,145,108,770,36,1102,19,8,104,73,298,112,626,1915,707,6431,3737,9778,855,23434
SED10090,229,1232,252,146,44,2817,868,234,1944,485,301,103,3932,88,25,239,84,79,10,523,123,26,290,167,303,35,938,223,41,556,203,151,132,1305,7466,1596,16735,4371,3514,943,34632
SED10091,240,1097,416,478,70,2795,282,150,926,744,911,135,3146,20,13,64,42,120,9,264,20,12,74,125,900,34,1171,38,11,109,127,549,117,954,1407,674,4536,3934,11306,1076,22931
SED10092,341,1325,324,390,50,3219,487,208,1459,805,1112,163,4235,23,5,94,47,96,9,274,46,8,116,154,643,44,1014,39,11,158,102,359,140,799,2300,848,6463,3787,8905,947,23245
SED10093,115,741,247,344,39,1662,162,134,905,813,1467,169,3644,10,4,39,46,144,12,252,6,9,66,123,739,34,976,16,6,72,85,424,122,729,646,432,3243,3439,10261,972,18996
SED19494,16,57,27,19,5,154,20,10,95,37,53,13,230,10,0,26,14,23,0,77,3,0,14,14,45,4,80,8,3,34,14,52,40,143,205,68,678,299,770,146,2162
SED19797,0,3,0,0,0,9,0,0,0,3,8,0,15,0,0,0,0,0,0,3,0,0,0,0,4,0,3,0,0,3,0,5,0,7,3,0,16,7,42,3,74
SED20106,342,1077,237,125,46,2760,853,281,1585,348,205,98,3377,159,64,572,231,190,27,1239,109,37,293,170,318,30,951,186,38,550,178,190,152,1286,6555,1929,15552,4437,4316,960,33741
SED20207,317,1071,316,252,39,2599,475,276,1427,736,684,123,3721,51,18,196,121,157,26,575,66,30,172,205,530,40,1047,139,30,326,208,407,169,1272,4368,1320,9992,5375,7957,1169,30188
SED20302,275,830,263,284,35,1890,199,177,892,694,978,151,3099,16,14,106,113,175,21,445,9,8,76,140,639,32,898,37,13,88,115,388,133,771,908,712,3920,3607,9268,1037,19451
SED20401,320,903,330,267,57,2247,243,253,1097,716,861,96,3264,14,12,110,98,101,12,352,56,25,133,185,568,30,999,40,13,169,146,366,121,857,1655,962,5743,3950,7607,770,20689
SED20508,293,931,341,242,46,2190,279,282,1114,643,907,126,3353,14,19,79,59,113,13,291,19,16,77,114,458,19,705,26,15,97,84,264,67,558,1094,930,4493,3176,7074,677,17441
SED20604,330,803,298,329,48,2104,259,260,1083,829,1075,122,3628,9,8,47,38,77,11,198,16,5,47,113,602,23,813,13,8,79,74,327,131,631,910,925,3971,3598,9202,924,19524
SED20704,400,1097,305,301,41,2443,369,366,1390,730,1074,139,4066,14,15,70,52,118,14,282,28,19,72,130,529,26,802,14,7,83,56,274,87,517,1078,1134,5025,2962,8065,759,19019
SED20804,329,764,231,249,42,1907,347,324,1139,689,921,122,3543,22,19,69,36,76,13,233,24,15,74,88,511,27,739,25,16,71,70,274,101,560,1076,995,4043,2585,7233,781,16717
SED20906,359,1073,271,191,42,2573,453,220,1241,580,439,98,3036,39,17,173,82,79,11,407,43,29,184,142,350,27,780,94,17,257,145,175,99,787,3129,1299,8775,3572,4170,707,21646
SED21001,417,1241,247,163,45,2981,724,368,1951,548,378,116,4088,57,33,187,62,56,12,401,96,45,237,163,276,33,851,125,35,341,129,154,82,861,4517,1693,10736,3463,3486,700,24595
SED21106,355,1085,255,134,49,2646,685,274,1613,391,237,103,3302,82,33,289,109,91,14,617,56,35,198,123,259,19,684,155,44,426,164,155,103,1043,4178,1618,11417,3414,3261,717,24605
SED21203,158,482,197,185,52,1320,161,83,580,521,591,95,2018,19,0,47,26,52,3,139,25,3,77,123,314,27,577,59,12,166,125,265,160,785,1228,399,3575,2531,4412,830,12975
SED21303,737,1815,283,175,63,4780,1001,457,1934,457,369,82,4299,176,60,607,128,121,28,1116,150,48,333,151,302,34,1029,143,45,393,128,162,138,1000,6136,2398,14074,3735,4323,754,31421
SED21401,264,846,211,150,34,2045,500,229,1330,393,347,125,2929,26,10,122,52,65,13,291,75,20,182,118,334,24,757,111,16,331,127,140,106,827,3078,1017,8243,2998,3599,799,19734
SED21503,291,951,264,211,43,2289,362,243,1261,596,680,110,3252,23,11,100,58,96,4,289,56,15,132,140,422,29,801,88,19,214,100,236,123,780,2320,947,6420,3362,5452,754,19250
SED21608,326,888,322,345,39,2294,241,272,1027,639,856,114,3155,21,9,100,56,123,11,311,10,19,67,85,475,26,682,22,14,79,73,323,83,591,1045,916,4020,2838,7523,762,17107
SED21706,413,1213,262,133,52,2907,622,305,1706,507,346,98,3582,65,17,192,60,64,8,406,93,30,171,129,239,15,681,139,29,373,126,140,94,906,4433,1656,10540,3233,3211,578,23649
SED21805,267,793,370,301,44,2048,226,196,997,811,1028,116,3373,17,8,94,70,125,8,318,23,11,94,167,666,44,993,46,10,155,146,509,158,1027,1135,791,4895,4328,9301,942,21400
SED21906,443,1328,329,166,62,3244,813,306,1962,467,311,122,3981,80,40,265,98,86,19,591,81,25,248,175,299,31,857,165,39,454,152,160,105,1078,4766,1726,12534,3549,3407,852,26833
SED22005,202,787,230,150,48,1995,382,166,1320,593,598,125,3184,25,3,103,68,88,9,296,58,22,171,232,424,45,949,125,11,315,217,296,157,1125,3157,819,7886,3877,4988,944,21670
SED22105,214,797,346,310,52,2024,361,241,1542,1256,1433,185,5012,13,3,67,94,167,22,362,37,9,132,259,852,49,1336,94,17,213,251,648,260,1473,2237,800,6749,6121,11747,1350,29004
SED22201,334,1020,299,262,43,2347,261,232,1031,673,824,101,3123,15,21,85,46,96,7,260,41,24,122,182,535,24,935,48,14,136,103,314,108,721,1543,1036,5534,3606,7045,682,19444
SED22305,112,388,189,154,34,1070,181,112,902,643,813,128,2778,18,8,33,44,56,9,167,32,7,96,159,435,37,769,66,15,209,220,395,231,1138,1354,430,4503,3613,5739,1035,16673
SED22404,323,737,337,324,61,2010,160,155,675,617,682,103,2389,38,15,90,76,113,20,352,19,13,73,117,627,43,890,15,12,117,114,430,151,840,766,745,3518,3137,8146,996,17304
SED22501,518,1370,366,250,38,3195,470,320,1396,624,569,100,3467,38,28,162,86,98,14,429,51,32,138,154,437,26,840,49,19,210,117,246,70,708,2365,1536,7577,3777,6090,641,21979
SED22607,499,1353,290,190,55,3295,652,336,1678,468,374,99,3615,68,39,317,96,129,13,664,71,35,214,128,288,23,758,104,29,291,115,187,111,838,3949,1820,11171,3671,4634,735,25980
SED22704,270,680,246,270,36,1675,126,151,658,674,809,125,2552,7,9,45,65,149,17,287,19,4,45,95,546,40,743,14,15,63,84,347,137,660,605,644,2949,3131,8395,1057,16792
SED22802,270,795,324,309,43,1940,142,181,737,731,846,103,2745,3,3,73,68,99,9,256,36,18,91,144,757,29,1066,8,10,109,114,464,126,830,766,713,3867,3627,8897,766,18633
SED22901,256,853,268,235,28,2027,260,204,1107,643,666,93,2972,18,3,80,65,59,7,236,56,20,135,150,459,24,847,68,20,215,122,305,105,830,1951,842,6250,3414,6029,668,19150
SED23007,391,1086,279,197,34,2637,527,277,1405,537,527,102,3359,60,28,264,122,155,19,654,68,27,232,200,381,39,941,114,25,385,207,266,187,1192,3631,1345,10160,4322,5303,999,25755
SED23101,285,999,256,198,43,2428,415,218,1279,529,422,86,2946,31,15,100,51,48,3,252,94,25,181,135,310,19,768,113,15,263,118,179,71,756,3267,1050,7890,3069,3557,552,19383
SED23205,281,809,307,290,32,1990,241,199,1052,747,943,132,3307,8,8,70,73,112,14,290,22,10,68,120,471,37,731,29,17,136,134,384,121,827,1011,779,4213,3559,7354,789,17700
SED23308,387,1180,368,333,43,2810,470,381,1755,697,888,127,4315,19,18,111,56,113,13,332,30,20,101,144,481,26,808,26,9,147,93,262,104,642,1781,1227,6575,3432,6909,725,20646
SED23402,343,1030,394,371,40,2536,243,198,970,733,846,104,3093,7,10,87,79,117,11,322,26,9,92,153,693,30,1004,32,22,157,151,466,117,949,1284,913,4998,4346,9632,851,22014
SED23502,239,698,212,345,51,1671,134,195,696,606,875,116,2629,8,7,51,45,90,5,204,6,7,37,86,498,28,665,8,3,58,85,308,117,578,461,618,2610,2416,7495,910,14513
SED23602,232,647,231,241,27,1507,178,189,735,530,736,117,2482,8,4,40,31,79,16,185,3,5,45,76,455,17,599,7,4,56,71,303,106,555,546,649,2944,2484,7329,848,14791
SED23702,274,827,359,397,54,2093,130,187,768,787,1209,158,3232,3,9,54,72,177,21,331,10,13,85,158,782,39,1093,15,13,93,122,514,140,902,539,687,3454,3964,11479,1009,21136
SED23806,426,1287,201,113,43,3190,1057,356,2020,372,204,112,4125,73,35,260,79,70,15,533,76,35,225,101,207,7,655,167,44,410,103,108,85,920,5923,1933,13287,2995,2593,645,27368
SED23901,490,1233,269,199,41,3184,829,386,1829,531,484,122,4178,35,30,199,73,86,14,440,64,35,163,110,295,23,688,83,33,267,99,161,90,731,3942,1694,9285,3196,4281,652,23046
SED24006,369,1082,190,118,49,2649,1015,319,2111,405,230,143,4231,75,25,184,75,63,8,427,67,31,189,85,168,16,562,153,48,366,120,118,94,903,4576,1529,11072,2766,2478,696,23116
SED24105,179,587,205,142,36,1429,275,136,939,574,595,99,2612,9,4,73,52,79,13,227,38,18,127,190,456,42,864,67,12,214,187,341,169,993,1743,603,5829,3611,5193,945,17924
SED24207,195,761,272,225,45,1755,262,164,1374,655,742,149,3337,11,0,101,68,106,16,310,33,13,131,154,495,40,860,60,18,230,185,355,192,1033,1646,656,7113,4055,6992,1094,21552
SED24308,170,634,277,301,41,1617,132,163,716,583,994,115,2699,7,4,57,43,78,20,201,10,9,69,123,459,17,692,18,9,75,94,318,147,661,680,540,3288,2901,7623,892,15924
