SED_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
SED10057,155,307,216,146,190,28,3,1041,27,9,7,3,16,3,0,65,4,3,11,3,4,0,0,29,233,476,378,253,371,55,8,1784,21,46,49,23,37,3,0,186,33,82,29,20,14,0,0,181,50,127,82,44,55,7,0,361,279,606,456,299,430,61,12,2146,587,569,278,201,186,31,12,1861,13,20,6,7,0,0,0,47,881,1196,744,500,618,91,24,4048
SED10058,121,225,162,99,137,47,23,812,11,14,11,3,7,0,3,49,4,3,0,0,5,3,0,20,197,420,294,225,357,132,76,1699,14,35,25,21,17,6,5,113,23,37,19,9,11,5,0,107,37,70,42,31,24,11,5,220,233,490,334,249,379,144,81,1916,269,251,120,92,90,30,9,860,4,6,0,3,0,0,0,18,503,749,457,353,473,174,94,2802
SED10059,45,84,46,42,50,26,22,309,6,4,3,0,3,3,0,17,8,4,3,0,8,3,0,24,110,209,150,107,158,75,60,867,5,5,9,8,6,0,0,29,10,9,7,3,9,0,0,40,12,16,18,6,14,3,0,67,123,228,161,115,173,81,66,936,94,86,42,37,43,25,23,353,3,0,0,0,0,0,0,4,213,312,200,155,218,109,90,1295
SED10060,59,95,74,50,71,55,44,432,7,3,0,0,0,0,0,19,3,4,4,3,3,0,0,21,147,283,202,158,246,158,110,1309,3,5,0,0,3,3,3,28,0,12,8,7,8,7,0,47,10,25,10,9,11,8,3,78,153,304,218,175,259,167,117,1385,42,74,54,42,52,37,20,321,3,0,0,3,0,0,0,11,196,377,274,214,314,202,135,1718
SED10061,160,291,181,133,156,14,0,938,22,11,6,6,9,3,0,59,10,4,6,8,8,3,0,41,300,497,368,288,365,53,13,1887,20,58,46,41,35,0,3,210,41,64,32,14,20,5,0,176,64,126,77,57,53,8,3,387,356,628,448,343,417,61,15,2269,641,576,301,175,144,22,9,1867,19,20,18,13,3,0,0,69,1020,1221,773,522,565,81,24,4203
SED10062,77,162,102,82,110,66,30,619,12,0,4,3,6,3,3,38,3,8,7,5,11,5,3,29,146,297,226,198,347,201,111,1519,8,17,11,8,9,3,0,56,4,31,17,9,10,7,6,88,14,44,29,16,19,12,9,144,160,341,253,211,367,214,113,1660,177,155,105,81,110,72,23,728,5,6,7,0,0,3,0,18,343,502,363,292,480,285,141,2406
SED10063,196,293,189,120,137,22,8,969,22,22,10,4,7,0,0,70,12,20,7,3,3,0,0,45,339,566,393,267,395,82,23,2053,28,47,41,29,27,0,0,172,59,77,29,18,13,3,0,201,86,125,74,50,42,3,0,374,425,690,465,312,435,89,25,2433,577,442,239,131,152,20,5,1569,9,8,8,11,4,0,0,36,1011,1147,706,452,590,113,25,4040
SED10064,204,363,235,163,210,27,10,1218,17,13,6,6,10,6,0,63,10,19,12,8,6,0,0,64,300,550,398,299,418,61,15,2042,24,43,36,24,33,0,0,166,37,77,52,30,25,0,0,222,66,121,83,52,61,4,0,391,368,671,480,353,481,59,18,2436,691,628,328,199,203,22,11,2076,18,18,10,10,12,0,0,63,1068,1318,821,558,695,88,27,4570
SED10065,106,171,119,94,145,75,47,762,13,9,0,3,11,12,4,53,7,6,4,5,4,10,4,38,239,372,272,222,359,233,142,1836,9,17,11,19,18,5,4,84,26,50,28,9,14,10,13,156,35,70,42,32,28,21,14,248,271,437,317,251,391,253,154,2082,299,266,135,109,174,101,56,1134,3,6,0,0,0,4,3,17,569,708,452,365,562,356,213,3234
SED10066,188,326,202,136,139,47,17,1052,21,17,8,10,7,0,3,61,6,14,5,5,6,4,0,41,338,615,423,344,467,160,79,2426,17,36,22,9,25,10,4,116,39,83,29,17,14,3,3,189,55,117,50,29,42,9,7,300,392,731,473,371,506,169,84,2729,569,442,205,150,139,39,13,1548,6,4,5,3,4,0,0,23,971,1180,686,520,645,207,93,4305
SED10067,89,181,116,94,129,51,28,694,8,5,3,3,3,3,0,28,7,5,4,3,4,0,0,23,175,350,275,219,338,140,91,1582,3,10,3,3,7,0,3,28,4,5,9,3,6,3,0,32,10,15,11,6,11,3,3,59,179,370,289,221,349,146,88,1644,58,96,49,30,46,13,12,298,3,4,0,5,7,0,0,15,237,463,335,254,401,157,102,1956
SED10068,130,293,193,157,210,28,9,1022,11,18,6,9,16,0,3,61,8,11,10,3,4,0,0,36,208,476,361,292,435,62,15,1854,12,26,29,10,15,0,0,89,17,45,22,13,23,0,0,120,27,67,48,24,36,3,3,207,238,545,409,314,475,61,21,2065,356,315,195,124,120,31,12,1152,10,5,5,4,3,0,0,34,606,867,608,445,599,93,33,3256
SED10069,139,287,199,138,145,26,8,940,13,8,13,8,20,4,0,68,6,14,7,3,6,0,0,39,232,484,344,271,332,80,23,1769,19,42,25,15,21,4,0,128,24,46,17,21,15,0,0,126,42,85,48,38,39,4,3,250,273,573,389,307,368,84,25,2018,449,387,219,113,119,21,6,1309,0,10,7,8,3,0,0,25,722,968,613,429,492,105,33,3352
SED10070,77,156,120,88,120,41,25,630,9,6,3,4,3,3,3,35,5,6,6,4,6,3,0,29,169,351,287,213,306,156,80,1560,13,23,21,19,26,10,4,111,14,40,23,16,16,6,5,121,22,67,40,32,40,18,10,228,193,415,334,244,345,170,87,1788,295,340,174,135,157,69,54,1230,3,6,3,3,0,3,0,26,494,765,511,384,509,241,142,3043
SED10071,111,216,141,78,139,55,20,756,17,6,3,4,8,4,0,46,4,20,6,6,6,0,3,46,256,520,393,244,456,206,98,2176,9,26,10,13,13,11,0,80,16,32,17,13,12,3,0,98,26,61,27,28,22,14,6,179,284,577,415,274,482,214,105,2353,220,221,129,58,79,35,24,764,6,4,0,4,0,0,0,21,511,800,546,337,557,253,129,3132
SED10072,112,172,113,84,114,56,22,669,18,3,0,9,4,3,3,39,3,5,4,3,5,11,0,30,219,365,256,203,298,168,78,1584,6,5,11,9,4,0,4,43,8,17,7,12,11,5,0,61,14,25,25,19,16,6,5,110,232,383,284,223,311,177,76,1693,196,205,129,72,96,53,34,786,8,0,3,0,0,4,0,15,436,596,410,297,409,233,113,2495
SED10073,74,144,93,81,108,62,54,611,13,6,3,0,0,0,0,27,3,0,4,3,3,4,0,18,197,344,228,169,274,209,130,1555,6,3,3,4,3,8,3,37,5,10,6,6,7,3,3,41,12,17,13,7,13,15,8,80,209,362,241,181,284,227,135,1633,158,166,84,71,80,82,44,684,0,0,0,0,0,0,0,0,365,526,325,251,363,301,187,2320
SED10074,102,158,130,83,119,46,23,658,14,15,6,3,5,3,3,58,5,3,4,3,4,3,3,25,194,386,322,247,368,181,87,1786,16,23,10,3,16,0,0,75,5,21,17,13,8,3,0,72,23,49,26,18,29,5,0,148,219,431,351,265,400,190,85,1933,242,235,135,91,100,44,32,879,4,0,5,7,4,0,0,22,466,663,486,355,504,229,124,2832
SED10075,214,376,247,177,233,52,23,1325,21,20,14,11,11,0,0,74,6,13,8,3,0,0,0,38,351,638,476,360,506,154,67,2554,13,63,31,23,21,5,4,156,56,75,41,14,27,3,6,211,63,135,70,36,49,9,7,362,416,774,544,392,554,163,73,2923,541,458,237,163,175,43,17,1625,0,5,11,6,3,3,0,32,954,1242,791,563,735,205,90,4576
SED10076,149,290,217,145,168,29,3,1005,20,15,4,5,9,0,0,58,3,7,3,6,7,0,0,24,217,462,359,267,343,51,11,1713,9,25,26,21,19,9,0,107,42,54,13,22,10,4,0,148,46,79,39,44,29,11,0,253,265,542,401,313,381,60,12,1968,474,435,243,161,149,24,9,1492,4,13,12,11,7,0,0,44,748,983,659,482,532,83,29,3509
SED10077,82,145,102,95,131,83,43,677,12,6,5,4,3,3,0,40,12,0,8,3,9,3,0,39,194,300,241,224,325,260,136,1681,6,5,4,9,15,8,7,54,11,19,11,9,23,14,7,94,15,19,17,13,41,18,16,149,205,325,264,241,361,279,160,1830,163,148,101,89,137,90,64,795,3,3,0,0,0,0,0,7,371,478,364,328,504,372,219,2639
SED10078,83,155,90,75,104,36,29,578,9,3,7,4,5,3,3,30,3,8,0,5,5,3,0,27,183,362,255,179,283,137,90,1484,11,19,6,8,3,3,3,56,7,27,19,7,10,3,4,80,20,39,26,21,18,9,6,130,201,405,277,196,296,144,92,1621,159,150,95,69,108,68,36,684,0,6,0,3,0,0,3,11,363,557,377,271,405,213,136,2317
SED10079,145,312,217,142,198,53,13,1077,16,22,10,9,13,4,0,68,7,8,4,4,4,0,3,27,237,491,381,279,434,137,48,2003,11,40,27,15,17,0,0,110,29,70,30,17,15,0,0,163,38,105,54,31,39,4,0,270,276,597,437,312,467,139,48,2276,435,379,191,134,134,24,9,1314,7,9,3,4,3,0,0,22,711,984,626,449,607,166,61,3611
SED10080,48,73,52,35,39,20,21,285,9,8,10,5,4,3,0,32,0,0,0,3,4,3,0,10,136,210,152,86,133,92,70,884,4,10,4,6,3,5,0,32,9,12,5,0,8,8,3,39,11,20,10,6,13,18,3,77,145,228,164,92,148,105,70,958,68,75,49,33,63,45,26,371,3,3,0,0,0,0,0,6,214,305,218,126,212,153,103,1337
SED10081,213,281,223,144,177,18,5,1065,31,24,6,5,15,3,3,86,16,21,8,6,4,4,0,49,343,559,432,308,387,55,15,2097,43,61,35,19,23,0,0,189,50,78,36,13,12,5,0,198,96,141,68,33,34,8,0,382,439,698,502,338,418,61,18,2480,649,565,261,173,132,22,3,1813,12,6,4,7,3,0,0,39,1106,1272,774,519,563,83,23,4332
SED10082,104,263,190,131,189,45,22,940,14,7,3,0,15,3,3,42,4,7,0,3,3,0,0,19,166,454,350,295,441,139,60,1907,9,18,13,10,17,0,0,64,27,44,17,13,17,4,3,124,33,65,32,18,33,3,3,189,199,519,381,322,472,147,59,2096,235,204,108,79,83,29,20,751,3,0,0,3,0,0,0,8,437,716,489,395,560,172,76,2854
SED10083,137,317,236,158,199,49,18,1109,26,18,21,7,6,0,0,81,6,12,8,9,5,0,0,38,264,550,456,291,447,128,61,2197,7,21,16,9,26,3,0,92,45,70,19,15,12,3,0,166,54,92,33,25,40,10,5,258,311,641,490,313,492,135,68,2454,454,426,223,135,147,39,14,1429,4,5,3,0,0,0,0,19,773,1072,718,447,644,175,77,3905
SED10084,140,319,241,145,210,73,17,1148,17,10,8,4,11,4,4,57,3,10,6,3,8,4,0,34,219,504,414,298,457,136,50,2064,13,37,25,13,18,8,0,108,25,45,36,14,18,4,3,148,39,80,57,30,44,11,3,255,253,580,469,324,494,143,49,2326,326,308,186,92,139,34,9,1096,6,8,0,7,0,3,0,25,583,898,656,426,634,181,63,3447
SED10085,134,286,181,127,141,25,3,898,16,24,10,14,22,0,0,82,0,5,7,4,4,0,0,21,222,486,329,259,352,70,15,1731,20,59,36,33,26,6,0,182,46,71,27,15,18,3,0,175,65,127,59,50,50,5,0,363,288,618,390,310,405,73,15,2091,529,486,218,136,115,19,4,1494,10,9,8,11,9,0,0,36,823,1104,617,451,521,91,20,3626
SED10086,70,130,87,67,90,46,32,522,3,5,3,0,3,0,3,23,3,3,4,3,7,0,0,21,149,330,214,146,214,133,96,1294,3,16,4,5,9,6,3,47,12,20,13,3,3,0,0,55,14,39,20,11,14,13,3,107,167,364,234,159,229,142,99,1397,65,102,90,53,73,58,36,479,4,8,3,3,3,6,0,23,235,471,328,216,307,203,137,1894
SED10087,151,299,173,118,154,27,0,911,16,23,11,9,7,3,0,72,7,11,4,8,7,0,3,45,259,576,376,298,430,72,21,2035,17,38,29,24,13,3,4,127,39,50,20,13,15,0,0,134,51,90,50,34,28,5,4,264,310,668,423,330,463,77,28,2299,551,412,211,134,131,15,6,1459,23,11,12,6,0,0,0,46,882,1089,645,469,595,93,34,3811
SED10088,76,202,128,73,128,58,35,702,4,0,0,4,0,3,0,12,9,5,10,4,7,5,0,35,146,372,274,234,361,167,102,1650,3,10,7,3,11,4,3,33,4,11,8,4,0,3,0,32,10,18,14,9,12,9,3,73,155,393,285,236,371,171,102,1718,97,112,60,54,59,29,19,427,5,0,0,0,0,3,0,10,248,513,352,289,425,205,126,2156
SED10089,170,293,202,129,169,53,21,1046,9,21,15,14,16,4,3,74,10,3,5,0,7,3,0,30,279,554,413,285,437,159,68,2194,22,42,25,16,22,0,0,136,39,54,23,16,14,8,5,153,53,91,49,35,38,9,7,287,333,645,459,323,480,171,78,2479,490,393,230,153,139,27,26,1452,13,9,3,5,0,0,0,33,834,1047,688,480,616,202,99,3967
SED10090,59,115,88,56,81,47,25,477,15,4,3,0,3,3,3,37,0,4,0,0,3,0,8,20,166,356,260,176,280,173,121,1533,4,8,8,0,14,8,3,50,10,11,5,6,9,4,0,35,11,19,14,10,22,13,6,85,174,372,269,183,301,193,132,1620,68,148,101,87,108,107,61,679,0,0,0,0,0,0,0,0,245,521,369,267,411,296,192,2296
SED10091,140,247,166,102,154,37,16,861,12,15,3,3,12,3,0,45,4,7,5,7,6,0,0,29,223,416,325,239,379,101,38,1727,7,23,9,4,21,4,0,72,27,39,18,13,14,0,0,120,36,66,35,19,32,3,0,188,260,481,360,261,405,105,41,1918,267,230,122,82,98,22,3,832,4,0,3,0,4,0,0,15,535,717,485,348,515,129,41,2767
SED10092,125,228,148,92,142,61,28,823,8,15,8,11,12,3,3,49,11,6,4,0,9,3,0,26,212,388,303,232,390,173,74,1774,21,35,19,13,32,4,4,129,29,43,29,16,20,9,0,157,49,78,45,26,54,17,8,284,258,471,350,264,445,187,79,2059,454,432,231,146,178,76,43,1562,8,13,10,7,3,0,0,36,727,913,595,417,625,261,125,3657
SED10093,191,343,242,164,193,53,20,1213,24,19,18,10,17,3,0,90,7,9,7,8,7,0,0,52,313,577,478,340,459,133,46,2347,38,61,38,16,23,5,0,180,56,81,41,18,21,0,0,220,90,138,76,32,50,4,3,397,406,720,554,377,502,142,45,2743,677,597,326,185,200,42,15,2054,8,9,6,3,0,0,0,36,1091,1329,886,569,710,183,67,4832
SED19494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED20106,50,88,61,41,58,40,27,370,8,3,0,0,6,3,8,25,3,0,0,4,0,0,5,13,100,213,142,103,171,114,80,923,8,18,14,3,7,6,0,56,12,25,9,4,3,5,3,58,19,37,17,12,12,16,4,112,116,249,164,111,186,131,84,1040,103,102,59,62,84,49,28,482,6,3,3,3,0,0,0,15,232,361,223,177,269,171,107,1535
SED20207,118,232,162,112,151,58,38,870,18,15,10,3,12,4,0,55,6,6,3,3,4,7,3,32,266,519,372,226,396,180,119,2081,22,51,22,15,25,10,7,152,22,37,19,17,21,3,3,120,42,86,47,32,43,16,10,269,310,609,419,261,436,200,130,2356,367,304,155,113,122,51,27,1140,12,8,8,5,5,5,0,46,687,924,579,372,565,249,160,3542
SED20302,177,332,199,136,166,60,13,1080,25,11,15,6,9,4,0,76,14,12,10,8,3,0,0,41,287,507,352,271,356,146,41,1964,13,31,16,19,21,11,0,110,16,57,36,27,17,3,0,167,31,93,59,45,39,8,0,275,321,601,409,317,391,157,41,2239,462,414,212,109,129,27,20,1378,12,9,10,6,3,0,0,36,793,1028,633,425,522,187,58,3650
SED20401,80,185,154,122,160,68,37,798,16,9,5,0,11,3,3,41,5,6,4,3,8,3,0,29,157,323,270,229,336,176,86,1568,10,21,11,4,9,3,4,52,10,22,20,6,9,3,3,78,17,43,25,11,15,3,5,132,175,365,292,242,355,186,89,1697,247,194,110,80,100,32,31,792,8,3,4,0,0,0,0,14,423,566,410,320,455,215,117,2504
SED20508,109,257,181,122,166,55,16,907,16,9,8,3,12,7,0,49,0,4,3,3,3,0,0,21,157,372,299,212,315,117,42,1516,3,16,10,7,13,7,0,55,21,34,22,6,12,5,3,92,22,53,30,16,22,6,3,147,179,422,326,225,331,130,48,1664,221,200,93,87,80,27,10,713,0,4,4,0,0,0,0,16,407,625,423,315,418,159,60,2397
SED20604,140,299,204,110,171,36,10,973,18,17,3,3,4,0,0,47,8,5,14,4,13,0,0,46,232,508,365,248,399,92,24,1865,21,25,21,16,25,4,0,110,32,38,15,11,12,5,3,122,56,63,36,31,38,8,4,227,284,569,401,272,435,97,27,2092,341,330,171,110,112,28,3,1088,7,6,7,7,0,0,0,20,632,907,581,390,543,124,31,3208
SED20704,139,337,211,147,194,55,18,1096,28,15,11,11,9,5,3,84,9,4,3,6,4,0,0,20,226,487,363,276,399,132,52,1936,16,28,17,13,15,0,0,85,28,43,28,12,17,7,0,131,42,68,44,28,35,9,0,216,262,553,408,302,438,137,52,2159,416,372,200,116,132,31,11,1279,3,0,0,0,3,0,0,8,679,928,605,421,565,168,65,3442
SED20804,112,244,174,101,151,38,11,829,17,23,13,5,6,0,0,59,4,3,5,3,4,0,0,19,166,368,276,201,309,104,38,1468,9,30,22,10,16,3,0,97,22,44,21,15,20,8,0,124,32,78,46,26,35,6,0,222,203,443,322,224,343,114,42,1695,386,339,161,105,120,38,13,1169,4,3,6,0,0,0,0,16,592,783,495,331,471,153,54,2878
SED20906,65,153,107,102,126,73,38,665,11,5,0,3,4,3,7,25,0,4,3,0,3,6,3,21,125,306,246,208,310,194,123,1513,4,10,5,10,14,8,5,57,3,23,16,12,11,6,3,70,8,33,26,20,23,12,6,128,131,341,266,225,333,203,131,1643,98,115,82,52,70,47,26,484,6,3,6,0,0,0,0,14,236,463,353,281,401,250,153,2141
SED21001,47,128,101,86,138,76,41,614,11,3,3,3,3,3,3,30,0,0,3,3,3,4,3,21,101,246,223,176,324,204,117,1396,3,9,4,5,14,7,3,51,8,14,7,10,3,12,3,52,7,28,17,16,20,21,3,106,114,269,236,189,350,221,123,1502,100,136,73,81,101,53,50,589,3,3,0,0,0,3,0,13,216,404,311,269,449,278,168,2099
SED21106,66,131,98,56,107,68,27,559,8,3,0,4,6,6,4,35,0,0,0,0,3,3,0,15,122,265,215,148,266,162,87,1267,0,20,6,3,6,11,0,47,3,8,4,6,4,10,3,43,8,25,10,10,16,15,3,91,130,293,229,160,276,178,88,1353,74,85,68,44,65,48,29,414,0,4,0,0,0,0,3,7,203,380,294,200,347,228,119,1774
SED21203,89,146,121,77,118,60,32,643,13,7,11,10,4,3,0,45,10,11,12,7,13,0,5,59,159,294,234,163,245,135,73,1310,20,46,23,24,23,8,4,150,26,52,24,21,20,9,3,156,50,89,45,42,48,16,12,306,207,382,276,210,293,156,85,1614,508,521,367,207,313,154,90,2154,15,14,8,3,3,0,3,43,728,920,647,421,610,315,174,3812
SED21303,75,128,77,53,66,37,29,473,6,7,6,0,4,0,0,19,3,0,0,0,0,3,0,7,120,219,166,120,166,114,64,971,3,5,10,0,8,7,0,31,9,23,13,5,13,3,0,73,14,29,23,5,18,12,3,103,134,247,186,132,187,127,70,1073,107,68,61,33,54,42,26,390,0,0,0,0,0,0,0,4,241,312,250,169,237,164,93,1465
SED21401,40,134,77,64,87,57,40,502,13,4,0,3,0,7,4,25,5,0,0,0,0,8,0,15,92,244,176,145,231,166,107,1151,8,16,3,7,6,4,3,42,3,11,7,9,11,7,3,56,10,25,8,17,19,10,11,99,96,270,180,162,254,179,111,1249,101,113,56,48,80,59,41,499,3,0,0,3,0,0,0,14,195,384,241,210,337,238,153,1764
SED21503,70,156,121,83,118,52,28,624,14,7,5,3,14,0,3,44,7,4,4,6,4,7,3,38,120,264,209,165,250,150,91,1244,3,6,3,3,9,6,3,31,5,12,9,6,3,9,3,52,6,25,14,14,16,19,7,88,128,288,216,177,263,165,92,1332,157,171,92,60,79,29,26,621,0,6,3,0,0,0,0,11,289,465,312,236,350,195,115,1961
SED21608,127,216,140,98,131,43,13,761,17,16,10,11,6,3,6,72,0,3,3,3,4,0,3,13,176,339,234,175,293,91,39,1357,3,28,15,16,10,7,0,79,24,59,28,23,25,6,0,161,31,90,46,40,31,5,0,243,206,426,285,218,325,96,39,1601,366,339,184,108,116,27,8,1139,7,0,0,0,0,0,0,10,578,770,472,321,445,118,45,2751
SED21706,51,138,107,78,113,82,43,613,8,5,7,3,7,3,3,31,3,0,0,0,0,0,0,16,86,257,206,158,271,224,115,1315,3,6,5,10,10,8,8,50,10,15,5,8,10,3,6,51,10,23,18,16,17,10,12,100,97,276,219,173,288,233,134,1416,99,127,93,64,113,74,42,613,0,0,0,0,0,0,0,4,202,411,312,236,402,305,170,2035
SED21805,128,253,156,103,154,79,26,896,22,16,10,9,14,0,0,76,13,9,4,7,6,8,0,44,240,458,331,227,395,195,82,1929,4,15,18,7,19,3,3,69,21,36,29,17,15,4,0,129,22,50,42,25,39,5,3,198,267,508,378,254,430,200,89,2125,306,251,137,82,101,40,28,941,10,11,8,0,4,0,0,27,582,768,518,338,542,240,118,3096
SED21906,60,117,79,47,78,55,37,480,8,3,0,0,0,0,0,13,0,0,3,0,0,3,0,8,119,222,176,117,190,158,108,1096,3,4,5,5,4,4,5,32,3,9,4,3,3,0,0,22,9,16,13,5,3,3,3,56,128,243,188,120,195,156,118,1150,62,82,50,38,42,38,41,361,0,0,0,0,0,0,0,0,191,325,238,159,241,196,158,1506
SED22005,61,141,105,86,105,82,32,596,7,5,3,4,10,3,4,40,5,9,12,3,16,7,3,53,143,266,231,179,259,225,95,1389,5,10,6,6,13,8,4,57,17,30,14,3,6,14,6,85,23,34,25,14,19,26,6,143,167,304,249,191,278,249,98,1531,218,224,120,99,114,83,46,902,3,7,10,5,0,0,0,32,385,530,380,292,397,334,149,2461
SED22105,189,313,230,144,193,71,23,1163,29,16,16,3,6,0,4,82,19,17,6,11,10,8,5,64,360,603,423,338,452,188,87,2446,28,54,44,18,40,14,3,202,60,62,34,14,24,4,0,202,84,113,82,36,63,20,3,403,452,714,507,373,515,206,95,2850,548,520,215,142,168,73,34,1706,8,11,10,6,8,3,0,59,1008,1252,728,523,689,282,132,4610
SED22201,103,214,149,111,137,74,30,808,6,8,6,6,10,3,0,44,4,5,3,3,7,0,4,28,153,367,288,219,342,187,110,1663,0,7,9,0,4,3,4,29,8,20,21,6,11,3,0,73,13,28,26,9,12,9,4,101,161,396,317,228,354,198,111,1764,183,150,96,57,87,39,19,641,5,5,0,0,4,0,0,14,352,554,417,285,448,233,133,2420
SED22305,87,147,106,73,107,55,29,598,10,3,0,3,5,0,5,21,3,6,8,4,8,8,0,40,191,300,228,163,245,141,69,1339,19,39,16,11,26,15,6,137,27,44,33,22,20,18,5,173,44,88,47,31,49,29,14,314,237,388,280,194,291,173,84,1658,444,393,276,205,236,142,79,1775,13,12,10,4,4,0,0,46,696,801,567,398,531,318,169,3478
SED22404,88,241,151,95,139,39,8,764,12,17,9,3,11,0,0,53,0,8,3,5,7,0,0,23,137,375,266,192,279,86,24,1360,0,13,18,15,8,3,0,56,16,32,20,10,6,5,0,91,19,47,37,23,16,3,0,146,157,420,296,216,301,88,28,1503,193,213,114,66,85,27,7,706,3,5,7,5,4,0,0,33,347,641,411,292,389,122,36,2239
SED22501,54,176,115,82,114,75,32,644,3,3,0,0,6,4,3,20,0,4,3,3,4,3,0,25,88,316,245,200,294,174,109,1422,0,7,4,0,7,3,0,23,4,16,14,6,8,0,0,46,4,22,16,7,14,3,3,69,89,342,255,206,311,180,108,1496,68,115,53,40,39,23,14,351,4,0,0,0,0,0,0,6,164,455,312,247,351,203,129,1857
SED22607,62,118,87,57,81,57,33,503,4,3,7,4,0,0,0,27,3,8,9,7,4,3,3,30,111,252,192,123,202,150,98,1132,11,12,6,4,13,8,6,65,9,19,4,10,12,11,8,76,18,38,12,15,21,16,7,135,129,291,208,145,223,165,108,1271,199,200,117,74,82,51,32,745,4,5,3,3,3,0,0,24,332,489,327,216,312,220,132,2039
SED22704,96,174,157,113,152,29,5,725,7,6,5,5,5,7,0,35,0,4,5,3,8,0,3,26,163,296,305,222,327,79,17,1410,9,30,22,14,16,0,0,96,19,29,20,10,11,0,0,92,31,61,44,20,24,0,3,184,192,362,351,242,351,76,22,1596,388,363,143,124,118,36,8,1179,3,3,3,3,3,0,0,24,580,729,493,373,481,118,26,2793
