SED_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SED20704,5,26,0,206,14,3,3,16,7,15,0,14,4,66,283,416,15,0,0,11,4,4,3,8,3,58,25,131,1152,295,70,999,98,583,67,507,96,2267,350,6477
SED20804,0,27,0,176,16,6,3,12,3,8,0,3,0,39,271,363,7,4,3,6,0,4,0,6,3,83,46,159,1046,338,43,920,87,509,47,495,72,2425,359,6349
SED20906,0,15,0,380,7,8,0,8,0,10,0,5,0,38,226,299,10,6,3,0,0,3,0,0,3,47,31,104,1141,217,37,579,59,485,17,345,44,1691,281,4890
SED21001,3,75,5,499,3,5,3,6,3,5,4,8,0,44,310,391,0,4,0,0,4,0,0,3,0,39,17,69,1133,300,36,701,67,643,23,534,77,2233,366,6110
SED21106,3,161,3,1237,7,0,0,3,3,15,0,3,3,37,389,461,9,0,3,7,0,5,0,0,0,41,20,97,1628,314,52,770,83,627,37,524,53,1590,429,6096
SED21203,0,11,0,43,12,0,4,7,0,15,3,9,9,51,154,262,4,3,6,0,0,3,0,3,5,67,59,154,534,108,37,339,40,511,24,273,65,1947,259,4135
SED21303,4,17,0,745,27,3,3,8,4,9,0,9,0,28,428,519,11,4,3,4,0,5,0,0,3,26,29,90,2699,382,59,1214,117,722,34,370,59,1382,487,7527
SED21401,4,49,3,448,13,0,0,3,4,20,0,11,0,49,291,399,10,0,3,4,0,0,0,3,4,84,34,153,950,278,36,566,55,632,33,532,64,3063,372,6588
SED21503,0,8,0,187,14,0,0,8,4,17,4,9,0,55,203,304,11,0,3,5,3,3,0,0,4,65,26,116,1105,220,35,629,64,577,29,392,40,2157,261,5515
SED21608,4,13,0,164,13,3,0,7,0,13,0,8,9,46,259,363,7,3,6,3,3,7,0,7,3,52,33,118,1065,296,56,857,89,628,45,498,78,2055,333,6006
